date, pm25, pm10, o3, no2, so2, co
2023/10/1, 10, 10, 1, 11, 10, 7
2023/10/2, 14, 9, , 11, 10, 11
2023/10/3, 14, 6, , 10, 10, 11
2023/10/4, 8, 8, 1, 11, 10, 7
2023/10/5, 10, 11, 1, 11, 10, 9
2023/10/6, 15, 4, 1, 11, 10, 7
2023/10/7, 5, 6, 1, 11, 10, 7
2023/10/8, 9, 11, 1, 10, 10, 9
2023/10/9, 17, 10, 1, 10, 10, 11
2023/10/10, 14, 3, 1, 10, 10, 9
2023/10/11, 5, 4, 1, 10, 10, 11
2023/10/12, 7, 4, 1, 10, 10, 10
2023/10/13, 7, 6, 1, 10, 10, 8
2023/10/14, 10, 11, 1, 10, 10, 8
2023/10/15, 17, 25, 2, 10, 10, 7
2023/10/16, 37, 24, 3, 10, 10, 2
2023/10/17, 36, 7, 2, 10, 10, 2
2023/10/18, 10, 7, 1, 10, 10, 
2023/10/19, 10, , , , , 
2023/7/1, 11, , , , , 
2023/7/3, 6, 6, 1, 10, 10, 2
2023/7/4, 7, 7, 1, 10, 10, 1
2023/7/5, 8, 7, 2, 10, 10, 1
2023/7/6, 8, 10, 2, 10, 10, 1
2023/7/7, 11, 10, 2, 10, 10, 2
2023/7/8, 11, 8, 2, 10, 10, 2
2023/7/9, 9, 8, 1, 10, 10, 1
2023/7/10, 9, 10, 1, 10, 10, 2
2023/7/11, 11, 9, 2, 10, 10, 2
2023/7/12, 10, 10, 2, 10, 10, 1
2023/7/13, 11, 12, 2, 10, 10, 2
2023/7/14, 14, 11, 1, 9, 10, 2
2023/7/15, 12, 9, 1, 9, 10, 1
2023/7/16, 10, 10, 1, 8, 10, 2
2023/7/17, 12, 12, , 9, 10, 1
2023/7/18, 13, 9, 1, 9, 10, 2
2023/7/19, 11, 7, 500, 9, 10, 2
2023/7/20, 8, 8, 500, 9, 10, 1
2023/7/21, 11, 8, , 9, 10, 1
2023/7/22, 10, 7, , 8, 10, 1
2023/7/23, 9, 6, , 9, 10, 2
2023/7/24, 8, 6, , 8, 10, 2
2023/7/25, 8, 6, , 9, 10, 2
2023/7/26, 8, 11, , 9, 10, 2
2023/7/27, 12, 10, , 9, 10, 2
2023/7/28, 10, 11, 250, 9, 10, 2
2023/7/29, 11, 7, , 9, 10, 2
2023/7/30, 8, 11, , 9, 10, 2
2023/7/31, 13, 12, , 8, 10, 3
2023/8/1, 14, 14, , 8, 10, 3
2023/8/2, 17, 12, , 9, 10, 3
2023/8/3, 16, 12, , 8, 10, 3
2023/8/4, 14, 12, , 9, 10, 2
2023/8/5, 13, 13, , 9, 10, 2
2023/8/6, 13, 11, , 9, 10, 2
2023/8/7, 12, 11, , 9, 10, 2
2023/8/8, 12, 14, , 9, 10, 2
2023/8/9, 16, 14, 1, 10, 10, 2
2023/8/10, 15, 16, 1, 11, 10, 2
2023/8/11, 18, 16, , 11, 10, 2
2023/8/12, 17, 15, 3, 11, 10, 1
2023/8/13, 17, 17, 1, 11, 11, 2
2023/8/14, 19, 14, 1, 11, 11, 2
2023/8/15, 16, 12, 1, 11, 11, 2
2023/8/16, 15, 8, 1, 11, 10, 2
2023/8/17, 9, 9, 1, 11, 10, 2
2023/8/18, 11, 11, 1, 11, 11, 2
2023/8/19, 13, 10, 1, 11, 11, 1
2023/8/20, 12, 8, 1, 11, 10, 2
2023/8/21, 11, 8, 500, 11, 10, 2
2023/8/22, 9, 8, 1, 11, 10, 1
2023/8/23, 9, 12, 1, 10, 10, 2
2023/8/24, 14, 10, 1, 11, 10, 1
2023/8/25, 12, 10, 1, 11, 11, 2
2023/8/26, 12, 10, 1, 11, 11, 2
2023/8/27, 12, 10, 1, 11, 10, 2
2023/8/28, 11, 12, 1, 11, 10, 2
2023/8/29, 17, 12, 2, 10, 10, 2
2023/8/30, 17, 15, 1, 10, 10, 4
2023/8/31, 22, 18, 4, 11, 10, 3
2023/9/1, 26, 25, 3, 11, 11, 3
2023/9/2, 36, , , , , 
2023/9/8, 6, 6, , 11, 10, 6
2023/9/9, 8, 6, , 11, 10, 7
2023/9/10, 7, 6, , 11, 10, 8
2023/9/11, 8, 8, 6, 11, 11, 8
2023/9/12, 9, 8, , 11, 10, 9
2023/9/13, 9, 8, , 11, 10, 10
2023/9/14, 11, 6, 4, 11, 10, 8
2023/9/15, 8, 4, 500, 11, 10, 9
2023/9/16, 6, 7, , 10, 10, 10
2023/9/17, 11, 7, 1, 11, 10, 7
2023/9/18, 10, 6, 1, 11, 10, 7
2023/9/19, 7, 8, 2, 11, 11, 7
2023/9/20, 11, 9, 1, 11, 10, 6
2023/9/21, 12, 8, 1, 11, 10, 7
2023/9/22, 10, 8, 1, 11, 10, 7
2023/9/23, 10, 6, 1, 11, 10, 9
2023/9/24, 9, 3, 1, 10, 10, 8
2023/9/25, 5, 5, 1, 11, 10, 6
2023/9/26, 7, 5, 1, 11, 10, 8
