,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Tiên Du,6/20/2020,0,57,47,4,4,1,57,Vừa Phải
1,Tiên Du,6/21/2020,76,53,42,4,4,1,76,Vừa Phải
2,Tiên Du,6/22/2020,60,58,82,5,4,1,82,Vừa Phải
3,Tiên Du,6/23/2020,64,57,39,7,4,1,64,Vừa Phải
4,Tiên Du,6/24/2020,67,67,45,9,4,2,67,Vừa Phải
5,Tiên Du,6/25/2020,104,50,36,7,4,1,104,Không tốt cho người nhạy cảm
6,Tiên Du,6/26/2020,62,49,64,3,4,1,64,Vừa Phải
7,Tiên Du,6/27/2020,60,48,45,2,4,1,60,Vừa Phải
8,Tiên Du,6/28/2020,58,43,47,2,4,1,58,Vừa Phải
9,Tiên Du,6/29/2020,50,49,59,3,4,1,59,Vừa Phải
10,Tiên Du,6/30/2020,62,58,32,7,4,2,62,Vừa Phải
11,Tiên Du,7/1/2020,81,48,38,7,4,1,81,Vừa Phải
12,Tiên Du,7/2/2020,66,39,37,4,4,1,66,Vừa Phải
13,Tiên Du,7/3/2020,52,23,36,4,4,1,52,Vừa Phải
14,Tiên Du,7/4/2020,28,31,35,3,4,1,35,Tốt
15,Tiên Du,7/5/2020,31,36,40,2,4,1,40,Tốt
16,Tiên Du,7/6/2020,34,44,48,2,4,1,48,Tốt
17,Tiên Du,7/7/2020,47,45,42,5,4,1,47,Tốt
18,Tiên Du,7/8/2020,43,47,29,8,4,1,47,Tốt
19,Tiên Du,7/9/2020,48,51,22,10,4,2,51,Vừa Phải
20,Tiên Du,7/10/2020,53,75,16,14,5,3,75,Vừa Phải
21,Tiên Du,7/11/2020,100,78,44,7,3,2,100,Vừa Phải
22,Tiên Du,7/12/2020,115,59,38,5,5,1,115,Không tốt cho người nhạy cảm
23,Tiên Du,7/13/2020,77,70,85,6,5,2,85,Vừa Phải
24,Tiên Du,7/14/2020,107,52,19,4,5,1,107,Không tốt cho người nhạy cảm
25,Tiên Du,7/15/2020,78,47,36,3,4,1,78,Vừa Phải
26,Tiên Du,7/16/2020,48,48,51,4,5,1,51,Vừa Phải
27,Tiên Du,7/17/2020,55,94,42,6,5,1,94,Vừa Phải
28,Tiên Du,7/18/2020,146,92,37,4,4,1,146,Không tốt cho người nhạy cảm
29,Tiên Du,7/19/2020,147,59,29,5,4,1,147,Không tốt cho người nhạy cảm
30,Tiên Du,7/20/2020,89,48,26,4,5,1,89,Vừa Phải
31,Tiên Du,7/21/2020,60,64,25,3,5,1,64,Vừa Phải
32,Tiên Du,7/22/2020,83,59,30,4,6,1,83,Vừa Phải
33,Tiên Du,7/23/2020,61,69,33,4,5,1,69,Vừa Phải
34,Tiên Du,7/24/2020,83,63,35,4,6,1,83,Vừa Phải
35,Tiên Du,7/25/2020,78,50,35,4,5,1,78,Vừa Phải
36,Tiên Du,7/26/2020,56,64,28,11,5,3,64,Vừa Phải
37,Tiên Du,7/27/2020,88,74,82,12,5,3,88,Vừa Phải
