,Unnamed: 0,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,0,Tràng Bảng,2021-12-27,0,87,2,1,32,6,87
1,1,Tràng Bảng,2021-12-28,38,60,2,1,33,7,60
2,2,Tràng Bảng,2021-12-29,34,54,2,0,34,4,54
3,3,Tràng Bảng,2021-12-30,26,68,3,2,35,2,68
4,4,Tràng Bảng,2021-12-31,40,65,4,1,35,3,65
5,5,Tràng Bảng,2022-01-01,38,59,3,2,35,7,59
6,6,Tràng Bảng,2022-01-02,33,77,4,3,37,5,77
7,7,Tràng Bảng,2022-01-03,55,68,3,2,39,5,68
8,8,Tràng Bảng,2022-01-04,35,105,5,4,40,7,105
9,9,Tràng Bảng,2022-01-05,72,88,3,2,40,4,88
10,10,Tràng Bảng,2022-01-06,46,95,11,4,40,3,95
11,11,Tràng Bảng,2022-01-07,59,85,26,5,41,0,85
12,12,Tràng Bảng,2022-01-08,48,91,26,5,46,0,91
13,13,Tràng Bảng,2022-01-09,53,91,28,5,45,0,91
14,14,Tràng Bảng,2022-01-10,53,114,28,7,50,0,114
15,15,Tràng Bảng,2022-01-11,67,239,496,89,182,0,496
16,16,Tràng Bảng,2022-01-12,211,308,84,186,182,0,308
17,17,Tràng Bảng,2022-01-13,271,107,34,2,52,0,271
18,18,Tràng Bảng,2022-01-14,71,113,39,2,52,0,113
19,19,Tràng Bảng,2022-01-15,74,107,35,2,52,0,107
20,20,Tràng Bảng,2022-01-16,69,108,32,1,53,0,108
21,21,Tràng Bảng,2022-01-17,65,102,28,2,54,0,102
22,22,Tràng Bảng,2022-01-18,63,93,33,0,54,0,93
23,23,Tràng Bảng,2022-01-19,62,123,27,2,56,0,123
24,24,Tràng Bảng,2022-01-20,64,121,40,2,57,0,121
25,25,Tràng Bảng,2022-01-21,71,125,73,3,57,0,125
26,26,Tràng Bảng,2022-01-22,74,90,33,1,57,0,90
27,27,Tràng Bảng,2022-01-23,47,98,28,2,57,0,98
28,28,Tràng Bảng,2022-01-24,50,95,31,2,59,0,95
29,29,Tràng Bảng,2022-01-25,48,99,31,2,61,0,99
30,30,Tràng Bảng,2022-01-26,59,110,31,2,61,0,110
31,31,Tràng Bảng,2022-01-27,67,111,26,2,62,0,111
32,32,Tràng Bảng,2022-01-28,63,127,24,1,63,0,127
33,33,Tràng Bảng,2022-01-29,86,99,27,1,63,0,99
34,34,Tràng Bảng,2022-01-30,59,85,33,0,64,0,85
35,35,Tràng Bảng,2022-01-31,50,87,28,0,65,0,87
36,36,Tràng Bảng,2022-02-01,60,66,21,0,66,0,66
37,37,Tràng Bảng,2022-02-02,30,67,26,0,67,0,67
38,38,Tràng Bảng,2022-02-03,32,42,18,0,67,0,67
