,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Tràng Định,2021-12-27,0,51,0,6,2,3,51,Vừa Phải
1,Tràng Định,2021-12-28,64,40,0,5,2,3,64,Vừa Phải
2,Tràng Định,2021-12-29,49,40,0,5,2,2,49,Tốt
3,Tràng Định,2021-12-30,54,53,0,6,2,2,54,Vừa Phải
4,Tràng Định,2021-12-31,82,59,0,6,21,4,82,Vừa Phải
5,Tràng Định,2022-01-01,98,47,0,5,2,2,98,Vừa Phải
6,Tràng Định,2022-01-02,58,78,0,7,3,4,78,Vừa Phải
7,Tràng Định,2022-01-03,133,87,0,10,3,4,133,Không tốt cho người nhạy cảm
8,Tràng Định,2022-01-04,155,91,0,12,3,4,155,Không tốt
9,Tràng Định,2022-01-05,144,79,0,9,2,3,144,Không tốt cho người nhạy cảm
10,Tràng Định,2022-01-06,131,70,0,7,2,3,131,Không tốt cho người nhạy cảm
11,Tràng Định,2022-01-07,120,79,0,8,3,4,120,Không tốt cho người nhạy cảm
12,Tràng Định,2022-01-08,147,30,0,4,2,3,147,Không tốt cho người nhạy cảm
13,Tràng Định,2022-01-09,40,23,0,6,2,3,40,Tốt
14,Tràng Định,2022-01-10,32,41,0,4,2,3,41,Tốt
15,Tràng Định,2022-01-11,47,68,21,8,4,4,68,Vừa Phải
16,Tràng Định,2022-01-12,103,57,0,6,2,1,103,Không tốt cho người nhạy cảm
17,Tràng Định,2022-01-13,83,79,0,7,2,2,83,Vừa Phải
18,Tràng Định,2022-01-14,131,96,0,12,3,3,131,Không tốt cho người nhạy cảm
19,Tràng Định,2022-01-15,164,67,0,8,2,2,164,Không tốt
20,Tràng Định,2022-01-16,117,10,0,3,2,1,117,Không tốt cho người nhạy cảm
21,Tràng Định,2022-01-17,15,37,0,5,2,1,37,Tốt
22,Tràng Định,2022-01-18,45,57,0,7,2,1,57,Vừa Phải
23,Tràng Định,2022-01-19,81,48,25,7,1,1,81,Vừa Phải
24,Tràng Định,2022-01-20,88,53,4,6,26,4,88,Vừa Phải
25,Tràng Định,2022-01-21,101,42,0,9,7,4,101,Không tốt cho người nhạy cảm
26,Tràng Định,2022-01-22,74,68,0,8,8,4,74,Vừa Phải
27,Tràng Định,2022-01-23,128,28,13,7,6,3,128,Không tốt cho người nhạy cảm
28,Tràng Định,2022-01-24,55,1,0,5,5,2,55,Vừa Phải
29,Tràng Định,2022-01-25,1,2,0,10,31,6,31,Tốt
30,Tràng Định,2022-01-26,3,4,7,6,8,6,8,Tốt
31,Tràng Định,2022-01-27,6,1,0,5,2,1,6,Tốt
32,Tràng Định,2022-01-28,1,1,0,3,1,3,3,Tốt
33,Tràng Định,2022-01-29,1,0,0,0,0,0,1,Tốt
34,Tràng Định,2022-02-09,0,1,0,4,1,1,4,Tốt
35,Tràng Định,2022-02-10,1,0,0,3,1,1,3,Tốt
36,Tràng Định,2022-02-11,0,0,0,3,1,1,3,Tốt
37,Tràng Định,2022-02-12,0,0,0,2,1,1,2,Tốt
38,Tràng Định,2022-02-13,1,0,0,2,1,1,2,Tốt
39,Tràng Định,2022-02-14,1,0,0,3,1,1,3,Tốt
40,Tràng Định,2022-02-15,0,1,0,5,1,1,5,Tốt
41,Tràng Định,2022-02-16,2,1,0,8,1,1,8,Tốt
42,Tràng Định,2022-02-17,1,0,0,9,1,1,9,Tốt
43,Tràng Định,2022-02-18,1,1,2,3,6,2,6,Tốt
44,Tràng Định,2022-02-19,1,1,1,1,1,1,1,Tốt
45,Tràng Định,2022-02-20,2,1,0,1,1,1,2,Tốt
46,Tràng Định,2022-02-21,1,23,0,4,1,1,23,Tốt
47,Tràng Định,2022-02-22,21,35,0,6,1,0,35,Tốt
48,Tràng Định,2022-02-23,38,52,1,5,8,3,52,Vừa Phải
49,Tràng Định,2022-02-24,72,62,2,6,2,2,72,Vừa Phải
50,Tràng Định,2022-02-25,103,89,3,8,3,1,103,Không tốt cho người nhạy cảm
51,Tràng Định,2022-02-26,159,106,3,9,4,2,159,Không tốt
52,Tràng Định,2022-02-27,192,102,1,10,4,2,192,Không tốt
53,Tràng Định,2022-02-28,180,76,1,14,18,4,180,Không tốt
54,Tràng Định,2022-03-01,142,80,1,9,5,1,142,Không tốt cho người nhạy cảm
55,Tràng Định,2022-03-02,155,70,5,7,4,1,155,Không tốt
56,Tràng Định,2022-03-03,124,63,3,10,3,1,124,Không tốt cho người nhạy cảm
57,Tràng Định,2022-03-04,105,56,2,9,2,1,105,Không tốt cho người nhạy cảm
58,Tràng Định,2022-03-05,109,21,3,8,21,11,109,Không tốt cho người nhạy cảm
59,Tràng Định,2022-03-06,38,2,4,4,2,3,38,Tốt
60,Tràng Định,2022-03-07,3,1,4,6,3,1,6,Tốt
61,Tràng Định,2022-03-08,1,2,3,5,2,1,5,Tốt
62,Tràng Định,2022-03-09,3,1,3,5,2,1,5,Tốt
63,Tràng Định,2022-03-10,2,3,4,10,18,10,18,Tốt
64,Tràng Định,2022-03-11,4,1,2,10,5,1,10,Tốt
65,Tràng Định,2022-03-12,1,1,3,9,4,1,9,Tốt
66,Tràng Định,2022-03-13,1,1,3,7,4,1,7,Tốt
67,Tràng Định,2022-03-14,1,2,4,7,3,2,7,Tốt
68,Tràng Định,2022-03-15,3,4,3,13,20,6,20,Tốt
69,Tràng Định,2022-03-16,8,1,3,6,4,2,8,Tốt
70,Tràng Định,2022-03-17,2,2,23,8,3,2,23,Tốt
71,Tràng Định,2022-03-18,2,1,23,15,8,1,23,Tốt
72,Tràng Định,2022-03-19,1,2,23,8,2,2,23,Tốt
73,Tràng Định,2022-03-20,2,3,23,10,28,10,28,Tốt
74,Tràng Định,2022-03-21,6,1,24,5,1,1,24,Tốt
75,Tràng Định,2022-03-22,1,1,23,3,1,0,23,Tốt
76,Tràng Định,2022-03-23,1,0,23,4,2,1,23,Tốt
77,Tràng Định,2022-03-24,1,1,24,8,2,2,24,Tốt
78,Tràng Định,2022-03-25,1,42,24,8,18,5,42,Tốt
79,Tràng Định,2022-03-26,60,40,23,4,2,1,60,Vừa Phải
80,Tràng Định,2022-03-27,51,35,23,4,2,1,51,Vừa Phải
81,Tràng Định,2022-03-28,43,70,23,10,3,1,70,Vừa Phải
82,Tràng Định,2022-03-29,115,23,23,9,22,6,115,Không tốt cho người nhạy cảm
83,Tràng Định,2022-03-30,38,21,22,5,1,1,38,Tốt
84,Tràng Định,2022-03-31,25,14,22,3,1,0,25,Tốt
85,Tràng Định,2022-04-01,14,24,23,6,1,1,24,Tốt
86,Tràng Định,2022-04-02,26,41,23,7,2,1,41,Tốt
87,Tràng Định,2022-04-03,50,53,24,7,4,1,53,Vừa Phải
88,Tràng Định,2022-04-04,70,66,24,8,2,2,70,Vừa Phải
