date, pm25, pm10, o3, no2, so2
2023/10/1, 36, 41, 8, , 1
2023/10/2, 39, 40, 8, , 1
2023/10/3, 38, 40, 8, , 1
2023/10/4, 39, 39, 8, , 1
2023/10/5, 39, 37, 8, , 1
2023/10/6, 38, 38, 8, , 1
2023/10/7, 36, 39, 9, , 1
2023/10/8, 36, 38, 8, , 1
2023/10/9, 36, 40, 9, , 1
2023/10/10, 38, 37, 9, 52, 3
2023/10/11, 36, 38, 8, , 1
2023/10/12, 38, 37, 8, , 1
2023/10/13, 38, 37, 8, , 1
2023/10/14, 37, 37, 8, , 1
2023/10/15, 36, 37, 8, , 1
2023/10/16, 38, 37, 8, , 1
2023/10/17, 39, 36, 9, 20, 6
2023/10/18, 39, 37, 9, , 1
2023/10/19, 39, 36, 9, , 1
2023/10/20, 38, , , , 
2023/7/1, 20, 44, 16, 7, 4
2023/7/2, 17, 39, 16, 5, 5
2023/7/3, 13, 42, 16, 5, 4
2023/7/4, 15, 42, 15, 5, 4
2023/7/5, 14, 43, 15, 6, 4
2023/7/6, 17, 45, 15, 6, 4
2023/7/7, 18, 46, 14, 6, 4
2023/7/8, 22, 45, 14, 6, 4
2023/7/9, 21, , , , 
2023/7/23, 19, 44, 5, , 2
2023/7/24, 19, 46, 5, , 2
2023/7/25, 21, 45, 6, , 2
2023/7/26, 21, 45, 8, , 2
2023/7/27, 25, 42, 7, , 2
2023/7/28, 24, 43, 7, , 2
2023/7/29, 24, 40, 7, , 2
2023/7/30, 20, 40, 4, 25, 2
2023/7/31, 19, 39, 5, , 1
2023/8/1, 17, 38, 5, 1, 1
2023/8/2, 15, 39, 5, , 2
2023/8/3, 17, 39, 4, , 2
2023/8/4, 16, 38, 4, , 1
2023/8/5, 16, 38, 4, , 2
2023/8/6, 16, 39, 4, 1, 2
2023/8/7, 17, 38, 5, 22, 1
2023/8/8, 16, 40, 5, 3, 1
2023/8/9, 21, 39, 5, 3, 1
2023/8/10, 19, 39, 5, 6, 
2023/8/11, 18, 39, 5, 2, 
2023/8/12, 19, 40, 5, 7, 
2023/8/13, 22, 41, 6, 2, 
2023/8/14, 25, 39, 4, , 
2023/8/15, 22, , , , 
2023/8/28, 22, 40, 2, 14, 1
2023/8/29, 25, 40, 2, , 1
2023/8/30, 28, 40, 9, 13, 1
2023/8/31, 28, 39, 8, , 1
2023/9/1, 30, 39, 8, , 1
2023/9/2, 31, 41, 8, , 1
2023/9/3, 30, 41, 8, 14, 1
2023/9/4, 26, 40, 8, 2, 1
2023/9/5, 25, 41, 8, 1, 1
2023/9/6, 32, 40, 8, , 1
2023/9/7, 32, 42, 8, , 1
2023/9/8, 32, 42, 8, 1, 1
2023/9/9, 32, 40, 8, , 1
2023/9/10, 30, 41, 8, 26, 1
2023/9/11, 30, 40, 8, , 1
2023/9/12, 30, 41, , , 1
2023/9/13, 31, 42, 8, , 1
2023/9/14, 30, 40, 8, , 1
2023/9/15, 29, 41, 8, 3, 1
2023/9/16, 31, 41, 8, , 1
2023/9/17, 30, , , , 
2023/9/19, 32, 37, 8, 20, 1
2023/9/20, 29, 40, 8, , 1
2023/9/21, 34, 41, 8, , 1
2023/9/22, 35, 40, 8, 2, 1
2023/9/23, 35, 41, 8, , 1
2023/9/24, 36, 41, 8, , 1
2023/9/25, 37, 42, 8, 2, 1
2023/9/26, 37, 41, 8, , 1
2023/9/27, 36, 40, 8, , 1
2023/9/28, 35, 40, 8, , 1
2023/9/29, 36, 42, 8, , 1
2023/9/30, 36, 39, 8, , 1
2023/4/1, 33, 39, 6, 6, 4
2023/4/2, 33, 43, 6, 7, 4
2023/4/3, 44, 49, 7, 8, 4
2023/4/4, 59, 56, 7, 6, 4
2023/4/5, 75, 53, 8, 6, 4
2023/4/6, 67, 45, 7, 4, 4
2023/4/7, 32, 46, 8, 6, 4
2023/4/8, 38, 40, 7, 6, 4
2023/4/9, 33, 36, 7, 5, 4
2023/4/10, 19, 40, 7, 6, 4
2023/4/11, 23, 40, 7, 5, 4
2023/4/12, 28, 41, 7, 5, 4
2023/4/13, 27, 40, 7, 5, 4
2023/4/14, 26, 41, 8, 6, 4
2023/4/15, 25, 45, 8, 5, 4
2023/4/16, 32, 46, 8, 17, 10
2023/4/17, 37, 44, 7, 10, 4
2023/4/18, 38, 51, 7, 9, 4
2023/4/19, 53, 51, 8, 8, 4
2023/4/20, 48, 54, 8, 8, 4
2023/4/21, 57, 57, 9, 8, 4
2023/4/22, 67, 51, 8, 7, 4
2023/4/23, 47, 47, 8, 7, 4
2023/4/24, 37, 41, 8, 6, 4
2023/4/25, 16, 45, 8, 10, 4
2023/4/26, 21, 46, 8, 11, 4
2023/4/27, 31, 42, 7, 9, 4
2023/4/28, 23, 42, 8, 8, 4
2023/4/29, 20, 46, 7, 7, 4
2023/4/30, 25, 49, 8, 7, 4
2023/5/1, 26, 52, 8, 10, 4
2023/5/2, 34, 49, 8, 9, 4
2023/5/3, 30, 45, 8, 8, 4
2023/5/4, 23, 49, 8, 14, 4
2023/5/5, 33, 53, 9, 9, 4
2023/5/6, 47, 52, 13, 7, 4
2023/5/7, 43, 40, 11, 5, 4
2023/5/8, 12, 41, 8, 3, 4
2023/5/9, 13, 43, 9, 5, 4
2023/5/10, 23, 45, 12, 6, 4
2023/5/11, 20, 41, 13, 7, 4
2023/5/12, 14, 41, 12, 7, 4
2023/5/13, 17, 43, 12, 6, 4
2023/5/14, 20, 46, 13, 7, 4
2023/5/15, 23, 49, 14, 9, 4
2023/5/16, 29, 51, 18, 7, 4
2023/5/17, 32, 52, 23, 7, 4
2023/5/18, 36, 47, 24, 7, 4
2023/5/19, 26, 54, 26, 6, 4
2023/5/20, 38, 54, 28, 7, 4
2023/5/21, 38, 53, 30, 7, 4
2023/5/22, 36, 46, 29, 4, 4
2023/5/23, 19, 45, 29, 5, 4
2023/5/24, 19, 47, 29, 7, 4
2023/5/25, 23, 49, 28, 6, 4
2023/5/26, 24, 44, 28, 6, 4
2023/5/27, 17, 46, 28, 5, 4
2023/5/28, 18, 47, 29, 6, 5
2023/5/29, 21, 49, 27, 6, 4
2023/5/30, 27, 50, 25, 7, 4
2023/5/31, 28, 51, 24, 8, 4
2023/6/1, 30, 50, 24, 7, 4
2023/6/2, 29, 45, 15, 7, 4
2023/6/3, 21, 44, 12, 6, 4
2023/6/4, 18, 45, 12, 5, 4
2023/6/5, 18, 40, 11, 5, 5
2023/6/6, 14, 40, 21, 5, 3
2023/6/7, 14, 40, 21, 6, 4
2023/6/8, 14, , , , 
2023/6/15, 16, 44, 32, 5, 4
2023/6/16, 15, 46, 44, 6, 4
2023/6/17, 18, 43, 63, 7, 4
2023/6/18, 14, 42, 71, 6, 4
2023/6/19, 14, 44, 40, 6, 4
2023/6/20, 14, 43, 41, 6, 4
2023/6/21, 14, 44, 42, 6, 4
2023/6/22, 15, 39, 41, 4, 4
2023/6/23, 9, 37, 39, 4, 5
2023/6/24, 8, 40, 38, 4, 5
2023/6/25, 10, 39, 38, 4, 5
2023/6/26, 9, 38, 37, 3, 5
2023/6/27, 10, 43, 19, 7, 4
2023/6/28, 15, 45, 19, 5, 5
2023/6/29, 17, 45, 17, 6, 4
2023/6/30, 19, 45, 17, 6, 5
2023/1/2, 56, 46, 16, 22, 9
2023/1/3, 55, 50, 3, 22, 5
2023/1/4, 55, 48, 3, 21, 5
2023/1/5, 63, 45, 3, 19, 5
2023/1/6, 52, 50, 3, 19, 5
2023/1/7, 64, 52, 4, 20, 6
2023/1/8, 70, 55, 4, 20, 6
2023/1/9, 83, 57, 4, 19, 6
2023/1/10, 85, 52, 4, 19, 6
2023/1/11, 71, 43, 4, 18, 6
2023/1/12, 42, 48, 4, 18, 6
2023/1/13, 52, 50, 4, 18, 6
2023/1/14, 61, 43, 7, 18, 5
2023/1/15, 41, 37, 7, 22, 5
2023/1/16, 42, 43, 6, 18, 5
2023/1/17, 48, 41, 6, 18, 5
2023/1/18, 51, 46, 7, 19, 5
2023/1/19, 61, 52, 7, 18, 5
2023/1/20, 79, 64, 7, 18, 5
2023/1/21, 110, 58, 8, 18, 5
2023/1/22, 101, 41, 7, 17, 5
2023/1/23, 61, 33, 9, 17, 5
2023/1/24, 46, 44, 9, 17, 5
2023/1/25, 56, 50, 8, 18, 5
2023/1/26, 74, 47, 9, 18, 5
2023/1/27, 65, 44, 9, 18, 5
2023/1/28, 51, 46, 9, 19, 5
2023/1/29, 61, 56, 9, 19, 5
2023/1/30, 87, 66, 11, 21, 5
2023/1/31, 111, 65, 11, 21, 5
2023/2/1, 114, 67, 11, 20, 6
2023/2/2, 118, , , , 
2023/2/10, 31, 40, 4, 16, 5
2023/2/11, 44, 44, 4, 17, 4
2023/2/12, 52, 44, 9, 17, 5
2023/2/13, 54, 38, 6, 17, 4
2023/2/14, 41, 42, 5, 18, 4
2023/2/15, 44, 45, 5, 18, 8
2023/2/16, 57, 43, 6, , 4
2023/2/17, 54, 47, 6, , 4
2023/2/18, 57, 44, 5, , 4
2023/2/19, 55, 44, 5, , 4
2023/2/20, 55, 50, 5, , 4
2023/2/21, 71, 55, 5, , 4
2023/2/22, 77, 52, 10, 22, 6
2023/2/23, 62, 38, 5, , 4
2023/2/24, 43, 40, 6, , 4
2023/2/25, 40, 45, 5, , 4
2023/2/26, 54, 53, 6, , 7
2023/2/27, 72, 55, 7, , 4
