date,max
2022-11-19,109.3
2022-11-20,243.1
2022-11-21,91.6
2022-11-22,193.7
2022-11-23,317.5
2022-11-24,294.7
2022-11-25,173.3
2022-11-26,256.7
2022-11-27,447.3
2022-11-28,351.9
2022-11-29,229.2
2022-11-30,1050.3
2022-12-01,326.4
2022-12-02,145.9
2022-12-03,327.7
2022-12-04,75
2022-12-05,231
2022-12-06,146.2
2022-12-07,116.5
2022-12-08,114.1
2022-12-09,509.1
2022-12-10,153
2022-12-11,2632.8
2022-12-12,497.8
2022-12-13,163.2
2022-12-14,798.1
2022-12-15,130.4
2022-12-16,305.9
2022-12-17,182.6
2022-12-18,234.6
2022-12-19,108.3
2022-12-20,319.4
2022-12-21,167.9
2022-12-22,121.9
2022-12-23,466.1
2022-12-24,182.2
2022-12-25,258.9
2022-12-26,358.8
2022-12-27,186.2
2023-01-08,241.7
2023-01-09,358.4
2023-01-10,370.1
2023-01-11,171.2
2023-01-12,183.8
2023-01-13,177.8
2023-01-14,593.5
2023-01-15,365.4
2023-01-16,577.2
2023-01-17,319
2023-01-18,244
2023-01-19,151.8
2023-01-20,183
2023-01-21,1264.5
2023-01-22,222
2023-01-23,290
2023-01-24,492
2023-01-25,657.9
2023-01-26,311.1
2023-01-27,250.8
2023-01-28,270.7
2023-01-29,106.9
2023-01-30,353.6
2023-01-31,254
2023-02-01,462.5
2023-02-02,480.5
2023-02-03,557
2023-02-04,138.1
2023-02-05,603.4
2023-02-06,479.8
2023-02-07,351.1
2023-02-08,527.4
2023-02-09,389.8
2023-02-10,465.7
2023-02-11,503
2023-02-12,234.1
2023-02-13,123.6
2023-02-14,137.4
2023-02-15,118.7
2023-02-16,159.6
2023-02-17,144.8
2023-02-18,311.3
2023-02-19,391.7
2023-02-20,74.8
2023-02-21,150
2023-02-22,359
2023-02-23,188.4
2023-02-24,213.2
2023-02-25,113.4
2023-02-26,316.5
2023-02-27,100.8
2023-02-28,106.6
2023-03-01,147.7
2023-03-02,103.4
2023-03-03,408
2023-03-04,99.4
2023-03-05,753.7
2023-03-06,229.5
2023-03-07,768.8
2023-03-08,353.1
2023-03-09,154.4
2023-03-10,287.9
2023-03-11,171.2
2023-03-12,192.2
2023-03-13,116.4
2023-03-14,476.5
2023-03-15,145
2023-03-16,106.4
2023-03-17,85
2023-03-18,2493.2
2023-03-19,474.6
2023-03-20,71.1
2023-03-21,503.3
2023-03-22,256.3
2023-03-23,1082.3
2023-03-24,97.8
2023-03-25,600.8
2023-03-26,1121.9
2023-03-27,545.7
2023-03-28,685.8
2023-03-29,405.3
2023-03-30,417.6
2023-03-31,323.4
2023-04-01,519.1
2023-04-02,385.6
2023-04-03,609.4
2023-04-04,501.3
2023-04-05,671.8
2023-04-06,378
2023-04-07,519.7
2023-04-08,732.4
2023-04-09,1066
2023-04-10,926.8
2023-04-11,812.9
2023-04-12,629.6
2023-04-13,577.9
2023-04-14,506.2
2023-04-15,608.8
2023-04-16,1486.7
2023-04-17,103.4
2023-04-18,1043
2023-04-19,196.6
2023-04-20,204.7
2023-04-21,705.6
2023-04-22,483.6
2023-04-23,1145.8
2023-04-24,556.9
2023-04-25,522.5
2023-04-26,396.4
2023-04-27,78
2023-04-28,573.1
2023-04-29,484.3
2023-04-30,161.1
2023-05-01,410.3
2023-05-02,365.7
2023-05-03,82
2023-05-04,417.8
2023-05-05,265.6
2023-05-06,1380.3
2023-05-07,1067.5
2023-05-15,95.9
2023-05-16,381.8
2023-05-17,310.3
2023-05-18,348.8
2023-05-19,94
2023-05-20,414.9
2023-05-21,631
2023-05-22,212.8
2023-05-23,178
2023-05-24,143.7
2023-05-25,65.2
2023-05-26,666.8
2023-05-27,282.7
2023-05-28,585.4
2023-05-29,695.7
2023-05-30,392.4
2023-05-31,500.3
2023-06-01,189.5
2023-06-02,238
2023-06-03,620.2
2023-06-04,225.5
2023-06-05,389
2023-06-06,352.5
2023-06-07,67.3
2023-06-08,52.4
2023-06-09,78.1
2023-06-10,48
2023-06-11,328
2023-06-12,225.4
2023-06-13,377.2
2023-06-14,300.5
2023-06-15,252.2
2023-06-16,370.8
2023-06-17,65.6
2023-06-18,101.9
2023-06-19,677.2
2023-06-20,304.8
2023-06-21,427.8
2023-06-22,452.8
2023-06-23,609.2
2023-06-24,575.8
2023-06-25,456.3
2023-06-26,206.3
2023-06-27,337.4
2023-06-28,525.7
2023-06-29,162.5
2023-06-30,725.3
2023-07-01,66.7
2023-07-02,379.4
2023-07-03,181.3
2023-07-04,287.6
2023-07-05,166.7
2023-07-06,369.9
2023-07-07,753.5
2023-07-08,706.6
2023-07-09,394
2023-07-10,427.7
2023-07-11,479.9
2023-07-12,79.4
2023-07-13,183.8
2023-07-14,549
2023-07-15,202.4
2023-07-16,114
2023-07-17,29.9
2023-07-18,34.7
2023-07-19,174.6
2023-07-20,65
2023-07-21,361
2023-07-22,734.1
2023-07-23,93.8
2023-07-24,148.5
2023-07-25,68.8
2023-07-26,69.3
2023-07-27,25.3
2023-07-28,53.9
2023-07-29,37.3
2023-07-30,270.8
2023-07-31,266.7
2023-08-01,238.7
2023-08-02,95.7
2023-08-03,58.3
2023-08-04,675.6
2023-08-05,238.8
2023-08-06,355.2
2023-08-07,212.7
2023-08-08,1362.3
2023-08-09,689.6
2023-08-10,59.7
2023-08-11,194.7
2023-08-12,338.4
2023-08-13,470
2023-08-14,254.8
2023-08-15,31.9
2023-08-16,348.2
2023-08-17,669.6
2023-08-18,83.4
2023-08-19,452.4
2023-08-20,176.3
2023-08-21,237
2023-08-22,377.6
2023-08-23,240.5
2023-08-24,385.4
2023-08-25,95.9
2023-08-26,57.4
2023-08-27,399.3
2023-08-28,415.2
2023-08-29,129
2023-08-30,52.6
2023-08-31,332.3
2023-09-01,810.4
2023-09-02,30.2
2023-09-03,280.2
2023-09-04,159.5
2023-09-05,329
2023-09-06,168.5
2023-09-07,635.1
2023-09-08,96.6
2023-09-09,99.8
2023-09-10,488.9
2023-09-18,458.2
2023-09-19,85.4
2023-09-20,98.4
2023-09-21,117.7
2023-09-22,756
2023-09-23,415.8
2023-09-24,50.5
2023-09-25,42.6
2023-09-26,101.2
2023-09-27,87.7
2023-09-28,104.6
2023-09-29,137.3
2023-09-30,186.5
2023-10-01,297.2
2023-10-02,67.8
2023-10-03,315.4
2023-10-04,433.6
2023-10-05,343.8
2023-10-06,80.2
2023-10-07,170.2
2023-10-08,467
2023-10-09,74.7
2023-10-10,664.9
2023-10-11,462
2023-10-12,115.2
2023-10-13,120.3
2023-10-14,691.2
2023-10-15,87.2
2023-10-16,68.4
2023-10-17,311.7
2023-10-18,536.4
2023-10-19,75.6
2023-10-20,391.1
2023-10-21,108.2
2023-10-22,938.7
2023-10-23,197.3
2023-10-24,392.1
2023-10-25,258
2023-10-26,179
2023-10-27,132.7
2023-10-28,105
2023-10-29,352.2
2023-10-30,1047.4
2023-10-31,142.9
2023-11-01,109.2
2023-11-02,184.5
2023-11-03,107
2023-11-04,120
2023-11-05,426.7
2023-11-06,374.2
2023-11-07,363.5
2023-11-08,460.4
2023-11-09,192.2
2023-11-10,827.2
2023-11-11,75.9
2023-11-12,77.3
2023-11-13,81.3
2023-11-14,1945.5
2023-11-15,645.6
2023-11-16,757.8
2023-11-17,124.5
2023-11-18,116.7
2023-11-19,247.2
2023-11-20,207.3
2023-11-21,371.2
2023-11-22,106.7
2023-11-23,693.9
2023-11-24,279.7
2023-11-25,89.3
