date,min,max,median,q1,q3,stdev,count
2022-11-19T00:00:00.000Z,6.8,109.3,25.6,20.3,34.75,12.673,644
2022-11-20T00:00:00.000Z,8.2,243.1,17.3,13,23.3,18.693,659
2022-11-21T00:00:00.000Z,12.6,91.6,36.6,19.6,54.3,18.667,664
2022-11-22T00:00:00.000Z,10.1,193.7,40.8,26.7,57.3,22.185,669
2022-11-23T00:00:00.000Z,8.3,317.5,48.6,37.95,57.75,28.563,684
2022-11-24T00:00:00.000Z,15.9,294.7,40.2,30.2,48.2,19.971,690
2022-11-25T00:00:00.000Z,5.5,173.3,28.4,13,46.7,23.265,663
2022-11-26T00:00:00.000Z,17.7,256.7,45.7,35.29,57.4,20.934,681
2022-11-27T00:00:00.000Z,12.9,447.3,42.3,31.7,51.9,33.291,642
2022-11-28T00:00:00.000Z,6.8,351.9,40.29,29.3,50,30.407,667
2022-11-29T00:00:00.000Z,7.6,229.2,44.2,31.15,52.25,23.195,673
2022-11-30T00:00:00.000Z,17.3,1050.3,62.4,52.75,72.4,47.419,668
2022-12-01T00:00:00.000Z,8.7,326.4,46.25,34.5,59.4,30.658,624
2022-12-02T00:00:00.000Z,4.4,145.9,27.3,18.1,47.2,20.691,687
2022-12-03T00:00:00.000Z,6,327.7,42.3,30.05,54.8,36.046,680
2022-12-04T00:00:00.000Z,6.3,75,27.15,21.4,36.79,14.409,402
2022-12-05T00:00:00.000Z,9.9,231,30.5,20.8,49.1,21.243,674
2022-12-06T00:00:00.000Z,9.8,146.2,37.45,26.75,46.65,14.567,664
2022-12-07T00:00:00.000Z,6.8,116.5,60.2,39.4,66.5,20.251,656
2022-12-08T00:00:00.000Z,15.2,114.1,48.3,36.7,56.2,16.897,678
2022-12-09T00:00:00.000Z,20.7,509.1,44.35,37,60.5,24.65,680
2022-12-10T00:00:00.000Z,20,153,50.2,40.85,60.85,23.336,680
2022-12-11T00:00:00.000Z,28.2,2632.8,56.4,46.1,65.3,154.611,619
2022-12-12T00:00:00.000Z,24.5,497.8,55.9,50.1,62.8,31.68,670
2022-12-13T00:00:00.000Z,17.1,163.2,59.5,51,65,18.03,682
2022-12-14T00:00:00.000Z,42,798.1,62,51.6,94.75,41.805,681
2022-12-15T00:00:00.000Z,41,130.4,65.5,53.4,79.3,16.799,660
2022-12-16T00:00:00.000Z,31.1,305.9,63.6,50.9,94.4,34.71,643
2022-12-17T00:00:00.000Z,11.2,182.6,55.3,37.2,79.45,29.322,685
2022-12-18T00:00:00.000Z,6.5,234.6,18.25,14.2,22.75,15.901,664
2022-12-19T00:00:00.000Z,13.5,108.3,36.4,26.3,61.7,18.678,657
2022-12-20T00:00:00.000Z,15.3,319.4,51.1,27.3,75.8,36.967,642
2022-12-21T00:00:00.000Z,31.3,167.9,62.4,56.4,70.2,14.648,664
2022-12-22T00:00:00.000Z,17.3,121.9,60.9,42.05,69.2,20.549,641
2022-12-23T00:00:00.000Z,42.3,466.1,68.1,55.3,75.7,21.992,653
2022-12-24T00:00:00.000Z,32,182.2,64.2,55.3,71.4,16.977,655
2022-12-25T00:00:00.000Z,24.5,258.9,70,42.3,80.9,32.1,682
2022-12-26T00:00:00.000Z,38.1,358.8,78.3,65,90.95,29.395,624
2022-12-27T00:00:00.000Z,46.9,186.2,75.34,62.25,86.85,20.898,344
2023-01-08T00:00:00.000Z,14.5,241.7,46.85,33.3,86.2,53.606,636
2023-01-09T00:00:00.000Z,19.3,358.4,59.2,47,70.7,34.182,683
2023-01-10T00:00:00.000Z,8.3,370.1,32.1,24.45,42.1,30.337,652
2023-01-11T00:00:00.000Z,11.6,171.2,28.1,21.5,39.3,23.737,667
2023-01-12T00:00:00.000Z,8.8,183.8,39.85,25.9,54.1,20.816,686
2023-01-13T00:00:00.000Z,10.6,177.8,48,27.6,58.3,20.608,660
2023-01-14T00:00:00.000Z,15.4,593.5,59.15,28.8,69,43.113,674
2023-01-15T00:00:00.000Z,14.4,365.4,77.45,41.9,103.8,45.257,662
2023-01-16T00:00:00.000Z,29.2,577.2,49.95,39.45,62.2,34.853,672
2023-01-17T00:00:00.000Z,28,319,46.7,40.29,57.4,24.63,661
2023-01-18T00:00:00.000Z,22.4,244,43.8,31.4,56.4,27.724,647
2023-01-19T00:00:00.000Z,30.2,151.8,53.8,36.79,65.1,16.999,671
2023-01-20T00:00:00.000Z,29.4,183,58.35,46.3,71,22.783,682
2023-01-21T00:00:00.000Z,26.2,1264.5,49.7,44.55,59.8,100.773,668
2023-01-22T00:00:00.000Z,6.7,222,22.9,17.39,64.5,27.396,670
2023-01-23T00:00:00.000Z,7.1,290,22,14.3,28.8,30.935,677
2023-01-24T00:00:00.000Z,4.6,492,13.8,9.4,26.7,45.137,618
2023-01-25T00:00:00.000Z,9.8,657.9,24.15,17.89,46,39.005,666
2023-01-26T00:00:00.000Z,17.8,311.1,56.05,33.35,68.25,25.826,652
2023-01-27T00:00:00.000Z,9.2,250.8,46.45,22.7,56.8,22.554,656
2023-01-28T00:00:00.000Z,8.6,270.7,26.45,20.9,34.85,23.532,652
2023-01-29T00:00:00.000Z,16,106.9,35.85,28,47,17.44,670
2023-01-30T00:00:00.000Z,25.8,353.6,66.5,42.6,78.5,29.238,667
2023-01-31T00:00:00.000Z,16.3,254,61.4,46.95,72.45,24.606,548
2023-02-01T00:00:00.000Z,13,462.5,58.4,35.9,69.5,35.734,531
