date,min,max,median,q1,q3,stdev,count
2022-11-13T00:00:00.000Z,29.33,113.9,48,38.92,56.59,14.545,220
2022-11-14T00:00:00.000Z,32.17,187.57,57.64,50.35,82.82,24.262,522
2022-11-15T00:00:00.000Z,24.58,151.05,49.8,34.5,64.34,20.302,518
2022-11-16T00:00:00.000Z,12,90.4,35.17,30.2,51.05,16.995,502
2022-11-17T00:00:00.000Z,10.05,62.6,32.2,23.75,42.32,12.299,509
2022-11-18T00:00:00.000Z,18.6,57.78,34.22,29.6,40.09,6.991,509
2022-11-19T00:00:00.000Z,17.95,1999.9,38.38,32.11,47.39,128.019,508
2022-11-20T00:00:00.000Z,25.38,157.57,56.93,39.7,90.59,31.76,508
2022-11-21T00:00:00.000Z,33.97,204.88,76.25,51.27,103.82,30.908,504
2022-11-22T00:00:00.000Z,37.95,199.95,75.53,55.08,106.96,34.874,496
2022-11-23T00:00:00.000Z,27.48,110.13,47.35,39.5,63.22,21.216,511
2022-11-24T00:00:00.000Z,15.07,111.38,29.5,25.33,36.08,11.041,515
2022-11-25T00:00:00.000Z,19.25,110.6,43.07,36.65,62.53,19.439,492
2022-11-26T00:00:00.000Z,21.9,122.7,82.94,60.38,94.07,23.451,498
2022-11-27T00:00:00.000Z,12.2,94.3,22.27,17.95,37.92,14.859,519
2022-11-28T00:00:00.000Z,21.63,51.58,32.94,29.37,37.1,5.516,492
2022-11-29T00:00:00.000Z,19,1999.9,30.08,26.6,35.4,121.411,405
2022-11-30T00:00:00.000Z,5.47,53.25,15.95,10.27,22.48,8.969,503
2022-12-01T00:00:00.000Z,3.85,41.4,11.31,9.27,14.09,4.518,464
2022-12-02T00:00:00.000Z,9.75,61.85,24.35,16.63,31.88,9.934,554
2022-12-03T00:00:00.000Z,16.13,103.3,60.92,41.58,71.65,20.47,547
2022-12-04T00:00:00.000Z,6.03,47.47,19.25,16.11,22.79,6.534,492
2022-12-05T00:00:00.000Z,8.25,834.8,33.92,16.55,48.28,49.877,480
2022-12-06T00:00:00.000Z,22.75,163.52,74,42.3,99.32,34.646,511
2022-12-07T00:00:00.000Z,60.13,125.47,78.28,71.95,85.41,10.462,505
2022-12-08T00:00:00.000Z,38.88,145.22,58.95,53.23,69.89,14.712,533
2022-12-09T00:00:00.000Z,42.35,103.63,75.93,59.31,86.05,14.993,489
2022-12-10T00:00:00.000Z,53.08,121.53,79.01,62.53,86.03,15.622,498
2022-12-11T00:00:00.000Z,41.45,139.88,69.01,54.4,94.28,23.639,526
2022-12-12T00:00:00.000Z,40.97,272.14,108.09,54.58,153.69,54.872,482
2022-12-13T00:00:00.000Z,35.29,183.7,84.58,59.86,105.41,29.073,500
2022-12-14T00:00:00.000Z,35.88,218.7,90.57,50.45,127.18,42.166,475
2022-12-15T00:00:00.000Z,50.22,256.25,100.95,84.86,132.94,41.53,513
2022-12-16T00:00:00.000Z,44.55,275.27,99.45,65.62,171.34,60.544,468
2022-12-17T00:00:00.000Z,19.55,104.85,38.7,30.97,53.78,14.2,492
2022-12-18T00:00:00.000Z,22.33,199.7,70.03,33.58,108.1,44.434,493
2022-12-19T00:00:00.000Z,45.4,409.8,73.43,58.83,111.65,54.839,499
2022-12-20T00:00:00.000Z,51.05,281.48,98.84,81.67,143.44,42.355,504
2022-12-21T00:00:00.000Z,50.03,258.8,85.47,68.31,138.37,45.363,469
