date,median
2022-10-05,19.85
2022-10-06,24.7
2022-10-07,45
2022-10-08,59.3
2022-10-09,21.15
2022-10-10,59.7
2022-10-11,61.85
2022-10-12,55.1
2022-10-13,86.15
2022-10-14,93.1
2022-10-15,116.2
2022-10-16,59.2
2022-10-17,62.2
2022-10-18,65.6
2022-10-21,59.5
2022-10-22,74.8
2022-10-23,86.9
2022-10-24,78.09
2022-10-25,96.7
2022-10-26,94.1
2022-10-27,51.55
2022-10-28,74.8
2022-10-29,134.55
2022-10-30,72.8
2022-10-31,34.29
2022-11-01,66.3
2022-11-02,76.34
2022-11-03,115.9
2022-11-04,78.5
2022-11-05,72.4
2022-11-06,97.6
2022-11-07,111.4
2022-11-08,100.7
2022-11-09,76.09
2022-11-10,95.2
2022-11-11,63.6
2022-11-12,51.4
2022-11-13,73.15
2022-11-14,64.9
2022-11-15,52.3
2022-11-16,40.3
2022-11-17,42.1
2022-11-18,38.1
2022-11-19,49.4
2022-11-20,72.7
2022-11-21,78.9
2022-11-22,81.7
2022-11-23,65.09
2022-11-24,42.3
2022-11-25,54.65
2022-11-26,59.3
2022-11-27,27
2022-11-28,43.1
2022-11-29,40.1
2022-11-30,26.4
2022-12-01,16.8
2022-12-02,44.9
2022-12-03,70.2
2022-12-04,41.25
2022-12-05,58.7
2022-12-06,102.5
2022-12-07,82.1
2022-12-08,72.4
2022-12-09,82.85
2022-12-10,86.3
2022-12-11,84.5
2022-12-12,131.3
2022-12-13,109.3
2022-12-14,136.85
2022-12-15,130.1
2022-12-16,176.3
2022-12-17,60.4
2022-12-18,121.2
2022-12-19,91.8
2022-12-20,150.9
2022-12-21,148.44
2022-12-22,131.6
2022-12-23,69.5
2022-12-24,90.1
2022-12-25,69.45
2022-12-26,183.3
2022-12-27,71.2
2022-12-28,48.7
2022-12-29,61.3
2022-12-30,75.25
2022-12-31,84.8
2023-01-01,136.35
2023-01-02,83.1
2023-01-03,107.05
2023-01-04,108.15
2023-01-05,82.7
2023-01-06,73.09
2023-01-07,108.5
2023-01-08,122.5
2023-01-09,177.7
2023-01-10,116.2
2023-01-11,77.84
2023-01-12,69.15
2023-01-13,74.45
