date,min,max,median,q1,q3,stdev,count
2022-10-05T00:00:00.000Z,10.2,51.6,19.85,17.8,24.2,11.922,386
2022-10-06T00:00:00.000Z,10.3,60.5,24.7,19.8,41.1,13.324,635
2022-10-07T00:00:00.000Z,8.5,98.8,45,25.35,55.6,21.715,621
2022-10-08T00:00:00.000Z,31,80.9,59.3,51.85,65.6,10.076,656
2022-10-09T00:00:00.000Z,8,250.6,21.15,13.7,50.1,22.963,658
2022-10-10T00:00:00.000Z,13.3,135.7,59.7,18.8,72.3,29.164,642
2022-10-11T00:00:00.000Z,18.5,198.4,61.85,30.5,91.9,37.178,662
2022-10-12T00:00:00.000Z,30.3,377.5,55.1,44.5,76.2,34.24,670
2022-10-13T00:00:00.000Z,40.7,908.4,86.15,62.2,126.6,53.828,654
2022-10-14T00:00:00.000Z,34.5,158.6,93.1,54.05,117.3,35.485,661
2022-10-15T00:00:00.000Z,39.9,278.2,116.2,50.8,136.6,46.051,658
2022-10-16T00:00:00.000Z,41.4,336.3,59.2,49.8,92.5,26.565,645
2022-10-17T00:00:00.000Z,42.3,255.6,62.2,50,71.9,21.447,642
2022-10-18T00:00:00.000Z,52.8,219.2,65.6,58.2,107.25,34.208,473
2022-10-21T00:00:00.000Z,22,192,59.5,50.1,63.5,14.104,587
2022-10-22T00:00:00.000Z,31.7,593,74.8,57.9,90.4,31.911,642
2022-10-23T00:00:00.000Z,42.2,416.9,86.9,59.5,132.6,43.594,643
2022-10-24T00:00:00.000Z,49.9,323,78.09,66.4,96.6,27.68,602
2022-10-25T00:00:00.000Z,62.4,291.9,96.7,87.65,103.15,17.694,649
2022-10-26T00:00:00.000Z,40.2,267.3,94.1,52.8,114.1,32.528,627
2022-10-27T00:00:00.000Z,27.8,559.4,51.55,41.2,57.4,23.558,640
2022-10-28T00:00:00.000Z,53.9,204.8,74.8,64.5,97,22.162,623
2022-10-29T00:00:00.000Z,73.2,538.4,134.55,89.05,165.9,41.619,624
2022-10-30T00:00:00.000Z,47.5,194.7,72.8,59.15,91.65,24.977,633
2022-10-31T00:00:00.000Z,15.4,230.6,34.29,28.45,48.95,16.515,652
2022-11-01T00:00:00.000Z,15.1,374.3,66.3,33.29,89.8,37.589,643
2022-11-02T00:00:00.000Z,26.8,293,76.34,55.6,126.6,57.009,688
2022-11-03T00:00:00.000Z,58.1,334.7,115.9,77.9,142.6,51.495,631
2022-11-04T00:00:00.000Z,48.3,222.6,78.5,64.45,118.4,35.959,661
2022-11-05T00:00:00.000Z,55.1,301.4,72.4,64.3,96.1,34.293,662
2022-11-06T00:00:00.000Z,62,343,97.6,83.65,119.3,31.546,681
2022-11-07T00:00:00.000Z,58.9,399,111.4,86,145.9,40.145,679
2022-11-08T00:00:00.000Z,66.1,285.1,100.7,83.5,161.1,43.109,667
2022-11-09T00:00:00.000Z,26,287.7,76.09,45.9,93.85,40.552,677
2022-11-10T00:00:00.000Z,65.1,319.6,95.2,86.4,106.1,26.393,683
2022-11-11T00:00:00.000Z,33.5,213.5,63.6,51.5,74.34,32.077,677
