date, pm25, pm10, o3, no2, so2, co, aqi
2023/10/1, 118, 48, , , , , 108
2023/10/2, 108, 55, , , , , 125
2023/10/3, 125, 52, , , , , 116
2023/10/4, 116, 47, , , , , 106
2023/10/5, 106, 47, , , , , 113
2023/10/6, 113, 42, , , , , 102
2023/10/7, 102, 26, , , , , 64
2023/10/8, 64, 24, , , , , 61
2023/10/9, 61, 22, , , , , 57
2023/10/10, 57, 21, , , , , 56
2023/10/11, 56, 31, , , , , 84
2023/10/12, 84, 61, , , , , 140
2023/10/13, 140, 54, , , , , 130
2023/10/14, 129, 30, , , , , 71
2023/10/15, 72, 55, , , , , 127
2023/10/16, 127, 68, , , , , 142
2023/10/17, 142, 79, , , , , 154
2023/10/18, 154, 142, , , , , 244
2023/10/19, 244, , , , , , 
2023/7/1, 72, 30, , , , , 68
2023/7/2, 68, 33, , , , , 64
2023/7/3, 64, 33, , , , , 73
2023/7/4, 73, 33, , , , , 71
2023/7/5, 71, 24, , , , , 47
2023/7/6, 47, 28, , , , , 49
2023/7/7, 49, 30, , , , , 56
2023/7/8, 56, 20, , , , , 42
2023/7/9, 42, 21, , , , , 50
2023/7/10, 50, 28, , , , , 59
2023/7/11, 59, 25, , , , , 47
2023/7/12, 47, 29, , , , , 67
2023/7/13, 67, 22, , , , , 51
2023/7/14, 51, 40, , , , , 91
2023/7/15, 91, 46, , , , , 84
2023/7/16, 84, 56, , , , , 100
2023/7/17, 100, 37, , , , , 82
2023/7/18, 82, 40, , , , , 103
2023/7/19, 103, 70, , , , , 153
2023/7/20, 153, 62, , , , , 132
2023/7/21, 132, 31, , , , , 69
2023/7/22, 70, 23, , , , , 46
2023/7/23, 46, 18, , , , , 42
2023/7/24, 42, 17, , , , , 38
2023/7/25, 38, 21, , , , , 50
2023/7/26, 51, 36, , , , , 82
2023/7/27, 82, 40, , , , , 92
2023/7/28, 92, 48, , , , , 113
2023/7/29, 113, 52, , , , , 114
2023/7/30, 114, 35, , , , , 86
2023/7/31, 86, 49, , , , , 117
2023/8/1, 117, 70, , , , , 150
2023/8/2, 151, 51, , , , , 117
2023/8/3, 117, 41, , , , , 108
2023/8/4, 108, 32, , , , , 79
2023/8/5, 79, 32, , , , , 70
2023/8/6, 70, 28, , , , , 60
2023/8/7, 60, 29, , , , , 61
2023/8/8, 61, 37, , , , , 88
2023/8/9, 88, 60, , , , , 134
2023/8/10, 134, 103, , , , , 198
2023/8/11, 198, 58, , , , , 129
2023/8/12, 129, 58, , , , , 132
2023/8/13, 132, 19, , , , , 53
2023/8/14, 53, 52, , , , , 128
2023/8/15, 127, 57, , , , , 126
2023/8/16, 126, 55, , , , , 118
2023/8/17, 118, 41, , , , , 96
2023/8/18, 96, 72, , , , , 159
2023/8/19, 159, 48, , , , , 107
