date,max
2022-11-29,38.6
2022-11-30,34.6
2022-12-12,255.9
2022-12-13,182.3
2022-12-14,233.9
2022-12-15,306.2
2022-12-16,302.6
2022-12-17,159
2022-12-18,244.5
2022-12-19,381.3
2022-12-20,364.9
2022-12-21,262.5
2022-12-22,238.7
2022-12-23,266.6
2022-12-24,451.8
2022-12-25,269.6
2022-12-26,418.3
2022-12-27,108.1
2022-12-28,184.4
2022-12-29,79.8
2022-12-30,135.7
2022-12-31,171.2
2023-01-01,223
2023-01-02,187
2023-01-03,218.7
2023-01-04,219.9
2023-01-05,154.7
2023-01-06,86.2
2023-01-07,314.7
2023-01-08,201.1
2023-01-09,278.4
2023-01-10,271.8
2023-01-11,139.3
2023-01-12,89.9
2023-01-13,134.5
2023-01-14,211.7
2023-01-15,139
2023-01-16,110.5
2023-01-17,106.8
2023-01-18,240.9
2023-01-19,257.7
2023-01-20,309.2
2023-01-21,404.5
2023-01-22,248.2
2023-01-23,198.8
2023-01-24,115.4
2023-01-25,93.1
2023-01-26,163.4
2023-01-27,131.5
2023-01-28,244.7
2023-01-29,236.6
2023-01-30,226.5
2023-01-31,231
2023-02-01,159.6
2023-02-02,225
2023-02-03,69.9
2023-02-04,79.5
2023-02-05,135.2
2023-02-06,61.9
2023-02-07,77.8
2023-02-08,55.2
2023-02-09,59.7
2023-02-10,56.9
2023-02-11,56.7
2023-02-12,79
2023-02-13,87
2023-02-14,147.4
2023-02-15,124.3
2023-02-16,208.9
2023-02-17,207
2023-02-18,187.5
2023-02-19,176.4
2023-02-20,165.6
2023-02-21,122.8
2023-02-22,70.9
2023-02-23,81.7
2023-02-24,148
2023-02-25,215.9
2023-02-26,228.6
2023-02-27,202.9
2023-02-28,186.6
2023-03-01,211.8
2023-03-02,250.7
2023-03-03,254
2023-03-04,164.6
2023-03-05,168.2
2023-03-06,183.9
2023-03-07,79.3
2023-03-08,145.2
2023-03-09,190.8
2023-03-10,172.8
2023-03-11,114.2
2023-03-12,241.4
2023-03-13,195
2023-03-14,202.3
2023-03-15,109.2
2023-03-16,48.6
2023-03-17,52.2
2023-03-18,58
2023-03-19,49.7
2023-03-20,63.8
2023-03-21,105.5
2023-03-22,123.3
2023-03-23,213
2023-03-24,117.5
2023-03-25,115.4
2023-03-26,61.9
2023-03-27,117.1
2023-03-28,81.2
2023-03-29,111.7
2023-03-30,117.3
2023-03-31,151.5
2023-04-01,130.2
2023-04-02,68.3
2023-04-03,85.9
2023-04-04,105
2023-04-05,155.1
2023-04-06,138.3
2023-04-07,109.6
2023-04-08,133.5
2023-04-09,118.9
2023-04-10,170.4
2023-04-11,123.3
2023-04-12,87.1
2023-04-13,81.6
2023-04-14,91.7
2023-04-15,109.7
2023-04-16,91.2
2023-04-17,84.5
2023-04-18,79.8
2023-04-19,128.9
2023-04-20,122.9
2023-04-21,111.5
2023-04-22,86.6
2023-04-23,79.5
2023-04-24,58.5
2023-04-25,55.2
2023-04-26,119.6
2023-04-27,62.5
2023-04-28,51.5
2023-04-29,47.3
2023-04-30,69.1
2023-05-01,69.3
2023-05-02,50.2
2023-05-03,42.9
2023-05-04,63.2
2023-05-05,56
2023-05-06,71.8
2023-05-07,86.6
2023-05-15,50.5
2023-05-16,110.1
2023-05-17,129
2023-05-18,87.6
2023-05-19,78.7
2023-05-20,65.1
2023-05-21,110.4
2023-05-22,87
2023-05-23,96.7
2023-05-24,81.2
2023-05-25,95.3
2023-05-26,95
2023-05-27,45.8
2023-05-28,42.2
2023-05-29,65.2
2023-05-30,70.5
2023-05-31,94.4
2023-06-01,86.7
