date,median
2022-11-13,48
2022-11-14,57.64
2022-11-15,49.8
2022-11-16,35.17
2022-11-17,32.2
2022-11-18,34.22
2022-11-19,38.38
2022-11-20,56.93
2022-11-21,76.25
2022-11-22,75.53
2022-11-23,47.35
2022-11-24,29.5
2022-11-25,43.07
2022-11-26,82.94
2022-11-27,22.27
2022-11-28,32.94
2022-11-29,30.08
2022-11-30,15.95
2022-12-01,11.31
2022-12-02,24.35
2022-12-03,60.92
2022-12-04,19.25
2022-12-05,33.92
2022-12-06,74
2022-12-07,78.28
2022-12-08,58.95
2022-12-09,75.93
2022-12-10,79.01
2022-12-11,69.01
2022-12-12,108.09
2022-12-13,84.58
2022-12-14,90.57
2022-12-15,100.95
2022-12-16,99.45
2022-12-17,38.7
2022-12-18,70.03
2022-12-19,73.43
2022-12-20,98.84
2022-12-21,85.47
2022-12-22,78.28
2022-12-23,49.57
2022-12-24,66.06
2022-12-25,55.33
2022-12-26,126.1
2022-12-27,52.56
2022-12-28,26.39
2022-12-29,36.65
2022-12-30,49.25
2022-12-31,72.78
2023-01-01,86.35
2023-01-02,73.31
2023-01-03,85.7
2023-01-04,108.75
2023-01-05,75
2023-01-06,53.85
2023-01-07,79.75
2023-01-08,93.9
2023-01-09,161.97
2023-01-10,99.44
2023-01-11,77.55
2023-01-12,78.72
2023-01-13,78.76
2023-01-14,96.28
2023-01-15,33.7
2023-01-16,38.28
2023-01-17,52.7
2023-01-18,81.52
2023-01-19,76.41
2023-01-20,154.69
2023-01-21,137.04
2023-01-22,172.8
2023-01-23,64.63
2023-01-24,36.04
2023-01-25,72.22
2023-01-26,96.5
2023-01-27,64.97
2023-01-28,61.1
2023-01-29,81.2
2023-01-30,100.18
2023-01-31,73.81
2023-02-01,66.68
2023-02-02,112.46
2023-02-03,59.21
2023-02-04,64.15
2023-02-05,44.45
2023-02-06,61.83
2023-02-07,60.05
2023-02-08,43.3
2023-02-09,61.13
2023-02-10,64.14
2023-02-11,68.65
2023-02-12,69.15
2023-02-13,59.79
2023-02-14,35.54
2023-02-15,45.45
2023-02-16,77.95
2023-02-17,132.33
2023-02-18,84.7
2023-02-19,105.45
2023-02-20,70.68
2023-02-21,84.7
2023-02-22,55.44
2023-02-23,50.71
2023-02-24,39.57
2023-02-25,36.29
2023-02-26,55.13
2023-02-27,86.45
2023-02-28,79.8
2023-03-01,151.47
2023-03-02,109.15
2023-03-03,95.45
2023-03-04,65.18
2023-03-05,118.93
2023-03-06,73.4
2023-03-07,64.27
2023-03-08,79.48
2023-03-09,127.1
2023-03-10,107.2
2023-03-11,80.13
2023-03-12,70.97
2023-03-13,62.05
2023-03-14,92
2023-03-15,84.42
2023-03-16,51.87
2023-03-17,59.16
2023-03-18,58.08
2023-03-19,41.8
2023-03-20,72.09
2023-03-21,109.12
2023-03-22,91.62
2023-03-23,93.85
2023-03-24,81.7
2023-03-25,63.7
2023-03-26,28.42
2023-03-27,22.98
2023-03-28,31.66
2023-03-29,38.29
2023-03-30,72.48
2023-03-31,109.53
2023-04-01,110.3
2023-04-02,84.25
2023-04-03,64.44
2023-04-04,89.3
2023-04-05,87.93
2023-04-06,76.9
2023-04-07,55.79
2023-04-08,48.78
2023-04-09,95.88
2023-04-10,110.5
2023-04-11,91.39
2023-04-12,105.57
2023-04-13,68.31
2023-04-14,86.59
2023-04-15,93.6
2023-04-16,81.39
2023-04-17,87.35
2023-04-18,83.72
2023-04-19,87.7
2023-04-20,92.82
2023-04-21,104.94
2023-04-22,77.59
2023-04-23,61.27
2023-04-24,43.42
2023-04-25,27.49
2023-04-26,42.49
2023-04-27,49.28
2023-04-28,43.2
2023-04-29,17.3
2023-04-30,31.15
2023-05-01,47.15
2023-05-02,41.33
2023-05-03,31.23
2023-05-04,51.37
2023-05-05,56.3
2023-05-06,52.73
2023-05-07,56.58
2023-05-15,36.63
