date,min,max,median,q1,q3,stdev,count
2022-11-13T00:00:00.000Z,16.52,67.63,28.59,20.23,34.84,10.198,220
2022-11-14T00:00:00.000Z,19.1,108.65,34.84,30.7,50.33,15.403,522
2022-11-15T00:00:00.000Z,13.9,86.2,29.39,19.1,37.35,11.902,518
2022-11-16T00:00:00.000Z,6.25,52.5,17.36,14.5,27.9,11.42,502
2022-11-17T00:00:00.000Z,4.15,35.17,17.6,11.88,22.98,7.326,509
2022-11-18T00:00:00.000Z,9.98,29.08,17.52,15.38,19.63,3.233,509
2022-11-19T00:00:00.000Z,10.93,999.9,21.85,17.39,27.63,64.285,508
2022-11-20T00:00:00.000Z,14.18,88.28,34.79,23.05,53.76,19.979,508
2022-11-21T00:00:00.000Z,21.83,144.3,45.84,31.54,65.23,19.792,504
2022-11-22T00:00:00.000Z,24.48,114.5,46.23,33.03,68.88,21.448,496
2022-11-23T00:00:00.000Z,18.8,67.59,28.33,24.25,36.95,13.269,511
2022-11-24T00:00:00.000Z,8.77,74.38,17.67,15.35,20.7,7.143,515
2022-11-25T00:00:00.000Z,12.45,78.09,26.66,21.88,39.92,13.27,492
2022-11-26T00:00:00.000Z,13.2,65.45,38.6,33.38,44.35,9.91,498
2022-11-27T00:00:00.000Z,6.55,45.65,11.52,9.07,22.8,8.474,519
2022-11-28T00:00:00.000Z,12.02,35.47,20.87,17.66,23.9,3.817,492
2022-11-29T00:00:00.000Z,11.93,999.9,16.82,14.63,22.91,67.217,405
2022-11-30T00:00:00.000Z,1.92,32.2,7.38,4.72,11.65,5.844,503
2022-12-01T00:00:00.000Z,1.2,17.2,4.38,3.21,6.12,2.39,464
2022-12-02T00:00:00.000Z,3.95,30,11.98,7,15.02,5.673,554
2022-12-03T00:00:00.000Z,8.07,59.67,33.63,23.27,39.63,12.148,547
2022-12-04T00:00:00.000Z,2.27,24.15,9.19,7.31,10.93,3.789,492
2022-12-05T00:00:00.000Z,3.8,331.9,18.41,6.7,26.03,20.197,480
2022-12-06T00:00:00.000Z,13.52,91.97,40.13,23.25,58.58,20.776,511
2022-12-07T00:00:00.000Z,35.15,78.84,42.88,40.28,47.24,5.968,505
2022-12-08T00:00:00.000Z,22.4,86.22,34.03,31.5,38.4,8.226,533
2022-12-09T00:00:00.000Z,25.73,62.45,43.67,34.38,49.98,8.85,489
2022-12-10T00:00:00.000Z,30.4,65.68,44.34,36.22,48.78,8.201,498
2022-12-11T00:00:00.000Z,26,86.3,39.13,31.13,54.42,13.943,526
2022-12-12T00:00:00.000Z,24.9,127.9,61.63,29.5,87.47,29.818,482
2022-12-13T00:00:00.000Z,21.65,108.65,46.04,31.6,58.27,16.715,500
2022-12-14T00:00:00.000Z,19.3,105.8,49.13,24.25,69.4,24.111,475
2022-12-15T00:00:00.000Z,28.55,128.85,55.1,47.02,76.38,23.39,513
2022-12-16T00:00:00.000Z,24.08,144.93,59.89,36.32,102.52,34.834,468
2022-12-17T00:00:00.000Z,8.02,56.58,16.35,11.67,22.13,6.876,492
2022-12-18T00:00:00.000Z,10,100,35.9,14.6,56.88,26.015,493
2022-12-19T00:00:00.000Z,26.1,180.6,39.29,32.1,60.6,25.796,499
2022-12-20T00:00:00.000Z,29.33,140.18,55.62,46.71,85.56,24.023,504
2022-12-21T00:00:00.000Z,29.35,117.03,52.97,41.78,87.26,26.304,469
2022-12-22T00:00:00.000Z,24.15,119.35,46.53,38.22,74.59,23.826,505
2022-12-23T00:00:00.000Z,13.68,113.65,25.26,18.82,33.5,27.203,362
2022-12-24T00:00:00.000Z,24.25,242.32,37.65,31.78,52.35,38.362,460
2022-12-25T00:00:00.000Z,15.23,128.32,30.6,24.02,49.78,27.406,466
2022-12-26T00:00:00.000Z,27.88,212.32,78.03,69.22,121.97,40.025,375
2022-12-27T00:00:00.000Z,12,53.47,30.25,23.53,35.6,8.922,440
2022-12-28T00:00:00.000Z,5.9,82.6,14.35,8.85,37.84,23.359,468
2022-12-29T00:00:00.000Z,14.3,30.08,20.7,19.2,22.2,2.303,497
2022-12-30T00:00:00.000Z,17.02,69.18,27.25,20.67,38.58,12.929,415
2022-12-31T00:00:00.000Z,24.73,71.5,38.63,31.63,57.13,13.958,451
2023-01-01T00:00:00.000Z,25.27,98.95,52.15,38.4,75.97,20.37,479
2023-01-02T00:00:00.000Z,29.65,85.35,43.38,38.54,53.77,13.303,509
2023-01-03T00:00:00.000Z,23.35,111.57,51.95,30.04,66.25,24.456,413
2023-01-04T00:00:00.000Z,36.1,103.9,62.77,51.65,70.13,13.651,466
2023-01-05T00:00:00.000Z,28.88,72.7,42.38,36.88,51.24,9.454,493
2023-01-06T00:00:00.000Z,22.75,43.15,30.67,27.35,35.28,5.209,479
2023-01-07T00:00:00.000Z,20.83,115.07,45.58,37.28,84.78,26.375,491
2023-01-08T00:00:00.000Z,39.9,109.9,58.03,53.45,65.81,11.524,533
2023-01-09T00:00:00.000Z,61.1,152.18,97.18,83.28,108.57,17.612,491
2023-01-10T00:00:00.000Z,38.03,147.22,64.2,58.85,76.22,24.819,510
2023-01-11T00:00:00.000Z,16.77,94.93,46.33,35.32,56.2,15.655,469
2023-01-12T00:00:00.000Z,29.75,64.55,43.58,38.75,48.97,6.706,515
2023-01-13T00:00:00.000Z,23.6,83.15,45.39,39.04,52.45,11.123,446
2023-01-14T00:00:00.000Z,23,107.1,54.72,42.74,64.65,18.525,505
2023-01-15T00:00:00.000Z,5.88,76.56,16.7,8.65,26.78,19.998,441
2023-01-16T00:00:00.000Z,7.78,47.8,20.5,14.95,25.05,8.205,481
2023-01-17T00:00:00.000Z,19.42,44.55,27.55,24.77,31.63,4.899,495
2023-01-18T00:00:00.000Z,18.14,604.22,43.86,24.95,61.03,38.484,402
2023-01-19T00:00:00.000Z,26.95,109.97,43.42,34.61,78.18,23.553,540
