date, pm25, pm10
2023/7/12, 1, 3
2023/7/13, 3, 4
2023/7/14, 1, 2
2023/7/15, 1, 9
2023/7/16, 4, 12
2023/7/17, 8, 8
2023/7/18, 7, 3
2023/7/19, 4, 4
2023/7/20, 5, 
2023/7/24, 2, 4
2023/7/25, 3, 5
2023/7/26, 5, 5
2023/7/27, 4, 4
2023/7/28, 2, 6
2023/7/29, 4, 5
2023/7/30, 4, 4
2023/7/31, 2, 4
2023/8/1, 1, 4
2023/8/2, 2, 3
2023/8/3, 2, 
2023/8/7, 3, 4
2023/8/8, 1, 4
2023/8/9, 1, 4
2023/8/10, 2, 7
2023/8/11, 4, 
2023/8/14, 4, 5
2023/8/15, 3, 6
2023/8/16, 3, 5
2023/8/17, 3, 8
2023/8/18, 7, 6
2023/8/19, 6, 5
2023/8/20, 3, 4
2023/8/21, 3, 5
2023/8/22, 4, 5
2023/8/23, 4, 5
2023/8/24, 3, 3
2023/8/25, 2, 4
2023/8/26, 2, 6
2023/8/27, 3, 4
2023/8/28, 3, 6
2023/8/29, 4, 5
2023/8/30, 6, 8
2023/8/31, 9, 9
2023/9/1, 11, 8
2023/9/2, 11, 9
2023/9/3, 12, 7
2023/9/4, 10, 5
2023/9/5, 5, 7
2023/9/6, 8, 8
2023/9/7, 10, 8
2023/9/8, 10, 6
2023/9/9, 7, 5
2023/9/10, 5, 5
2023/9/11, 4, 3
2023/9/12, 1, 2
2023/9/13, 1, 3
2023/9/14, 3, 3
2023/9/15, 2, 
2023/9/18, 5, 5
2023/9/19, 4, 5
2023/9/20, 2, 
2023/4/3, 1, 1
2023/4/4, 1, 1
2023/4/5, 2, 1
2023/4/6, 2, 1
2023/4/7, 1, 
2023/4/11, 1, 
2023/4/12, 1, 
2023/5/5, 1, 
2023/5/6, 1, 
2023/5/7, 1, 
2023/5/19, 1, 
2023/5/20, 1, 
2023/5/21, 1, 
2023/5/22, 1, 
2023/5/23, 1, 
2023/6/14, 6, 4
2023/6/15, 2, 8
2023/6/16, 7, 10
2023/6/17, 7, 8
2023/6/18, 6, 7
2023/6/19, 3, 8
2023/6/20, 4, 6
2023/6/21, 5, 7
2023/6/22, 3, 6
2023/6/23, 2, 5
2023/6/24, 2, 2
2023/6/25, 1, 5
2023/6/26, 3, 4
2023/6/27, 4, 4
2023/6/28, 2, 6
2023/6/29, 4, 9
2023/6/30, 8, 
2023/1/2, 1, 
2023/1/3, 1, 1
2023/1/4, 1, 1
2023/1/5, 1, 1
2023/1/6, 1, 1
2023/1/7, 1, 1
2023/1/8, 1, 1
2023/1/9, 1, 
2023/1/10, 1, 
2023/1/15, 1, 
2023/1/16, 1, 
2023/1/20, 1, 1
2023/1/21, 1, 1
2023/1/22, 1, 
2023/1/25, 1, 1
2023/1/26, 1, 
2023/1/30, 2, 1
2023/1/31, 1, 
2023/2/10, 1, 1
2023/2/11, 1, 1
2023/2/12, 2, 1
2023/2/13, 2, 1
2023/2/14, 1, 
2023/2/27, 1, 1
2023/2/28, 1, 1
2023/3/1, 1, 
2023/3/6, 1, 
2023/3/7, 1, 
2023/3/21, 1, 1
2023/3/22, 1, 1
2023/3/23, 1, 1
2023/3/24, 1, 1
2023/3/25, 1, 
2022/10/6, 22, 20
2022/10/7, 23, 15
2022/10/8, 16, 14
2022/10/9, 16, 10
2022/10/10, 8, 19
2022/10/11, 15, 25
2022/10/12, 22, 37
2022/10/13, 40, 33
2022/10/14, 36, 36
2022/10/15, 39, 39
2022/10/16, 45, 38
2022/10/17, 46, 40
2022/10/18, 44, 37
2022/10/19, 42, 31
2022/10/20, 42, 12
2022/10/21, 16, 19
2022/10/22, 18, 30
2022/10/23, 33, 31
2022/10/24, 35, 38
2022/10/25, 52, 
2022/11/24, 4, 1
2022/11/25, 1, 1
2022/11/26, 2, 2
2022/11/27, 1, 3
2022/11/28, 2, 4
2022/11/29, 3, 4
2022/11/30, 4, 1
2022/12/1, 2, 1
2022/12/2, 1, 2
2022/12/3, 3, 2
2022/12/4, 2, 1
2022/12/5, 1, 1
2022/12/6, 1, 2
2022/12/7, 3, 2
2022/12/8, 4, 1
2022/12/9, 2, 1
2022/12/10, 2, 1
2022/12/11, 2, 2
2022/12/12, 4, 3
2022/12/13, 5, 4
2022/12/14, 6, 3
2022/12/15, 5, 2
2022/12/16, 4, 2
2022/12/17, 3, 1
2022/12/18, 2, 3
2022/12/19, 4, 2
2022/12/20, 4, 
2022/12/22, 3, 2
2022/12/23, 3, 1
2022/12/24, 2, 1
2022/12/25, 2, 1
2022/12/26, 2, 1
2022/12/27, 1, 
2023/1/1, 1, 
2022/7/5, 7, 11
2022/7/6, 6, 14
2022/7/7, 11, 17
2022/7/8, 19, 15
2022/7/9, 14, 19
2022/7/10, 22, 16
2022/7/11, 19, 14
