date, pm25, pm10, o3, no2, so2, co
2023/4/1, 2, 1, , , , 
2023/4/2, 2, 1, , , , 
2023/4/3, 2, 2, , , , 
2023/4/4, 2, 2, , , , 
2023/4/5, 2, 2, , , , 
2023/4/6, 2, 2, , , , 
2023/4/7, 2, 1, , , , 
2023/4/8, 2, 1, , , , 
2023/4/9, 2, 1, , , , 
2023/4/10, 2, 1, , , , 
2023/4/11, 2, 1, , , , 
2023/4/12, 2, 2, , , , 
2023/4/13, 2, 2, , , , 
2023/4/14, 2, , , , , 
2023/4/25, 2, 1, , , , 
2023/4/26, 2, 1, , , , 
2023/4/27, 2, 2, , , , 
2023/4/28, 2, 1, , , , 
2023/4/29, 2, 1, , , , 
2023/4/30, 2, 1, , , , 
2023/5/1, 2, 2, , , , 
2023/5/2, 2, 1, , , , 
2023/5/3, 2, 2, , , , 
2023/5/4, 2, 2, , , , 
2023/5/5, 2, 2, , , , 
2023/5/6, 2, 2, , , , 
2023/5/7, 2, 2, , , , 
2023/5/8, 2, 2, , , , 
2023/5/9, 2, 1, , , , 
2023/5/10, 2, 2, , , , 
2023/5/13, 1, 1, , , , 
2023/5/14, 2, 1, , , , 
2023/5/26, 2, 2, , , , 
2023/5/27, 2, , , , , 
2023/5/30, 2, 2, , , , 
2023/5/31, 2, , , , , 
2023/6/2, 2, 2, , , , 
2023/6/3, 2, 2, , , , 
2023/6/4, 2, 2, , , , 
2023/6/5, 2, 2, , , , 
2023/6/6, 2, 2, , , , 
2023/6/7, 2, 2, , , , 
2023/6/8, 2, 2, , , , 
2023/6/9, 2, 2, , , , 
2023/6/10, 2, 2, , , , 
2023/6/11, 2, 2, , , , 
2023/6/12, 2, 2, , , , 
2023/6/13, 2, 2, , , , 
2023/6/14, 2, 2, , , , 
2023/6/15, 2, 2, , , , 
2023/6/16, 2, , , , , 
2023/1/2, 2, 1, 3, 2, , 500
2023/1/3, 2, 1, 2, 2, , 500
2023/1/4, 2, 1, , 3, , 
2023/1/5, 2, 1, , 2, , 
2023/1/6, 2, 1, , 2, , 
2023/1/7, 2, 1, , 1, , 
2023/1/8, 2, 1, , 3, , 
2023/1/9, 2, 1, , 3, , 
2023/1/10, 2, 1, , 2, , 
2023/1/11, 2, 1, , 2, , 
2023/1/12, 2, 1, , 2, , 
2023/1/13, 2, 2, , 1, , 
2023/1/14, 2, 1, , 2, , 
2023/1/15, 2, 1, , 1, , 
2023/1/29, 2, 1, , 2, , 
2023/1/30, 2, 1, , 4, , 
2023/2/10, 2, 1, , 2, , 
2023/2/11, 1, 1, , 2, , 
2023/2/12, 2, 1, , 2, , 
2023/2/13, 2, 1, , 1, , 
2023/2/14, 2, 1, , 1, , 
2023/2/15, 2, 1, , 1, , 
2023/2/16, 2, 1, , 1, , 
2023/2/17, 2, 1, , , , 
2023/2/18, 2, 2, , , , 
2023/2/19, 2, 1, , , , 
2023/2/20, 2, 2, , , , 
2023/2/21, 2, 1, , , , 
2023/2/22, 2, 1, , , , 
2023/2/23, 2, 1, , , , 
2023/2/24, 2, 1, , , , 
2023/2/25, 2, 2, , , , 
2023/2/26, 2, 1, , , , 
2023/2/27, 2, 1, , , , 
2023/3/2, 2, 2, , , , 
2023/3/3, 2, 1, , , , 
2023/3/4, 2, 2, , , , 
2023/3/5, 2, , , , , 
2023/3/7, 2, 2, , , , 
2023/3/8, 2, 2, , , , 
2023/3/9, 2, 2, , , , 
2023/3/10, 2, 2, , , , 
2023/3/11, 2, 2, , , , 
2023/3/12, 2, 2, , , , 
2023/3/13, 2, 1, , , , 
2023/3/14, 2, 2, , , , 
2023/3/15, 2, 2, , , , 
2023/3/16, 2, , , , , 
2023/3/28, 2, 2, 4, 1, , 500
2023/3/29, 3, 1, , , , 
2023/3/30, 2, 1, , , , 
2023/3/31, 2, 2, , , , 
2022/10/2, 2, 2, 2, , , 500
2022/10/3, 2, 2, 2, , , 500
2022/10/4, 2, 2, 3, , , 500
2022/10/5, 2, 2, 2, 1, , 500
2022/10/6, 2, 2, 2, 1, , 500
2022/10/7, 2, 2, 3, 1, , 500
2022/10/8, 2, 2, 2, 1, , 500
2022/10/9, 2, 2, 3, 1, , 500
2022/10/10, 2, 2, 2, 1, , 500
2022/10/11, 2, 2, 3, 1, , 500
2022/10/12, 2, 1, 2, 1, , 500
2022/10/13, 2, 2, 3, 1, , 500
2022/10/14, 2, 2, 2, 1, , 500
2022/10/15, 2, 1, 2, 1, , 500
2022/10/16, 2, 1, 2, 1, , 500
2022/10/17, 2, 1, 3, 1, , 500
2022/10/18, 2, 1, 3, , , 500
2022/10/19, 2, 2, 2, , , 500
2022/10/20, 2, 2, 2, , , 500
2022/10/21, 2, 2, 3, , , 500
2022/10/22, 2, 2, 3, , , 500
2022/10/23, 2, 2, 2, , , 500
2022/10/24, 2, 2, 2, , , 500
2022/10/25, 2, 1, 3, , , 500
2022/10/26, 2, 2, 3, , , 500
2022/10/27, 2, 2, 3, , , 500
2022/10/28, 2, 2, 3, , , 500
2022/10/29, 2, 2, 3, , , 500
2022/10/30, 2, 1, 2, , , 500
2022/10/31, 2, 1, 3, , , 500
2022/11/1, 2, 1, 3, , , 500
2022/11/2, 2, 1, 2, , , 500
2022/11/3, 2, 2, 2, , , 500
2022/11/4, 2, 1, 3, , , 500
2022/11/5, 2, 1, 2, , , 500
2022/11/6, 2, 1, 2, , , 500
2022/11/7, 2, 2, 2, , , 500
2022/11/8, 2, 2, 3, , , 500
2022/11/9, 2, 1, 3, , , 500
2022/11/10, 2, 1, 2, , , 500
2022/11/11, 2, 2, 3, , , 500
2022/11/12, 2, 2, 3, , , 500
2022/11/13, 2, 1, 3, , , 500
2022/11/14, 2, 1, 4, , , 500
2022/11/15, 2, 1, 2, , , 500
2022/11/16, 2, 1, 2, , , 500
2022/11/17, 2, 1, 3, , , 500
2022/11/18, 2, 1, 3, , , 500
2022/11/19, 2, 1, 2, , , 500
2022/11/20, 2, 1, 2, , , 500
2022/11/21, 2, 1, 3, , , 500
2022/11/22, 2, 2, 2, , , 500
2022/11/23, 2, 1, 2, , , 500
2022/11/24, 2, 1, 3, , , 500
2022/11/25, 2, 1, 2, , , 500
2022/11/26, 2, 2, 2, , , 500
2022/11/27, 2, 2, 3, , , 500
2022/11/28, 2, 1, 2, , , 500
2022/11/29, 2, 2, 3, , , 500
2022/11/30, 2, 1, 3, , , 500
2022/12/1, 2, 1, 3, , , 500
2022/12/2, 2, 1, 2, , , 500
2022/12/3, 2, 1, 3, , , 500
2022/12/4, 2, 2, 2, , , 500
2022/12/5, 2, 1, 2, , , 500
2022/12/6, 2, 1, 3, , , 
2022/12/8, 2, 1, 2, , , 500
2022/12/9, 1, 1, 2, , , 500
2022/12/10, 2, 1, 2, , , 500
2022/12/11, 2, 1, 2, , , 500
2022/12/12, 2, , , , , 
2022/12/14, 2, 1, 3, , , 500
2022/12/15, 2, 2, 3, , , 500
2022/12/16, 2, 1, 3, , , 500
2022/12/17, 2, 1, 2, , , 500
2022/12/18, 2, 1, 2, , , 500
2022/12/19, 2, 1, 3, , , 500
2022/12/20, 2, 1, 3, , , 500
2022/12/21, 2, 1, 2, , , 500
2022/12/22, 2, 1, 2, , , 500
2022/12/23, 2, 1, 2, , , 500
2022/12/24, 2, 1, 2, , , 500
2022/12/25, 2, 2, 3, , , 500
2022/12/26, 2, 1, 2, , , 500
2022/12/27, 2, 1, 3, , , 500
2022/12/28, 2, 1, 2, 1, , 500
2022/12/29, 2, 1, 3, 1, , 500
2022/12/30, 2, 1, 2, 1, , 500
2022/12/31, 2, 1, 2, 1, , 500
2023/1/1, 2, 1, 2, 1, , 500
2022/7/1, 2, 1, 2, 1, , 57
2022/7/2, 2, 2, 2, 1, , 57
2022/7/6, 1, 2, 3, , , 52
2022/7/7, 1, , , , , 
2022/7/12, 2, 1, 2, , , 97
2022/7/13, 2, 1, 3, , , 60
2022/7/14, 2, 1, 2, , , 59
2022/7/15, 2, 1, 3, 1, , 123
2022/7/16, 2, 1, 3, 1, , 59
2022/7/17, 2, 1, 2, 3, , 60
2022/7/18, 2, 1, 3, 2, , 98
2022/7/19, 2, 1, 2, 1, , 61
2022/7/20, 2, 1, 2, 1, , 59
2022/7/21, 2, 1, 3, 1, , 97
2022/7/22, 2, 1, 2, 1, , 60
2022/7/23, 2, 1, 3, 1, , 61
2022/7/24, 2, 1, 3, 1, , 138
2022/7/25, 2, 1, 3, 1, , 61
2022/7/26, 2, 1, 2, 1, , 59
2022/7/27, 2, 1, 2, 1, , 97
2022/7/28, 2, 1, 2, 1, , 59
2022/7/29, 2, 1, 3, 1, , 60
2022/7/30, 2, 1, 2, 1, , 135
2022/7/31, 2, 1, 3, 1, , 59
2022/8/1, 2, 1, 2, 1, , 61
2022/8/2, 2, 1, 2, 6, , 99
2022/8/3, 2, 2, 2, 1, , 59
2022/8/4, 2, 1, 3, 1, , 59
2022/8/5, 2, 1, 3, , , 99
2022/8/6, 2, 1, 2, , , 59
2022/8/7, 2, 1, 3, , , 59
2022/8/8, 2, 1, 3, , , 152
2022/8/9, 2, 1, 2, , , 58
2022/8/10, 2, 1, 2, , , 59
2022/8/11, 2, 1, 3, , , 98
2022/8/12, 2, 1, 2, , , 60
2022/8/13, 2, 2, 3, , , 60
2022/8/14, 2, 1, 3, , , 136
2022/8/15, 2, 1, 2, , , 61
2022/8/16, 2, 1, 3, , , 60
2022/8/17, 2, 1, 3, , , 103
2022/8/18, 2, 1, 2, , , 60
2022/8/19, 2, 1, 3, , , 59
2022/8/20, 2, 1, 3, , , 99
2022/8/21, 2, 1, 2, , , 60
2022/8/22, 2, 1, 2, , , 60
2022/8/23, 2, 2, 2, , , 144
2022/8/24, 2, 1, 2, , , 59
2022/8/25, 2, 1, 2, , , 62
2022/8/26, 2, 1, 2, , , 98
2022/8/27, 2, 1, 2, , , 61
2022/8/28, 2, 1, 2, , , 60
2022/8/29, 2, 1, 2, , , 99
2022/8/30, 2, 1, 3, , , 61
2022/8/31, 2, 1, 2, , , 61
2022/9/1, 2, 1, 2, , , 299
2022/9/2, 2, 1, 2, , , 75
2022/9/3, 2, 1, 2, , , 64
2022/9/4, 2, 1, 2, , , 113
2022/9/5, 2, 1, 2, 1, , 60
2022/9/6, 2, 1, 2, 2, , 345
2022/9/7, 2, 1, 2, 2, , 500
2022/9/8, 2, 1, 2, 1, , 500
2022/9/9, 2, 1, 3, 1, , 500
2022/9/10, 2, 1, 2, 1, , 500
2022/9/11, 2, 1, 2, 1, , 500
2022/9/12, 2, 1, 2, 1, , 500
2022/9/13, 2, 1, 3, 8, , 500
2022/9/14, 2, 1, 3, 1, , 500
2022/9/15, 2, 1, 2, 1, , 500
2022/9/16, 2, 1, 2, 2, , 500
2022/9/17, 2, 1, 3, 1, , 500
2022/9/18, 2, 1, 2, 1, , 500
2022/9/19, 2, 1, 4, 1, , 500
2022/9/20, 2, 1, 2, 1, , 500
2022/9/21, 2, 1, 3, 1, , 500
2022/9/22, 2, 1, 2, 4, , 500
2022/9/23, 2, 1, 2, 1, , 500
2022/9/24, 2, 1, 2, 1, , 500
2022/9/25, 2, 1, 2, 1, , 
2022/9/27, 2, 2, 79, 1, , 500
2022/9/28, 2, 1, 2, 1, , 500
2022/9/29, 2, 1, 3, 1, , 500
2022/9/30, 2, , , , , 
2022/4/1, 3, 3, 3, 1, , 49
2022/4/2, 5, 3, 2, 3, , 50
2022/4/3, 6, 2, 2, 3, , 50
2022/4/4, 4, 3, 2, , , 52
2022/4/5, 4, 3, 2, , , 52
2022/4/6, 5, 4, 3, , , 49
2022/4/7, 8, 5, 3, , , 52
2022/4/8, 9, 2, 2, , , 51
2022/4/9, 3, 3, 3, , , 52
2022/4/10, 5, 3, 2, , , 52
2022/4/11, 5, 6, 2, , , 52
2022/4/12, 12, 3, 3, , , 50
2022/4/13, 6, 3, 3, , , 51
2022/4/14, 6, 3, 2, , , 54
2022/4/15, 6, 4, 3, , , 56
2022/4/16, 7, 4, 3, , , 61
2022/4/17, 7, 3, 2, , , 55
