,Unnamed: 0,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,0,Tằng Loỏng 2,2022-01-01,0,31,17,8,1,3,31
1,1,Tằng Loỏng 2,2022-01-02,39,38,20,7,2,3,39
2,2,Tằng Loỏng 2,2022-01-03,51,50,24,8,2,3,51
3,3,Tằng Loỏng 2,2022-01-04,73,62,19,9,8,4,73
4,4,Tằng Loỏng 2,2022-01-05,99,59,18,10,2,3,99
5,5,Tằng Loỏng 2,2022-01-06,94,47,29,8,1,2,94
6,6,Tằng Loỏng 2,2022-01-07,65,34,25,8,1,2,65
7,7,Tằng Loỏng 2,2022-01-08,50,18,16,8,1,3,50
8,8,Tằng Loỏng 2,2022-01-09,27,22,18,7,1,3,27
9,9,Tằng Loỏng 2,2022-01-10,27,32,18,6,1,3,32
10,10,Tằng Loỏng 2,2022-01-11,38,54,21,7,1,4,54
11,11,Tằng Loỏng 2,2022-01-12,80,43,13,7,1,3,80
12,12,Tằng Loỏng 2,2022-01-13,70,42,19,7,5,3,70
13,13,Tằng Loỏng 2,2022-01-14,56,57,20,8,20,10,57
14,14,Tằng Loỏng 2,2022-01-15,86,0,0,0,0,0,86
15,15,Tằng Loỏng 2,2022-01-17,0,42,15,7,7,7,42
16,16,Tằng Loỏng 2,2022-01-18,50,56,15,9,4,6,56
17,17,Tằng Loỏng 2,2022-01-19,79,46,19,7,1,2,79
18,18,Tằng Loỏng 2,2022-01-20,73,25,15,7,2,4,73
19,19,Tằng Loỏng 2,2022-01-21,39,29,20,7,5,7,39
20,20,Tằng Loỏng 2,2022-01-22,45,0,0,0,0,0,45
21,21,Tằng Loỏng 2,2022-01-23,0,60,4,6,15,13,60
22,22,Tằng Loỏng 2,2022-01-24,82,54,22,4,11,6,82
23,23,Tằng Loỏng 2,2022-01-25,69,46,22,4,1,3,69
24,24,Tằng Loỏng 2,2022-01-26,51,39,20,3,1,3,51
25,25,Tằng Loỏng 2,2022-01-27,46,34,22,2,2,2,46
26,26,Tằng Loỏng 2,2022-01-28,42,30,19,2,2,3,42
27,27,Tằng Loỏng 2,2022-01-29,39,15,13,1,1,4,39
28,28,Tằng Loỏng 2,2022-01-30,18,19,12,1,2,4,19
29,29,Tằng Loỏng 2,2022-01-31,27,17,14,0,1,3,27
30,30,Tằng Loỏng 2,2022-02-01,26,17,10,1,1,3,26
31,31,Tằng Loỏng 2,2022-02-02,25,12,12,1,1,3,25
32,32,Tằng Loỏng 2,2022-02-03,17,20,15,1,3,3,20
33,33,Tằng Loỏng 2,2022-02-04,31,29,15,1,1,3,31
34,34,Tằng Loỏng 2,2022-02-05,44,36,15,2,1,3,44
35,35,Tằng Loỏng 2,2022-02-06,56,35,16,2,3,4,56
36,36,Tằng Loỏng 2,2022-02-07,52,41,16,3,9,9,52
37,37,Tằng Loỏng 2,2022-02-08,58,16,11,3,1,3,58
38,38,Tằng Loỏng 2,2022-02-09,19,21,16,2,10,4,21
39,39,Tằng Loỏng 2,2022-02-10,25,36,19,4,11,5,36
40,40,Tằng Loỏng 2,2022-02-11,52,36,15,3,8,5,52
41,41,Tằng Loỏng 2,2022-02-12,52,14,7,3,1,3,52
42,42,Tằng Loỏng 2,2022-02-13,16,19,19,2,1,3,19
43,43,Tằng Loỏng 2,2022-02-14,23,41,21,2,1,4,41
44,44,Tằng Loỏng 2,2022-02-15,58,46,18,2,1,4,58
45,45,Tằng Loỏng 2,2022-02-16,69,59,19,6,4,11,69
46,46,Tằng Loỏng 2,2022-02-17,91,51,12,6,3,17,91
47,47,Tằng Loỏng 2,2022-02-18,86,28,8,4,1,8,86
48,48,Tằng Loỏng 2,2022-02-19,48,13,15,1,1,3,48
49,49,Tằng Loỏng 2,2022-02-20,16,16,15,2,0,3,16
50,50,Tằng Loỏng 2,2022-02-21,22,21,14,3,17,3,22
51,51,Tằng Loỏng 2,2022-02-22,32,43,16,5,2,8,43
52,52,Tằng Loỏng 2,2022-02-23,61,49,23,4,0,5,61
53,53,Tằng Loỏng 2,2022-02-24,72,58,27,4,2,3,72
54,54,Tằng Loỏng 2,2022-02-25,98,69,24,5,2,5,98
55,55,Tằng Loỏng 2,2022-02-26,124,71,25,7,5,8,124
56,56,Tằng Loỏng 2,2022-02-27,125,69,23,6,4,9,125
57,57,Tằng Loỏng 2,2022-02-28,132,71,17,9,12,14,132
58,58,Tằng Loỏng 2,2022-03-01,132,56,20,7,3,4,132
59,59,Tằng Loỏng 2,2022-03-02,95,49,21,9,5,5,95
60,60,Tằng Loỏng 2,2022-03-03,75,45,15,8,1,3,75
61,61,Tằng Loỏng 2,2022-03-04,67,23,11,7,1,3,67
62,62,Tằng Loỏng 2,2022-03-05,31,19,14,6,4,5,31
63,63,Tằng Loỏng 2,2022-03-06,25,34,23,7,7,4,34
64,64,Tằng Loỏng 2,2022-03-07,39,47,37,6,3,4,47
65,65,Tằng Loỏng 2,2022-03-08,54,56,34,8,1,2,56
66,66,Tằng Loỏng 2,2022-03-09,71,44,24,7,6,2,71
67,67,Tằng Loỏng 2,2022-03-10,64,16,21,5,12,2,64
68,68,Tằng Loỏng 2,2022-03-11,18,25,20,6,14,3,25
69,69,Tằng Loỏng 2,2022-03-12,33,22,15,7,4,2,33
70,70,Tằng Loỏng 2,2022-03-13,27,26,16,6,3,2,27
71,71,Tằng Loỏng 2,2022-03-14,28,12,15,3,0,1,28
72,72,Tằng Loỏng 2,2022-03-15,13,36,22,5,3,3,36
73,73,Tằng Loỏng 2,2022-03-16,42,35,20,6,1,3,42
74,74,Tằng Loỏng 2,2022-03-17,45,36,26,5,9,5,45
75,75,Tằng Loỏng 2,2022-03-18,45,36,28,5,1,3,45
76,76,Tằng Loỏng 2,2022-03-19,43,29,15,6,0,3,43
77,77,Tằng Loỏng 2,2022-03-20,36,36,16,5,13,3,36
78,78,Tằng Loỏng 2,2022-03-21,45,49,14,6,13,5,49
79,79,Tằng Loỏng 2,2022-03-22,65,27,10,4,7,5,65
80,80,Tằng Loỏng 2,2022-03-23,30,13,18,3,13,4,30
81,81,Tằng Loỏng 2,2022-03-24,12,41,22,6,29,7,41
82,82,Tằng Loỏng 2,2022-03-25,46,62,34,10,22,12,62
83,83,Tằng Loỏng 2,2022-03-26,74,58,17,6,35,14,74
84,84,Tằng Loỏng 2,2022-03-27,82,24,15,4,12,3,82
85,85,Tằng Loỏng 2,2022-03-28,26,39,8,8,2,2,39
86,86,Tằng Loỏng 2,2022-03-29,50,48,10,9,5,4,50
87,87,Tằng Loỏng 2,2022-03-30,63,42,18,10,5,5,63
88,88,Tằng Loỏng 2,2022-03-31,52,27,12,8,9,3,52
89,89,Tằng Loỏng 2,2022-04-01,25,35,15,9,3,10,35
90,90,Tằng Loỏng 2,2022-04-02,35,46,29,9,9,11,46
91,91,Tằng Loỏng 2,2022-04-03,50,63,40,12,13,8,63
92,92,Tằng Loỏng 2,2022-04-04,83,73,48,13,11,8,83
93,93,Tằng Loỏng 2,2022-04-05,117,73,34,14,12,10,117
94,94,Tằng Loỏng 2,2022-04-06,128,64,31,13,7,9,128
95,95,Tằng Loỏng 2,2022-04-07,97,70,36,14,17,9,97
96,96,Tằng Loỏng 2,2022-04-08,102,71,52,13,16,6,102
97,97,Tằng Loỏng 2,2022-04-09,110,57,39,10,4,2,110
98,98,Tằng Loỏng 2,2022-04-10,82,54,23,10,2,2,82
99,99,Tằng Loỏng 2,2022-04-11,76,45,18,10,2,3,76
100,100,Tằng Loỏng 2,2022-04-12,61,44,25,11,2,3,61
101,101,Tằng Loỏng 2,2022-04-13,58,53,23,12,2,2,58
102,102,Tằng Loỏng 2,2022-04-14,70,39,9,9,1,2,70
103,103,Tằng Loỏng 2,2022-04-15,58,0,0,0,0,0,58
104,104,Tằng Loỏng 2,2022-04-17,0,26,3,12,1,3,26
105,105,Tằng Loỏng 2,2022-04-18,20,34,16,10,6,4,34
106,106,Tằng Loỏng 2,2022-04-19,31,49,25,11,9,6,49
107,107,Tằng Loỏng 2,2022-04-20,60,57,21,12,3,4,60
108,108,Tằng Loỏng 2,2022-04-21,83,53,14,11,6,7,83
109,109,Tằng Loỏng 2,2022-04-22,78,50,25,11,6,6,78
110,110,Tằng Loỏng 2,2022-04-23,65,43,25,8,2,2,65
111,111,Tằng Loỏng 2,2022-04-24,52,71,29,11,16,4,71
112,112,Tằng Loỏng 2,2022-04-25,95,81,36,12,16,4,95
113,113,Tằng Loỏng 2,2022-04-26,116,64,31,9,2,3,116
114,114,Tằng Loỏng 2,2022-04-27,94,63,32,8,2,3,94
115,115,Tằng Loỏng 2,2022-04-28,95,37,13,8,1,2,95
116,116,Tằng Loỏng 2,2022-04-29,42,46,20,10,8,6,46
117,117,Tằng Loỏng 2,2022-04-30,60,30,14,6,4,3,60
