,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,Uông Bí,2019-05-27,0,0,0,0,0,0,0
1,Uông Bí,2019-05-28,0,0,0,0,0,0,0
2,Uông Bí,2019-05-29,0,0,0,0,0,0,0
3,Uông Bí,2019-05-30,0,0,0,0,0,0,0
4,Uông Bí,2019-05-31,0,0,0,0,0,0,0
5,Uông Bí,2019-06-01,0,0,0,0,0,0,0
6,Uông Bí,2019-06-02,0,0,0,0,0,0,0
7,Uông Bí,2019-06-03,0,0,0,0,0,0,0
8,Uông Bí,2019-06-04,0,0,0,0,0,0,0
9,Uông Bí,2019-06-05,0,0,0,0,0,0,0
10,Uông Bí,2019-06-06,0,0,0,0,0,0,0
11,Uông Bí,2019-06-07,0,0,0,0,0,0,0
12,Uông Bí,2019-06-08,0,0,0,0,0,0,0
13,Uông Bí,2019-06-09,0,0,0,0,0,0,0
14,Uông Bí,2019-06-10,0,0,0,0,0,0,0
15,Uông Bí,2019-06-11,0,0,0,0,0,0,0
16,Uông Bí,2019-06-12,0,0,0,0,0,0,0
17,Uông Bí,2019-06-13,0,0,0,0,0,0,0
18,Uông Bí,2019-06-14,0,0,0,0,0,0,0
19,Uông Bí,2019-06-15,0,0,0,0,0,0,0
20,Uông Bí,2019-06-16,0,0,0,0,0,0,0
21,Uông Bí,2019-06-17,0,0,0,0,0,0,0
22,Uông Bí,2019-06-18,0,0,0,0,0,0,0
23,Uông Bí,2019-06-19,0,0,0,0,0,0,0
24,Uông Bí,2019-06-20,0,0,0,0,0,0,0
25,Uông Bí,2019-06-21,0,0,0,0,0,0,0
26,Uông Bí,2019-06-22,0,0,0,0,0,0,0
27,Uông Bí,2019-06-23,0,0,0,0,0,0,0
28,Uông Bí,2019-06-24,0,0,0,0,0,0,0
29,Uông Bí,2019-06-25,0,0,0,0,0,0,0
30,Uông Bí,2019-06-26,0,0,0,0,0,0,0
31,Uông Bí,2019-06-27,0,4,0,12,9,1,12
32,Uông Bí,2019-06-28,8,8,0,16,15,3,16
33,Uông Bí,2019-06-29,17,5,0,15,16,2,17
34,Uông Bí,2019-06-30,9,9,0,16,16,3,16
35,Uông Bí,2019-07-01,20,6,0,12,16,3,20
36,Uông Bí,2019-07-02,11,7,0,10,16,3,16
37,Uông Bí,2019-07-03,14,3,0,36,14,2,36
38,Uông Bí,2019-07-04,7,5,0,14,14,2,14
39,Uông Bí,2019-07-05,12,7,0,18,15,2,18
40,Uông Bí,2019-07-06,14,9,0,18,15,2,18
41,Uông Bí,2019-07-07,18,8,0,18,15,2,18
42,Uông Bí,2019-07-08,17,11,0,18,15,3,18
43,Uông Bí,2019-07-09,23,6,0,18,16,3,23
44,Uông Bí,2019-07-10,12,4,0,26,15,3,26
45,Uông Bí,2019-07-11,10,7,0,20,15,3,20
46,Uông Bí,2019-07-12,15,7,0,19,14,3,19
47,Uông Bí,2019-07-13,18,8,0,20,16,3,20
48,Uông Bí,2019-07-14,20,5,0,27,16,2,27
49,Uông Bí,2019-07-15,13,4,0,14,14,3,14
50,Uông Bí,2019-07-16,10,5,0,16,15,3,16
51,Uông Bí,2019-07-17,11,5,0,21,16,3,21
52,Uông Bí,2019-07-18,12,5,0,13,1,3,13
53,Uông Bí,2019-07-19,12,6,0,26,3,2,26
54,Uông Bí,2019-07-20,13,5,0,17,2,2,17
55,Uông Bí,2019-07-21,11,4,0,23,4,3,23
56,Uông Bí,2019-07-22,9,4,0,24,3,2,24
57,Uông Bí,2019-07-23,9,5,0,29,11,2,29
58,Uông Bí,2019-07-24,11,3,0,60,4,2,60
59,Uông Bí,2019-07-25,7,0,0,0,0,0,7
60,Uông Bí,2019-07-27,0,4,0,11,0,2,11
61,Uông Bí,2019-07-28,10,5,0,13,0,3,13
62,Uông Bí,2019-07-29,11,5,0,27,10,2,27
63,Uông Bí,2019-07-30,13,5,0,17,3,3,17
64,Uông Bí,2019-07-31,11,4,0,12,2,3,12
65,Uông Bí,2019-08-01,10,4,0,10,2,3,10
66,Uông Bí,2019-08-02,9,2,0,9,2,3,9
67,Uông Bí,2019-08-03,4,1,0,6,1,2,6
68,Uông Bí,2019-08-04,3,3,0,13,2,3,13
69,Uông Bí,2019-08-05,7,5,0,12,6,3,12
70,Uông Bí,2019-08-06,10,7,0,19,6,3,19
71,Uông Bí,2019-08-07,17,6,0,27,6,3,27
72,Uông Bí,2019-08-08,14,6,0,24,2,3,24
73,Uông Bí,2019-08-09,14,8,0,24,3,3,24
74,Uông Bí,2019-08-10,19,4,0,13,1,2,19
75,Uông Bí,2019-08-11,9,5,0,16,1,2,16
76,Uông Bí,2019-08-12,11,8,0,41,3,3,41
77,Uông Bí,2019-08-13,17,10,0,35,14,3,35
78,Uông Bí,2019-08-14,22,8,0,26,4,3,26
79,Uông Bí,2019-08-15,18,7,0,35,7,2,35
80,Uông Bí,2019-08-16,15,6,0,25,4,2,25
81,Uông Bí,2019-08-17,14,8,0,20,1,3,20
82,Uông Bí,2019-08-18,19,9,0,26,5,3,26
83,Uông Bí,2019-08-19,21,7,0,27,3,3,27
84,Uông Bí,2019-08-20,15,5,0,26,3,3,26
85,Uông Bí,2019-08-21,10,4,0,21,6,2,21
86,Uông Bí,2019-08-22,8,5,0,19,4,3,19
87,Uông Bí,2019-08-23,12,6,0,15,1,3,15
88,Uông Bí,2019-08-24,13,0,0,0,0,0,13
89,Uông Bí,2019-08-27,0,6,0,18,11,2,18
90,Uông Bí,2019-08-28,14,6,0,12,2,2,14
91,Uông Bí,2019-08-29,13,3,0,20,12,2,20
92,Uông Bí,2019-08-30,7,1,0,10,1,2,10
93,Uông Bí,2019-08-31,2,2,0,8,1,2,8
94,Uông Bí,2019-09-01,3,5,0,6,1,2,6
95,Uông Bí,2019-09-02,12,3,0,6,1,2,12
96,Uông Bí,2019-09-03,9,3,0,7,1,2,9
97,Uông Bí,2019-09-04,9,6,0,31,3,2,31
98,Uông Bí,2019-09-05,15,9,0,21,3,3,21
99,Uông Bí,2019-09-06,22,7,0,18,4,2,22
100,Uông Bí,2019-09-07,18,4,0,10,1,2,18
101,Uông Bí,2019-09-08,10,4,0,8,1,2,10
102,Uông Bí,2019-09-09,9,3,0,6,1,2,9
103,Uông Bí,2019-09-10,8,4,0,9,6,2,9
104,Uông Bí,2019-09-11,9,5,0,6,2,2,9
105,Uông Bí,2019-09-12,11,7,0,7,4,2,11
106,Uông Bí,2019-09-13,17,8,0,8,6,2,17
107,Uông Bí,2019-09-14,19,8,0,5,2,2,19
108,Uông Bí,2019-09-15,19,7,0,9,3,3,19
109,Uông Bí,2019-09-16,18,9,0,8,10,3,18
110,Uông Bí,2019-09-17,20,9,0,11,25,3,25
111,Uông Bí,2019-09-18,21,6,0,7,21,3,21
112,Uông Bí,2019-09-19,16,11,0,9,23,3,23
113,Uông Bí,2019-09-20,26,8,0,4,21,2,26
114,Uông Bí,2019-09-21,18,6,0,5,23,2,23
115,Uông Bí,2019-09-22,12,9,0,11,21,2,21
116,Uông Bí,2019-09-23,19,11,0,10,22,2,22
117,Uông Bí,2019-09-24,22,12,0,12,23,3,23
118,Uông Bí,2019-09-25,25,13,0,14,25,3,25
119,Uông Bí,2019-09-26,28,13,0,14,25,3,28
120,Uông Bí,2019-09-27,29,15,0,15,25,3,29
121,Uông Bí,2019-09-28,34,15,0,16,27,3,34
122,Uông Bí,2019-09-29,36,15,0,11,26,3,36
123,Uông Bí,2019-09-30,36,0,0,0,0,0,36
124,Uông Bí,2019-10-07,0,7,0,9,1,3,9
125,Uông Bí,2019-10-08,14,7,0,12,2,2,14
126,Uông Bí,2019-10-09,15,8,0,24,3,2,24
127,Uông Bí,2019-10-10,17,0,0,0,0,0,17
128,Uông Bí,2020-02-24,0,18,0,7,17,4,18
129,Uông Bí,2020-02-25,31,16,0,10,20,3,31
130,Uông Bí,2020-02-26,27,16,0,14,22,3,27
131,Uông Bí,2020-02-27,27,12,0,10,20,3,27
132,Uông Bí,2020-02-28,22,14,0,11,22,3,22
133,Uông Bí,2020-02-29,25,12,0,6,17,3,25
134,Uông Bí,2020-03-01,22,15,0,19,27,3,27
135,Uông Bí,2020-03-02,26,12,0,7,17,3,26
136,Uông Bí,2020-03-03,19,9,0,5,20,4,20
137,Uông Bí,2020-03-04,16,7,0,2,20,4,20
138,Uông Bí,2020-03-05,11,13,0,13,24,5,24
139,Uông Bí,2020-03-06,23,14,0,10,21,4,23
140,Uông Bí,2020-03-07,26,13,0,3,17,4,26
141,Uông Bí,2020-03-08,22,29,0,15,23,4,29
142,Uông Bí,2020-03-09,52,19,0,9,18,4,52
143,Uông Bí,2020-03-10,28,26,0,20,29,5,29
144,Uông Bí,2020-03-11,42,14,0,12,21,5,42
145,Uông Bí,2020-03-12,26,0,0,0,0,0,26
146,Uông Bí,2020-03-14,0,37,0,24,28,5,37
147,Uông Bí,2020-03-15,65,22,0,24,25,6,65
148,Uông Bí,2020-03-16,40,15,0,11,17,5,40
149,Uông Bí,2020-03-17,26,13,0,12,22,5,26
150,Uông Bí,2020-03-18,23,11,0,4,21,4,23
151,Uông Bí,2020-03-19,18,6,0,14,33,9,33
152,Uông Bí,2020-03-20,17,1,0,9,21,5,21
153,Uông Bí,2020-03-21,0,1,0,2,17,4,17
154,Uông Bí,2020-03-22,0,18,0,4,18,3,18
155,Uông Bí,2020-03-23,11,26,0,6,20,3,26
156,Uông Bí,2020-03-24,12,24,0,3,17,3,24
157,Uông Bí,2020-03-25,12,19,0,3,15,9,19
158,Uông Bí,2020-03-26,16,11,0,4,17,0,17
159,Uông Bí,2020-03-27,21,0,0,0,0,0,21
