,Unnamed: 0,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi
0,0,Việt Trì,2014-08-02,0,29,47,0,16,5,47
1,1,Việt Trì,2014-08-03,0,20,71,0,17,4,71
2,2,Việt Trì,2014-08-04,0,27,53,0,13,7,53
3,3,Việt Trì,2014-08-05,0,43,43,0,14,7,43
4,4,Việt Trì,2014-08-06,0,36,42,0,13,8,42
5,5,Việt Trì,2014-08-07,0,53,72,0,15,10,72
6,6,Việt Trì,2014-08-08,0,50,92,0,12,8,92
7,7,Việt Trì,2014-08-09,0,29,85,0,12,8,85
8,8,Việt Trì,2014-08-10,0,44,87,0,15,10,87
9,9,Việt Trì,2014-08-11,0,45,61,0,15,9,61
10,10,Việt Trì,2014-08-12,0,43,52,0,17,9,52
11,11,Việt Trì,2014-08-13,0,16,39,8,13,6,39
12,12,Việt Trì,2014-08-14,74,30,29,8,18,8,74
13,13,Việt Trì,2014-08-15,92,41,22,7,18,11,92
14,14,Việt Trì,2014-08-16,98,41,64,0,16,7,98
15,15,Việt Trì,2014-08-17,0,0,0,6,0,0,6
16,16,Việt Trì,2014-08-18,73,38,67,7,13,5,73
17,17,Việt Trì,2014-08-19,73,31,31,7,14,7,73
18,18,Việt Trì,2014-08-20,70,36,47,5,14,9,70
19,19,Việt Trì,2014-08-21,124,56,111,4,16,12,124
20,20,Việt Trì,2014-08-22,86,39,70,4,14,7,86
21,21,Việt Trì,2014-08-23,86,39,61,3,15,7,86
22,22,Việt Trì,2014-08-24,82,33,63,4,14,7,82
23,23,Việt Trì,2014-08-25,62,26,47,4,13,8,62
24,24,Việt Trì,2014-08-26,81,38,46,4,14,8,81
25,25,Việt Trì,2014-08-27,71,31,28,3,13,8,71
26,26,Việt Trì,2014-08-28,70,28,34,3,13,6,70
27,27,Việt Trì,2014-08-29,34,10,10,5,13,6,34
28,28,Việt Trì,2014-08-30,66,29,7,3,20,10,66
29,29,Việt Trì,2014-08-31,79,36,7,3,15,8,79
30,30,Việt Trì,2014-09-01,64,26,13,2,14,6,64
31,31,Việt Trì,2014-09-02,46,16,13,4,14,5,46
32,32,Việt Trì,2014-09-03,60,27,9,4,14,8,60
33,33,Việt Trì,2014-09-04,92,44,20,4,17,8,92
34,34,Việt Trì,2014-09-05,75,39,14,4,15,7,75
35,35,Việt Trì,2014-09-06,65,30,17,5,15,5,65
36,36,Việt Trì,2014-09-07,101,53,21,6,16,10,101
