date, pm25, pm10, no2, so2, co
2023/10/1, 24, 10, 1, 2, 1
2023/10/2, 9, 11, 1, 2, 2
2023/10/3, 8, 13, 1, 2, 2
2023/10/4, 11, 19, 1, 2, 3
2023/10/5, 14, 25, 1, 3, 2
2023/10/6, 21, 22, 1, 2, 4
2023/10/7, 19, 18, 1, 3, 
2023/10/8, 16, 25, 1, 3, 
2023/10/9, 24, 25, 3, 4, 
2023/10/10, 26, 26, 2, 3, 
2023/10/11, 30, 26, 1, 3, 
2023/10/12, 31, 33, 1, 3, 
2023/10/13, 39, 28, 1, 3, 
2023/10/14, 36, 21, 1, 3, 1
2023/10/15, 24, 12, , 3, 
2023/10/16, 11, 20, , 3, 
2023/10/17, 18, 21, , 3, 
2023/10/18, 23, 41, , 4, 
2023/10/19, 60, , , , 
2023/9/9, 8, 14, 2, 2, 2
2023/9/10, 13, 21, 2, , 1
2023/9/11, 21, 24, 3, 2, 3
2023/9/12, 25, 27, 1, 2, 1
2023/9/13, 32, 27, 1, 2, 2
2023/9/14, 34, 17, 1, 2, 1
2023/9/15, 19, , , , 
2023/9/28, 35, 34, 4, 3, 3
2023/9/29, 37, 21, 2, 4, 2
2023/9/30, 26, 20, 1, 2, 1
2023/9/8, , 8, 1, 2, 1
2023/9/27, , 29, 19, 3, 2
