date, pm25, pm10, o3, no2, so2
2023/10/1, 27, 14, 5, 4, 7
2023/10/2, 17, 8, 8, 4, 7
2023/10/3, 9, 8, 8, 4, 7
2023/10/4, 9, 9, 1, 4, 7
2023/10/5, 9, 13, 1, 4, 7
2023/10/6, 17, 24, 2, 4, 7
2023/10/7, 30, 23, 4, 4, 7
2023/10/8, 28, 22, 4, 4, 7
2023/10/9, 25, 16, 2, 4, 8
2023/10/10, 18, 19, 5, 4, 7
2023/10/11, 23, 26, 2, 4, 7
2023/10/12, 34, 26, 2, 4, 7
2023/10/13, 30, 22, 3, 4, 7
2023/10/14, 29, 19, 3, 4, 7
2023/10/15, 27, 15, 2, , 
2023/10/16, 18, 15, 3, , 7
2023/10/17, 17, 19, 3, , 7
2023/10/18, 24, 20, 3, , 7
2023/10/19, 26, 15, 2, , 7
2023/10/20, 15, , , , 
2023/7/1, 26, 11, 10, 6, 1
2023/7/2, 10, 15, 23, 4, 
2023/7/3, 16, 20, 28, 6, 1
2023/7/4, 22, 33, 25, 6, 
2023/7/5, 44, 27, 29, 7, 
2023/7/6, 35, 25, 16, 4, 
2023/7/7, 37, 14, 12, 4, 
2023/7/8, 16, 13, 14, 3, 
2023/7/9, 15, 17, 24, 4, 
2023/7/10, 22, 14, 20, 3, 
2023/7/11, 17, 35, 32, 7, 
2023/7/12, 44, 24, 17, 6, 4
2023/7/13, 29, 19, 20, 7, 4
2023/7/14, 21, , , , 
2023/7/16, 15, 11, 11, 2, 4
2023/7/17, 10, 14, 11, 2, 4
2023/7/18, 13, 17, 12, 2, 4
2023/7/19, 16, 16, 10, 4, 5
2023/7/20, 17, 19, 15, 5, 5
2023/7/21, 22, 16, 15, 4, 5
2023/7/22, 17, 14, 12, 3, 5
2023/7/23, 15, 19, 11, 2, 5
2023/7/24, 19, 23, 12, 4, 5
2023/7/25, 23, 22, 9, 4, 5
2023/7/26, 20, 20, 9, 4, 5
2023/7/27, 20, 19, 12, 2, 5
2023/7/28, 19, 12, 11, , 5
2023/7/29, 12, 22, 11, , 5
2023/7/30, 26, 22, 13, , 5
2023/7/31, 24, 25, 16, , 5
2023/8/1, 30, 21, 15, 1, 5
2023/8/2, 23, 22, 18, 1, 5
2023/8/3, 26, 24, 13, 1, 5
2023/8/4, 26, 23, 17, 1, 5
2023/8/5, 25, 26, 18, 1, 5
2023/8/6, 30, 23, 16, 1, 5
2023/8/7, 25, 19, 15, 1, 5
2023/8/8, 21, 20, 18, 1, 5
2023/8/9, 22, 18, 17, 1, 5
2023/8/10, 20, 18, 16, 1, 5
2023/8/11, 18, 16, 15, 1, 5
2023/8/12, 17, 12, 11, 1, 6
2023/8/13, 13, 17, 14, 1, 6
2023/8/14, 22, 12, 18, 1, 5
2023/8/15, 12, 13, 18, 2, 6
2023/8/16, 14, 16, 12, 4, 6
2023/8/17, 18, 22, 19, 4, 6
2023/8/18, 25, 23, 26, 4, 6
2023/8/19, 27, 13, 18, 4, 6
2023/8/20, 15, 19, 18, 4, 6
2023/8/21, 21, 23, 20, 4, 6
2023/8/22, 29, 18, 22, 4, 6
2023/8/23, 22, 19, 23, 4, 6
2023/8/24, 27, 21, 20, 4, 6
2023/8/25, 24, 18, 20, 4, 6
2023/8/26, 19, 18, 13, 4, 6
2023/8/27, 19, 14, 13, 4, 6
2023/8/28, 14, 16, 12, 4, 6
2023/8/29, 18, 19, 8, 4, 6
2023/8/30, 21, 16, 10, 4, 6
2023/8/31, 17, 15, 13, 4, 6
2023/9/1, 16, 8, 11, 4, 6
2023/9/2, 8, 11, 10, 4, 6
2023/9/3, 11, 10, 14, 4, 6
2023/9/4, 12, 9, 12, 4, 6
2023/9/5, 9, 22, 19, 4, 6
2023/9/6, 28, 26, 12, 4, 6
2023/9/7, 36, 18, 10, 4, 6
2023/9/8, 19, 18, 7, 4, 6
2023/9/9, 20, 13, 9, 4, 6
2023/9/10, 16, 17, 15, 4, 6
2023/9/11, 18, 18, 13, 4, 6
2023/9/12, 23, 18, 10, 4, 7
2023/9/13, 23, 24, 12, 4, 7
2023/9/14, 31, 13, 9, 4, 6
2023/9/15, 15, 17, 8, 4, 7
2023/9/16, 21, 18, 10, 4, 7
2023/9/17, 25, 21, 16, 4, 8
2023/9/18, 25, 24, 16, 4, 7
2023/9/19, 28, 17, 8, 4, 8
2023/9/20, 21, 20, 7, 4, 7
2023/9/21, 27, 16, 11, 4, 7
2023/9/22, 20, 22, 9, 4, 8
2023/9/23, 27, 17, 12, 4, 7
2023/9/24, 21, 11, 8, 4, 7
2023/9/25, 12, 7, 6, 4, 7
2023/9/26, 6, 10, 6, 4, 7
2023/9/27, 10, 23, 11, 4, 7
2023/9/28, 30, 35, 21, 4, 8
2023/9/29, 47, 16, 13, 4, 7
2023/9/30, 20, 20, 11, 4, 7
2023/4/1, 38, 26, 23, , 1
2023/4/2, 37, 22, 21, , 1
2023/4/3, 27, 19, 23, , 1
2023/4/4, 22, 8, 20, , 1
2023/4/5, 8, 13, 20, , 1
2023/4/6, 14, 21, 22, , 1
2023/4/7, 17, 22, 25, , 1
2023/4/8, 22, 42, 37, , 1
2023/4/9, 57, 51, 45, , 1
2023/4/10, 67, 45, 37, , 1
2023/4/11, 58, 38, 30, 6, 1
2023/4/12, 51, 40, 32, 5, 1
2023/4/13, 57, 35, 28, 5, 1
2023/4/14, 51, 36, 33, 5, 1
2023/4/15, 54, 43, 29, 9, 1
2023/4/16, 66, 42, 24, 6, 1
2023/4/17, 62, 38, 19, 7, 1
2023/4/18, 54, 36, 21, 6, 1
2023/4/19, 53, 35, 27, 4, 1
2023/4/20, 52, 36, 21, 5, 1
2023/4/21, 54, 27, 24, 4, 1
2023/4/22, 41, 29, 17, 4, 1
2023/4/23, 42, 32, 20, 5, 1
2023/4/24, 32, 33, 25, 4, 1
2023/4/25, 39, 37, 29, 5, 1
2023/4/26, 40, 45, 32, 6, 2
2023/4/27, 48, 48, 27, 6, 1
2023/4/28, 66, 36, 26, 5, 1
2023/4/29, 44, 29, 23, 3, 1
2023/4/30, 37, 31, 25, 4, 1
2023/5/1, 38, 30, 23, 5, 2
2023/5/2, 34, 27, 19, 4, 1
2023/5/3, 34, 22, 21, 3, 1
2023/5/4, 26, 23, 23, 5, 1
2023/5/5, 30, 23, 29, 6, 1
2023/5/6, 30, 20, 23, 5, 1
2023/5/7, 28, 23, 23, 7, 1
2023/5/8, 31, 30, 18, 8, 1
2023/5/9, 41, 25, 15, 6, 1
2023/5/10, 36, 19, 15, 6, 1
2023/5/11, 21, 32, 16, 6, 1
2023/5/12, 28, 18, 15, 5, 1
2023/5/13, 16, 12, 16, 4, 1
2023/5/14, 13, 17, 24, 5, 1
2023/5/15, 22, 26, 20, 12, 1
2023/5/16, 32, 32, 22, 8, 1
2023/5/17, 40, 26, 20, 7, 1
2023/5/18, 32, 34, 25, 6, 1
2023/5/19, 44, 34, 20, 5, 1
2023/5/20, 42, 30, 20, 6, 1
2023/5/21, 40, 27, 22, 6, 1
2023/5/22, 35, 21, 29, 4, 1
2023/5/23, 24, 24, 20, 5, 1
2023/5/24, 27, 23, 20, 7, 1
2023/5/25, 25, 30, 16, 7, 1
2023/5/26, 33, 24, 27, 8, 1
2023/5/27, 28, 29, 27, 8, 1
2023/5/28, 36, 28, 20, 7, 1
2023/5/29, 31, 26, 19, 6, 1
2023/5/30, 27, 18, 21, 4, 1
2023/5/31, 20, 20, 20, 4, 1
2023/6/1, 22, 19, 18, 4, 1
2023/6/2, 19, 15, 20, 2, 1
2023/6/3, 16, 15, 21, 4, 1
2023/6/4, 18, 19, 28, 6, 1
2023/6/5, 22, 17, 23, 6, 1
2023/6/6, 20, 12, 14, 4, 1
2023/6/7, 14, 16, 15, 4, 1
2023/6/8, 19, 21, 13, 5, 1
2023/6/9, 25, 18, 10, 4, 1
2023/6/10, 20, 12, 12, 3, 1
2023/6/11, 13, 18, 13, 5, 1
2023/6/12, 23, 16, 12, 6, 2
2023/6/13, 18, 19, 25, 4, 4
2023/6/14, 25, 21, 27, 4, 1
2023/6/15, 27, 20, 27, 6, 1
2023/6/16, 25, 23, 21, 6, 3
2023/6/17, 29, 18, 30, 5, 2
2023/6/18, 21, 16, 17, 5, 1
