,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Yên Phong,20/06/2020,136,27,37,2,10,1,136,Không tốt cho người nhạy cảm
1,Yên Phong,21/06/2020,133,25,32,2,10,1,133,Không tốt cho người nhạy cảm
2,Yên Phong,22/06/2020,157,28,72,2,14,2,157,Không tốt
3,Yên Phong,23/06/2020,105,23,39,3,17,2,105,Không tốt cho người nhạy cảm
4,Yên Phong,24/06/2020,0,24,31,3,11,2,0,Tốt
5,Yên Phong,25/06/2020,23,26,30,3,15,2,23,Tốt
6,Yên Phong,26/06/2020,20,0,43,2,15,1,20,Tốt
7,Yên Phong,27/06/2020,25,0,41,2,14,1,25,Tốt
8,Yên Phong,28/06/2020,30,0,37,2,11,1,30,Tốt
9,Yên Phong,29/06/2020,49,0,50,2,11,1,49,Tốt
10,Yên Phong,30/06/2020,0,0,34,3,11,2,0,Tốt
11,Yên Phong,1/7/2020,103,0,31,3,11,2,103,Không tốt cho người nhạy cảm
12,Yên Phong,2/7/2020,126,0,29,2,11,1,126,Không tốt cho người nhạy cảm
13,Yên Phong,3/7/2020,142,0,29,2,8,1,142,Không tốt cho người nhạy cảm
14,Yên Phong,4/7/2020,99,0,28,2,10,2,99,Vừa Phải
15,Yên Phong,5/7/2020,164,0,28,2,10,2,164,Không tốt
16,Yên Phong,6/7/2020,148,0,29,2,14,1,148,Không tốt cho người nhạy cảm
17,Yên Phong,7/7/2020,137,0,33,2,13,2,137,Không tốt cho người nhạy cảm
18,Yên Phong,8/7/2020,90,0,36,2,14,3,90,Vừa Phải
19,Yên Phong,9/7/2020,63,0,22,3,15,2,63,Vừa Phải
20,Yên Phong,10/7/2020,53,0,20,3,14,4,53,Vừa Phải
21,Yên Phong,11/7/2020,70,0,22,4,16,2,70,Vừa Phải
22,Yên Phong,12/7/2020,112,0,34,3,13,0,112,Không tốt cho người nhạy cảm
23,Yên Phong,13/07/2020,174,0,33,2,16,1,174,Không tốt
24,Yên Phong,14/07/2020,160,0,90,2,11,1,160,Không tốt
25,Yên Phong,15/07/2020,164,0,27,2,11,2,164,Không tốt
26,Yên Phong,16/07/2020,178,0,28,2,13,0,178,Không tốt
27,Yên Phong,17/07/2020,154,0,40,2,15,0,154,Không tốt
28,Yên Phong,18/07/2020,119,0,36,2,15,5,119,Không tốt cho người nhạy cảm
29,Yên Phong,19/07/2020,23,0,28,2,14,0,23,Tốt
30,Yên Phong,20/07/2020,52,0,24,2,12,0,52,Vừa Phải
31,Yên Phong,21/07/2020,69,0,19,2,15,0,69,Vừa Phải
