địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Bảo Thắng,01/01/2022,0.0,31.0,17.0,8.0,1.0,3.0,31.0,Tốt
Bảo Thắng,02/01/2022,39.0,38.0,20.0,7.0,2.0,3.0,39.0,Tốt
Bảo Thắng,03/01/2022,51.0,50.0,24.0,8.0,2.0,3.0,51.0,Vừa Phải
Bảo Thắng,04/01/2022,73.0,62.0,19.0,9.0,8.0,4.0,73.0,Vừa Phải
Bảo Thắng,05/01/2022,99.0,59.0,18.0,10.0,2.0,3.0,99.0,Vừa Phải
Bảo Thắng,06/01/2022,94.0,47.0,29.0,8.0,1.0,2.0,94.0,Vừa Phải
Bảo Thắng,07/01/2022,65.0,34.0,25.0,8.0,1.0,2.0,65.0,Vừa Phải
Bảo Thắng,08/01/2022,50.0,18.0,16.0,8.0,1.0,3.0,50.0,Tốt
Bảo Thắng,09/01/2022,27.0,22.0,18.0,7.0,1.0,3.0,27.0,Tốt
Bảo Thắng,10/01/2022,27.0,32.0,18.0,6.0,1.0,3.0,32.0,Tốt
Bảo Thắng,11/01/2022,38.0,54.0,21.0,7.0,1.0,4.0,54.0,Vừa Phải
Bảo Thắng,12/01/2022,80.0,43.0,13.0,7.0,1.0,3.0,80.0,Vừa Phải
Bảo Thắng,13/01/2022,70.0,42.0,19.0,7.0,5.0,3.0,70.0,Vừa Phải
Bảo Thắng,14/01/2022,56.0,57.0,20.0,8.0,20.0,10.0,57.0,Vừa Phải
Bảo Thắng,15/01/2022,86.0,0.0,0.0,0.0,0.0,0.0,86.0,Vừa Phải
Bảo Thắng,17/01/2022,0.0,42.0,15.0,7.0,7.0,7.0,42.0,Tốt
Bảo Thắng,18/01/2022,50.0,56.0,15.0,9.0,4.0,6.0,56.0,Vừa Phải
Bảo Thắng,19/01/2022,79.0,46.0,19.0,7.0,1.0,2.0,79.0,Vừa Phải
Bảo Thắng,20/01/2022,73.0,25.0,15.0,7.0,2.0,4.0,73.0,Vừa Phải
Bảo Thắng,21/01/2022,39.0,29.0,20.0,7.0,5.0,7.0,39.0,Tốt
Bảo Thắng,22/01/2022,45.0,0.0,0.0,0.0,0.0,0.0,45.0,Tốt
Bảo Thắng,23/01/2022,0.0,60.0,4.0,6.0,15.0,13.0,60.0,Vừa Phải
Bảo Thắng,24/01/2022,82.0,54.0,22.0,4.0,11.0,6.0,82.0,Vừa Phải
Bảo Thắng,25/01/2022,69.0,46.0,22.0,4.0,1.0,3.0,69.0,Vừa Phải
