địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Bắc Ninh,21/06/2020,0.0,40.0,22.0,6.0,8.0,1.0,40.0,Tốt
Bắc Ninh,22/06/2020,51.0,27.0,18.0,5.0,8.0,1.0,51.0,Vừa Phải
Bắc Ninh,23/06/2020,32.0,0.0,0.0,0.0,0.0,0.0,32.0,Tốt
Bắc Ninh,28/06/2020,0.0,35.0,13.0,5.0,9.0,1.0,35.0,Tốt
Bắc Ninh,29/06/2020,35.0,31.0,21.0,5.0,8.0,1.0,35.0,Tốt
Bắc Ninh,30/06/2020,35.0,39.0,9.0,9.0,7.0,1.0,39.0,Tốt
Bắc Ninh,01/07/2020,46.0,38.0,27.0,10.0,7.0,1.0,46.0,Tốt
Bắc Ninh,02/07/2020,53.0,0.0,0.0,0.0,0.0,0.0,53.0,Vừa Phải
Bắc Ninh,05/07/2020,0.0,27.0,138.0,4.0,6.0,1.0,138.0,Không tốt cho người nhạy cảm
Bắc Ninh,06/07/2020,28.0,29.0,130.0,4.0,7.0,1.0,130.0,Không tốt cho người nhạy cảm
Bắc Ninh,07/07/2020,32.0,30.0,128.0,5.0,7.0,1.0,128.0,Không tốt cho người nhạy cảm
Bắc Ninh,08/07/2020,32.0,35.0,78.0,7.0,8.0,1.0,78.0,Vừa Phải
Bắc Ninh,09/07/2020,33.0,31.0,159.0,0.0,6.0,1.0,159.0,Không tốt
Bắc Ninh,10/07/2020,31.0,44.0,103.0,8.0,7.0,1.0,103.0,Không tốt cho người nhạy cảm
Bắc Ninh,11/07/2020,54.0,41.0,135.0,6.0,6.0,1.0,135.0,Không tốt cho người nhạy cảm
Bắc Ninh,12/07/2020,50.0,33.0,113.0,4.0,7.0,1.0,113.0,Không tốt cho người nhạy cảm
Bắc Ninh,13/07/2020,36.0,36.0,89.0,5.0,7.0,1.0,89.0,Vừa Phải
Bắc Ninh,14/07/2020,48.0,31.0,153.0,4.0,7.0,1.0,153.0,Không tốt
Bắc Ninh,15/07/2020,37.0,32.0,135.0,6.0,7.0,1.0,135.0,Không tốt cho người nhạy cảm
Bắc Ninh,16/07/2020,33.0,30.0,136.0,4.0,7.0,1.0,136.0,Không tốt cho người nhạy cảm
Bắc Ninh,17/07/2020,30.0,32.0,107.0,3.0,7.0,1.0,107.0,Không tốt cho người nhạy cảm
Bắc Ninh,18/07/2020,34.0,35.0,125.0,4.0,7.0,1.0,125.0,Không tốt cho người nhạy cảm
Bắc Ninh,19/07/2020,39.0,29.0,118.0,5.0,7.0,1.0,118.0,Không tốt cho người nhạy cảm
Bắc Ninh,20/07/2020,29.0,19.0,120.0,6.0,7.0,1.0,120.0,Không tốt cho người nhạy cảm
Bắc Ninh,21/07/2020,22.0,18.0,102.0,0.0,7.0,1.0,102.0,Không tốt cho người nhạy cảm
