date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
12/27/2021,0,4,4,7,2,2,7,Tốt
12/28/2021,5,7,10,10,3,3,10,Tốt
12/29/2021,10,4,9,8,2,2,10,Tốt
12/30/2021,6,6,13,9,2,2,13,Tốt
12/31/2021,9,6,13,5,2,2,13,Tốt
1/1/2022,9,5,10,5,2,1,10,Tốt
1/2/2022,7,7,10,9,3,2,10,Tốt
1/3/2022,9,5,10,8,3,2,10,Tốt
1/4/2022,8,5,13,8,0,2,13,Tốt
1/5/2022,7,3,8,7,0,2,8,Tốt
1/6/2022,5,4,13,10,0,2,13,Tốt
1/7/2022,6,5,10,6,0,1,10,Tốt
1/8/2022,6,2,1,7,0,2,7,Tốt
1/9/2022,3,0,0,0,0,0,3,Tốt
2/6/2022,0,4,9,3,0,2,9,Tốt
2/7/2022,6,3,9,6,0,1,9,Tốt
2/8/2022,5,3,11,7,1,2,11,Tốt
2/9/2022,5,3,13,9,0,2,13,Tốt
2/10/2022,4,3,10,11,1,1,11,Tốt
2/11/2022,5,4,12,10,1,2,12,Tốt
2/12/2022,6,4,8,6,0,1,8,Tốt
2/13/2022,6,3,6,6,0,1,6,Tốt
2/14/2022,5,3,6,6,1,2,6,Tốt
2/15/2022,3,2,4,4,0,1,4,Tốt
2/16/2022,3,3,4,3,0,1,4,Tốt
2/17/2022,5,3,5,3,0,1,5,Tốt
2/18/2022,4,2,5,5,0,1,5,Tốt
2/19/2022,3,2,5,5,0,1,5,Tốt
2/20/2022,2,3,7,5,0,1,7,Tốt
2/21/2022,4,10,5,14,0,3,14,Tốt
2/22/2022,16,4,14,13,1,3,16,Tốt
2/23/2022,5,3,12,13,1,2,13,Tốt
2/24/2022,4,4,12,11,6,2,12,Tốt
2/25/2022,5,4,11,10,1,2,11,Tốt
2/26/2022,5,4,8,8,0,1,8,Tốt
2/27/2022,6,4,8,7,1,2,8,Tốt
2/28/2022,6,2,12,7,0,1,12,Tốt
3/1/2022,2,1,14,16,1,4,16,Tốt
3/2/2022,3,2,10,8,0,2,10,Tốt
3/3/2022,3,1,12,6,0,1,12,Tốt
3/4/2022,3,1,5,4,0,1,5,Tốt
3/5/2022,2,1,5,3,0,1,5,Tốt
3/6/2022,3,1,9,5,0,1,9,Tốt
3/7/2022,2,1,11,7,0,1,11,Tốt
3/8/2022,3,2,11,7,0,2,11,Tốt
3/9/2022,5,6,12,9,1,2,12,Tốt
3/10/2022,13,3,14,9,1,2,14,Tốt
3/11/2022,6,4,9,11,0,2,11,Tốt
3/12/2022,7,2,7,7,0,1,7,Tốt
3/13/2022,4,1,5,3,0,1,5,Tốt
3/14/2022,2,1,4,3,0,1,4,Tốt
3/15/2022,2,3,3,3,0,1,3,Tốt
3/16/2022,5,3,4,6,0,1,6,Tốt
