địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Cao Lộc,27/12/2021,0,4,9,6,2,3,9,Tốt
Cao Lộc,28/12/2021,7,5,6,5,2,3,7,Tốt
Cao Lộc,29/12/2021,7,9,9,6,2,3,9,Tốt
Cao Lộc,30/12/2021,15,0,12,7,2,3,15,Tốt
Cao Lộc,31/12/2021,0,0,9,7,2,3,9,Tốt
Cao Lộc,1/01/2022,0,0,10,6,2,3,10,Tốt
Cao Lộc,3/01/2022,0,0,20,7,2,3,20,Tốt
Cao Lộc,4/01/2022,0,0,31,9,2,3,31,Tốt
Cao Lộc,5/01/2022,0,0,23,7,2,3,23,Tốt
Cao Lộc,6/01/2022,0,0,27,7,2,3,27,Tốt
Cao Lộc,7/01/2022,0,0,22,6,2,4,22,Tốt
Cao Lộc,8/01/2022,0,0,13,8,2,5,13,Tốt
Cao Lộc,9/01/2022,0,13,6,5,2,4,13,Tốt
Cao Lộc,10/01/2022,22,15,4,7,2,4,22,Tốt
Cao Lộc,11/01/2022,19,21,20,4,2,3,21,Tốt
Cao Lộc,12/01/2022,31,22,23,5,4,3,31,Tốt
Cao Lộc,13/01/2022,36,23,16,7,2,4,36,Tốt
Cao Lộc,14/01/2022,41,22,14,5,2,4,41,Tốt
Cao Lộc,15/01/2022,34,22,23,7,2,4,34,Tốt
Cao Lộc,16/01/2022,33,3,10,7,3,4,33,Tốt
Cao Lộc,17/01/2022,5,12,14,4,2,3,14,Tốt
Cao Lộc,18/01/2022,15,20,27,5,2,3,27,Tốt
Cao Lộc,19/01/2022,27,15,27,6,2,4,27,Tốt
Cao Lộc,20/01/2022,24,9,20,3,2,3,24,Tốt
Cao Lộc,21/01/2022,16,9,9,5,2,3,16,Tốt
Cao Lộc,22/01/2022,13,13,4,5,2,4,13,Tốt
Cao Lộc,23/01/2022,16,13,21,5,2,4,21,Tốt
Cao Lộc,24/01/2022,17,8,28,4,2,3,28,Tốt
Cao Lộc,25/01/2022,14,10,10,3,2,4,14,Tốt
Cao Lộc,26/01/2022,17,6,21,3,2,3,21,Tốt
Cao Lộc,27/01/2022,10,9,26,2,3,2,26,Tốt
Cao Lộc,28/01/2022,14,6,29,3,2,3,29,Tốt
Cao Lộc,29/01/2022,10,5,9,3,2,6,10,Tốt
Cao Lộc,30/01/2022,8,3,16,3,2,5,16,Tốt
Cao Lộc,31/01/2022,6,4,16,2,2,4,16,Tốt
Cao Lộc,1/02/2022,7,2,14,1,2,3,14,Tốt
Cao Lộc,2/02/2022,4,3,14,1,2,3,14,Tốt
Cao Lộc,3/02/2022,6,7,19,1,2,3,19,Tốt
Cao Lộc,4/02/2022,11,0,21,2,2,3,21,Tốt
Cao Lộc,5/02/2022,0,0,27,2,2,3,27,Tốt
Cao Lộc,6/02/2022,0,0,18,2,2,3,18,Tốt
Cao Lộc,7/02/2022,0,0,11,2,2,3,11,Tốt
Cao Lộc,8/02/2022,0,0,14,3,2,3,14,Tốt
Cao Lộc,9/02/2022,0,0,11,2,2,3,11,Tốt
Cao Lộc,10/02/2022,0,6,9,3,2,3,9,Tốt
Cao Lộc,11/02/2022,12,4,8,4,2,3,12,Tốt
Cao Lộc,12/02/2022,8,2,8,4,2,3,8,Tốt
Cao Lộc,13/02/2022,3,7,17,3,2,3,17,Tốt
Cao Lộc,14/02/2022,12,8,23,2,2,3,23,Tốt
Cao Lộc,15/02/2022,14,5,19,4,2,3,19,Tốt
Cao Lộc,16/02/2022,10,8,7,5,2,3,10,Tốt
Cao Lộc,17/02/2022,12,4,7,4,2,4,12,Tốt
Cao Lộc,18/02/2022,6,1,6,4,2,4,6,Tốt
Cao Lộc,19/02/2022,1,2,20,2,2,3,20,Tốt
Cao Lộc,20/02/2022,3,4,22,2,2,2,22,Tốt
Cao Lộc,21/02/2022,5,4,22,3,2,3,22,Tốt
Cao Lộc,22/02/2022,6,6,19,2,2,2,19,Tốt
