địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Chí Linh,2021-12-27,55.5,5.0,5.0,2.0,1.0,0.0,55.5,Vừa Phải
Chí Linh,2021-12-28,51.1,4.0,4.0,2.0,1.0,0.0,51.1,Vừa Phải
Chí Linh,2021-12-29,93.9,2.0,5.0,2.0,1.0,0.0,93.9,Vừa Phải
Chí Linh,2021-12-30,121.3,4.0,5.0,2.0,1.0,0.0,121.3,Không tốt cho người nhạy cảm
Chí Linh,2021-12-31,133.0,6.0,5.0,3.0,1.0,0.0,133.0,Không tốt cho người nhạy cảm
Chí Linh,2022-01-01,125.6,6.0,10.0,3.0,1.0,0.0,125.6,Không tốt cho người nhạy cảm
Chí Linh,2022-01-02,58.5,7.0,5.0,7.0,2.0,0.0,58.5,Vừa Phải
Chí Linh,2022-01-03,82.1,7.0,7.0,7.0,1.0,0.0,82.1,Vừa Phải
Chí Linh,2022-01-04,132.4,6.0,7.0,8.0,2.0,0.0,132.4,Không tốt cho người nhạy cảm
Chí Linh,2022-01-05,155.8,5.0,5.0,9.0,2.0,0.0,155.8,Không tốt
Chí Linh,2022-01-06,92.1,5.0,8.0,9.0,2.0,0.0,92.1,Vừa Phải
Chí Linh,2022-01-07,80.0,7.0,7.0,11.0,2.0,0.0,80.0,Vừa Phải
Chí Linh,2022-01-08,139.1,5.0,3.0,3.0,2.0,0.0,139.1,Không tốt cho người nhạy cảm
Chí Linh,2022-01-09,45.6,3.0,4.0,3.0,1.0,0.0,45.6,Tốt
Chí Linh,2022-01-10,50.6,3.0,7.0,3.0,1.0,0.0,50.6,Nguy hiểm
Chí Linh,2022-01-11,41.9,7.0,2.0,12.0,6.0,0.0,41.9,Tốt
Chí Linh,2022-01-12,39.0,4.0,5.0,4.0,1.0,0.0,39.0,Tốt
Chí Linh,2022-01-13,62.4,8.0,3.0,8.0,3.0,0.0,62.4,Vừa Phải
Chí Linh,2022-01-14,35.3,9.0,7.0,11.0,1.0,0.0,35.3,Tốt
Chí Linh,2022-01-15,34.2,6.0,9.0,7.0,1.0,0.0,34.2,Tốt
Chí Linh,2022-01-16,36.1,1.0,6.0,2.0,1.0,0.0,36.1,Tốt
Chí Linh,2022-01-17,36.3,3.0,10.0,4.0,1.0,0.0,36.3,Tốt
Chí Linh,2022-01-18,42.0,4.0,12.0,5.0,1.0,0.0,42.0,Tốt
Chí Linh,2022-01-19,96.4,5.0,4.0,8.0,1.0,0.0,96.4,Vừa Phải
Chí Linh,2022-01-20,138.0,5.0,5.0,4.0,1.0,0.0,138.0,Không tốt cho người nhạy cảm
Chí Linh,2022-01-21,89.0,2.0,2.0,8.0,1.0,0.0,89.0,Vừa Phải
Chí Linh,2022-01-22,70.3,4.0,8.0,7.0,1.0,0.0,70.3,Vừa Phải
Chí Linh,2022-01-23,99.0,3.0,8.0,6.0,1.0,0.0,99.0,Vừa Phải
Chí Linh,2022-01-24,83.6,3.0,4.0,10.0,3.0,0.0,83.6,Vừa Phải
Chí Linh,2022-01-25,145.8,3.0,6.0,11.0,2.0,0.0,145.8,Không tốt cho người nhạy cảm
Chí Linh,2022-01-26,151.9,3.0,4.0,10.0,2.0,0.0,151.9,Không tốt
Chí Linh,2022-01-27,57.1,3.0,8.0,9.0,1.0,0.0,57.1,Vừa Phải
Chí Linh,2022-01-28,65.0,4.0,3.0,8.0,2.0,0.0,65.0,Vừa Phải
Chí Linh,2022-01-29,48.4,2.0,4.0,1.0,0.0,0.0,48.4,Tốt
Chí Linh,2022-01-30,58.1,1.0,5.0,1.0,1.0,0.0,58.1,Vừa Phải
Chí Linh,2022-01-31,83.3,1.0,6.0,1.0,1.0,0.0,83.3,Vừa Phải
Chí Linh,2022-02-01,72.1,1.0,4.0,1.0,1.0,0.0,72.1,Vừa Phải
Chí Linh,2022-02-02,85.4,1.0,6.0,1.0,1.0,0.0,85.4,Vừa Phải
Chí Linh,2022-02-03,60.4,1.0,6.0,1.0,1.0,0.0,60.4,Vừa Phải
Chí Linh,2022-02-04,128.4,1.0,8.0,1.0,1.0,0.0,128.4,Không tốt cho người nhạy cảm
Chí Linh,2022-02-05,101.7,1.0,5.0,1.0,0.0,0.0,101.7,Không tốt cho người nhạy cảm
Chí Linh,2022-02-06,98.8,1.0,8.0,6.0,1.0,3.0,98.8,Vừa Phải
Chí Linh,2022-02-07,87.2,1.0,3.0,5.0,1.0,2.0,87.2,Vừa Phải
Chí Linh,2022-02-08,91.9,2.0,6.0,3.0,2.0,2.0,91.9,Vừa Phải
Chí Linh,2022-02-09,65.4,1.0,3.0,6.0,4.0,2.0,65.4,Vừa Phải
Chí Linh,2022-02-10,63.1,2.0,3.0,7.0,2.0,3.0,63.1,Vừa Phải
Chí Linh,2022-02-11,111.6,1.0,2.0,4.0,1.0,2.0,111.6,Không tốt cho người nhạy cảm
Chí Linh,2022-02-12,113.2,1.0,7.0,2.0,1.0,2.0,113.2,Không tốt cho người nhạy cảm
Chí Linh,2022-02-13,90.6,1.0,13.0,5.0,3.0,2.0,90.6,Vừa Phải
Chí Linh,2022-02-14,102.0,2.0,8.0,6.0,2.0,2.0,102.0,Không tốt cho người nhạy cảm
Chí Linh,2022-02-15,72.5,1.0,5.0,6.0,1.0,2.0,72.5,Vừa Phải
Chí Linh,2022-02-16,78.5,2.0,1.0,14.0,2.0,3.0,78.5,Vừa Phải
Chí Linh,2022-02-17,58.7,1.0,2.0,22.0,2.0,1.0,58.7,Vừa Phải
Chí Linh,2022-02-18,72.4,1.0,11.0,3.0,1.0,1.0,72.4,Vừa Phải
Chí Linh,2022-02-19,37.5,1.0,13.0,1.0,1.0,1.0,37.5,Tốt
Chí Linh,2022-02-20,70.9,1.0,13.0,1.0,1.0,2.0,70.9,Vừa Phải
Chí Linh,2022-02-21,49.2,1.0,15.0,1.0,1.0,1.0,49.2,Tốt
Chí Linh,2022-02-22,34.4,3.0,18.0,3.0,1.0,1.0,34.4,Tốt
Chí Linh,2022-02-23,48.3,3.0,21.0,6.0,2.0,1.0,48.3,Tốt
Chí Linh,2022-02-24,53.2,5.0,23.0,13.0,7.0,2.0,53.2,Vừa Phải
Chí Linh,2022-02-25,72.2,6.0,17.0,17.0,8.0,2.0,72.2,Vừa Phải
Chí Linh,2022-02-26,196.5,8.0,33.0,11.0,3.0,3.0,196.5,Không tốt
Chí Linh,2022-02-27,165.8,7.0,34.0,16.0,5.0,2.0,165.8,Không tốt
Chí Linh,2022-02-28,139.2,6.0,14.0,20.0,2.0,2.0,139.2,Không tốt cho người nhạy cảm
Chí Linh,2022-03-01,35.8,5.0,22.0,13.0,6.0,2.0,35.8,Tốt
Chí Linh,2022-03-02,168.5,4.0,15.0,12.0,2.0,2.0,168.5,Không tốt
Chí Linh,2022-03-03,80.7,4.0,10.0,14.0,1.0,2.0,80.7,Vừa Phải
Chí Linh,2022-03-04,140.0,2.0,2.0,14.0,1.0,2.0,140.0,Không tốt cho người nhạy cảm
Chí Linh,2022-03-05,129.9,3.0,6.0,10.0,1.0,2.0,129.9,Không tốt cho người nhạy cảm
Chí Linh,2022-03-06,221.8,3.0,14.0,4.0,1.0,2.0,221.8,Rất không tốt
Chí Linh,2022-03-07,141.8,4.0,28.0,9.0,1.0,1.0,141.8,Không tốt cho người nhạy cảm
Chí Linh,2022-03-08,84.1,6.0,24.0,17.0,1.0,1.0,84.1,Vừa Phải
Chí Linh,2022-03-09,83.7,5.0,14.0,18.0,1.0,1.0,83.7,Vừa Phải
Chí Linh,2022-03-10,123.3,6.0,14.0,17.0,1.0,2.0,123.3,Không tốt cho người nhạy cảm
Chí Linh,2022-03-11,112.4,5.0,17.0,12.0,2.0,1.0,112.4,Không tốt cho người nhạy cảm
