địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Cẩm Giàng,27/12/2021,0.0,3.0,0.0,5.0,0.0,0.0,5.0,Tốt
Cẩm Giàng,28/12/2021,4.0,7.0,0.0,4.0,0.0,0.0,7.0,Tốt
Cẩm Giàng,29/12/2021,12.0,7.0,0.0,4.0,0.0,0.0,12.0,Tốt
Cẩm Giàng,30/12/2021,13.0,14.0,0.0,4.0,0.0,0.0,14.0,Tốt
Cẩm Giàng,31/12/2021,26.0,19.0,0.0,4.0,0.0,0.0,26.0,Tốt
Cẩm Giàng,01/01/2022,36.0,18.0,0.0,3.0,0.0,0.0,36.0,Tốt
Cẩm Giàng,02/01/2022,32.0,23.0,0.0,4.0,0.0,0.0,32.0,Tốt
Cẩm Giàng,03/01/2022,43.0,21.0,0.0,4.0,0.0,0.0,43.0,Tốt
Cẩm Giàng,04/01/2022,38.0,16.0,0.0,4.0,0.0,0.0,38.0,Tốt
Cẩm Giàng,05/01/2022,29.0,9.0,0.0,3.0,0.0,0.0,29.0,Tốt
Cẩm Giàng,06/01/2022,17.0,17.0,0.0,4.0,0.0,0.0,17.0,Tốt
Cẩm Giàng,07/01/2022,32.0,21.0,0.0,5.0,0.0,0.0,32.0,Tốt
Cẩm Giàng,08/01/2022,39.0,16.0,0.0,4.0,0.0,0.0,39.0,Tốt
Cẩm Giàng,09/01/2022,28.0,5.0,0.0,3.0,0.0,0.0,28.0,Tốt
Cẩm Giàng,10/01/2022,11.0,11.0,0.0,4.0,0.0,0.0,11.0,Tốt
Cẩm Giàng,11/01/2022,16.0,15.0,0.0,5.0,0.0,0.0,16.0,Tốt
Cẩm Giàng,12/01/2022,25.0,12.0,0.0,5.0,0.0,0.0,25.0,Tốt
Cẩm Giàng,13/01/2022,21.0,20.0,0.0,5.0,0.0,0.0,21.0,Tốt
Cẩm Giàng,14/01/2022,37.0,28.0,0.0,5.0,0.0,0.0,37.0,Tốt
Cẩm Giàng,15/01/2022,55.0,16.0,0.0,3.0,0.0,0.0,55.0,Vừa Phải
Cẩm Giàng,16/01/2022,30.0,2.0,0.0,4.0,0.0,0.0,30.0,Tốt
Cẩm Giàng,17/01/2022,3.0,11.0,0.0,5.0,28.0,0.0,28.0,Tốt
Cẩm Giàng,18/01/2022,18.0,11.0,1.0,5.0,19.0,0.0,19.0,Tốt
Cẩm Giàng,19/01/2022,19.0,16.0,1.0,10.0,0.0,0.0,19.0,Tốt
Cẩm Giàng,20/01/2022,29.0,15.0,0.0,10.0,0.0,0.0,29.0,Tốt
Cẩm Giàng,21/01/2022,28.0,10.0,0.0,6.0,0.0,0.0,28.0,Tốt
Cẩm Giàng,22/01/2022,19.0,13.0,1.0,5.0,0.0,0.0,19.0,Tốt
Cẩm Giàng,23/01/2022,26.0,4.0,1.0,2.0,0.0,0.0,26.0,Tốt
Cẩm Giàng,24/01/2022,9.0,5.0,0.0,3.0,0.0,0.0,9.0,Tốt
Cẩm Giàng,25/01/2022,9.0,6.0,0.0,4.0,0.0,0.0,9.0,Tốt
Cẩm Giàng,26/01/2022,13.0,5.0,0.0,4.0,0.0,0.0,13.0,Tốt
Cẩm Giàng,27/01/2022,10.0,7.0,1.0,3.0,0.0,0.0,10.0,Tốt
Cẩm Giàng,28/01/2022,12.0,12.0,0.0,3.0,0.0,0.0,12.0,Tốt
Cẩm Giàng,29/01/2022,22.0,6.0,0.0,2.0,0.0,0.0,22.0,Tốt
Cẩm Giàng,30/01/2022,12.0,3.0,0.0,1.0,0.0,0.0,12.0,Tốt
Cẩm Giàng,31/01/2022,4.0,4.0,1.0,1.0,0.0,0.0,4.0,Tốt
Cẩm Giàng,01/02/2022,7.0,3.0,0.0,1.0,0.0,0.0,7.0,Tốt
Cẩm Giàng,02/02/2022,6.0,4.0,1.0,1.0,0.0,0.0,6.0,Tốt
Cẩm Giàng,03/02/2022,7.0,8.0,1.0,1.0,0.0,0.0,8.0,Tốt
Cẩm Giàng,04/02/2022,15.0,19.0,1.0,2.0,0.0,0.0,19.0,Tốt
Cẩm Giàng,05/02/2022,35.0,4.0,0.0,3.0,0.0,0.0,35.0,Tốt
Cẩm Giàng,06/02/2022,8.0,12.0,1.0,7.0,0.0,1.0,12.0,Tốt
Cẩm Giàng,07/02/2022,21.0,8.0,0.0,7.0,1.0,2.0,21.0,Tốt
Cẩm Giàng,08/02/2022,15.0,4.0,1.0,6.0,1.0,1.0,15.0,Tốt
Cẩm Giàng,09/02/2022,8.0,7.0,0.0,7.0,1.0,1.0,8.0,Tốt
Cẩm Giàng,10/02/2022,14.0,6.0,1.0,10.0,1.0,2.0,14.0,Tốt
Cẩm Giàng,11/02/2022,11.0,2.0,1.0,6.0,1.0,1.0,11.0,Tốt
Cẩm Giàng,12/02/2022,5.0,1.0,2.0,4.0,0.0,1.0,5.0,Tốt
Cẩm Giàng,13/02/2022,2.0,6.0,3.0,8.0,0.0,1.0,8.0,Tốt
Cẩm Giàng,14/02/2022,10.0,8.0,2.0,11.0,1.0,1.0,11.0,Tốt
Cẩm Giàng,15/02/2022,15.0,1.0,1.0,9.0,1.0,1.0,15.0,Tốt
Cẩm Giàng,16/02/2022,1.0,8.0,3.0,12.0,1.0,2.0,12.0,Tốt
Cẩm Giàng,17/02/2022,16.0,0.0,3.0,10.0,0.0,1.0,16.0,Tốt
Cẩm Giàng,18/02/2022,0.0,1.0,3.0,8.0,0.0,1.0,8.0,Tốt
Cẩm Giàng,19/02/2022,1.0,1.0,6.0,8.0,0.0,1.0,8.0,Tốt
Cẩm Giàng,20/02/2022,1.0,2.0,17.0,9.0,12.0,3.0,17.0,Tốt
Cẩm Giàng,21/02/2022,2.0,2.0,6.0,8.0,1.0,2.0,8.0,Tốt
Cẩm Giàng,22/02/2022,4.0,6.0,8.0,13.0,1.0,2.0,13.0,Tốt
Cẩm Giàng,23/02/2022,10.0,10.0,28.0,11.0,11.0,2.0,28.0,Tốt
Cẩm Giàng,24/02/2022,17.0,14.0,13.0,13.0,1.0,2.0,17.0,Tốt
Cẩm Giàng,25/02/2022,24.0,21.0,9.0,17.0,1.0,3.0,24.0,Tốt
Cẩm Giàng,26/02/2022,36.0,36.0,20.0,8.0,1.0,3.0,36.0,Tốt
Cẩm Giàng,27/02/2022,70.0,28.0,21.0,9.0,0.0,3.0,70.0,Vừa Phải
Cẩm Giàng,28/02/2022,54.0,21.0,11.0,11.0,1.0,2.0,54.0,Vừa Phải
Cẩm Giàng,01/03/2022,42.0,27.0,13.0,9.0,1.0,3.0,42.0,Tốt
Cẩm Giàng,02/03/2022,52.0,15.0,6.0,9.0,1.0,2.0,52.0,Vừa Phải
Cẩm Giàng,03/03/2022,29.0,7.0,6.0,7.0,1.0,1.0,29.0,Tốt
Cẩm Giàng,04/03/2022,15.0,3.0,1.0,8.0,1.0,2.0,15.0,Tốt
Cẩm Giàng,05/03/2022,7.0,5.0,1.0,6.0,1.0,1.0,7.0,Tốt
Cẩm Giàng,06/03/2022,10.0,16.0,1.0,11.0,1.0,3.0,16.0,Tốt
Cẩm Giàng,07/03/2022,25.0,12.0,3.0,9.0,1.0,3.0,25.0,Tốt
Cẩm Giàng,08/03/2022,21.0,12.0,2.0,10.0,1.0,1.0,21.0,Tốt
Cẩm Giàng,09/03/2022,19.0,7.0,2.0,9.0,1.0,1.0,19.0,Tốt
Cẩm Giàng,10/03/2022,12.0,7.0,1.0,6.0,1.0,1.0,12.0,Tốt
Cẩm Giàng,11/03/2022,11.0,6.0,59.0,5.0,2.0,2.0,59.0,Vừa Phải
Cẩm Giàng,12/03/2022,11.0,5.0,1.0,4.0,1.0,1.0,11.0,Tốt
Cẩm Giàng,13/03/2022,10.0,5.0,1.0,4.0,1.0,1.0,10.0,Tốt
Cẩm Giàng,14/03/2022,8.0,18.0,9.0,5.0,1.0,2.0,18.0,Tốt
Cẩm Giàng,15/03/2022,33.0,8.0,0.0,5.0,3.0,1.0,33.0,Tốt
Cẩm Giàng,16/03/2022,16.0,2.0,0.0,5.0,3.0,1.0,16.0,Tốt
Cẩm Giàng,17/03/2022,4.0,9.0,0.0,4.0,3.0,2.0,9.0,Tốt
Cẩm Giàng,18/03/2022,17.0,6.0,77.0,5.0,3.0,1.0,77.0,Vừa Phải
Cẩm Giàng,19/03/2022,11.0,4.0,1.0,3.0,3.0,1.0,11.0,Tốt
Cẩm Giàng,20/03/2022,7.0,5.0,1.0,2.0,3.0,1.0,7.0,Tốt
Cẩm Giàng,21/03/2022,9.0,8.0,1.0,2.0,3.0,1.0,9.0,Tốt
Cẩm Giàng,22/03/2022,16.0,2.0,0.0,3.0,3.0,2.0,16.0,Tốt
Cẩm Giàng,23/03/2022,4.0,3.0,13.0,3.0,3.0,3.0,13.0,Tốt
Cẩm Giàng,24/03/2022,6.0,6.0,13.0,8.0,3.0,4.0,13.0,Tốt
Cẩm Giàng,25/03/2022,12.0,26.0,33.0,9.0,3.0,4.0,33.0,Tốt
Cẩm Giàng,26/03/2022,50.0,9.0,12.0,11.0,3.0,3.0,50.0,Tốt
Cẩm Giàng,27/03/2022,16.0,10.0,13.0,9.0,3.0,2.0,16.0,Tốt
Cẩm Giàng,28/03/2022,17.0,22.0,5.0,15.0,3.0,3.0,22.0,Tốt
Cẩm Giàng,29/03/2022,42.0,9.0,8.0,16.0,3.0,4.0,42.0,Tốt
Cẩm Giàng,30/03/2022,18.0,11.0,16.0,14.0,3.0,2.0,18.0,Tốt
Cẩm Giàng,31/03/2022,21.0,2.0,13.0,11.0,3.0,2.0,21.0,Tốt
Cẩm Giàng,01/04/2022,3.0,4.0,16.0,13.0,3.0,2.0,16.0,Tốt
Cẩm Giàng,02/04/2022,6.0,9.0,28.0,9.0,5.0,2.0,28.0,Tốt
Cẩm Giàng,03/04/2022,14.0,14.0,36.0,13.0,7.0,2.0,36.0,Tốt
Cẩm Giàng,04/04/2022,22.0,19.0,37.0,16.0,5.0,2.0,37.0,Tốt
Cẩm Giàng,05/04/2022,30.0,23.0,37.0,19.0,4.0,4.0,37.0,Tốt
Cẩm Giàng,06/04/2022,39.0,28.0,30.0,14.0,3.0,3.0,39.0,Tốt
Cẩm Giàng,07/04/2022,49.0,25.0,52.0,15.0,4.0,3.0,52.0,Vừa Phải
Cẩm Giàng,08/04/2022,44.0,13.0,35.0,5.0,3.0,1.0,44.0,Tốt
Cẩm Giàng,09/04/2022,24.0,10.0,28.0,3.0,3.0,1.0,28.0,Tốt
Cẩm Giàng,10/04/2022,18.0,9.0,17.0,5.0,3.0,1.0,18.0,Tốt
Cẩm Giàng,11/04/2022,17.0,7.0,12.0,7.0,3.0,1.0,17.0,Tốt
Cẩm Giàng,12/04/2022,12.0,14.0,32.0,7.0,3.0,2.0,32.0,Tốt
Cẩm Giàng,13/04/2022,26.0,9.0,21.0,6.0,3.0,2.0,26.0,Tốt
Cẩm Giàng,14/04/2022,17.0,9.0,14.0,8.0,3.0,2.0,17.0,Tốt
Cẩm Giàng,15/04/2022,18.0,4.0,13.0,14.0,3.0,2.0,18.0,Tốt
Cẩm Giàng,16/04/2022,7.0,3.0,6.0,7.0,3.0,2.0,7.0,Tốt
Cẩm Giàng,17/04/2022,4.0,3.0,9.0,10.0,3.0,2.0,10.0,Tốt
Cẩm Giàng,18/04/2022,5.0,7.0,17.0,13.0,3.0,2.0,17.0,Tốt
Cẩm Giàng,19/04/2022,12.0,14.0,18.0,13.0,3.0,3.0,18.0,Tốt
Cẩm Giàng,20/04/2022,25.0,12.0,23.0,7.0,3.0,2.0,25.0,Tốt
Cẩm Giàng,21/04/2022,24.0,5.0,25.0,6.0,3.0,2.0,25.0,Tốt
Cẩm Giàng,22/04/2022,11.0,5.0,6.0,6.0,4.0,2.0,11.0,Tốt
Cẩm Giàng,23/04/2022,11.0,6.0,11.0,2.0,3.0,1.0,11.0,Tốt
Cẩm Giàng,24/04/2022,11.0,4.0,13.0,5.0,3.0,1.0,13.0,Tốt
Cẩm Giàng,25/04/2022,8.0,5.0,14.0,6.0,3.0,1.0,14.0,Tốt
Cẩm Giàng,26/04/2022,10.0,4.0,10.0,7.0,3.0,1.0,10.0,Tốt
Cẩm Giàng,27/04/2022,8.0,3.0,7.0,5.0,3.0,1.0,8.0,Tốt
Cẩm Giàng,28/04/2022,5.0,4.0,7.0,7.0,3.0,1.0,7.0,Tốt
Cẩm Giàng,29/04/2022,8.0,2.0,10.0,4.0,3.0,1.0,10.0,Tốt
Cẩm Giàng,30/04/2022,4.0,2.0,16.0,4.0,3.0,1.0,16.0,Tốt
Cẩm Giàng,01/05/2022,3.0,9.0,19.0,8.0,4.0,1.0,19.0,Tốt
Cẩm Giàng,02/05/2022,15.0,13.0,25.0,10.0,4.0,2.0,25.0,Tốt
Cẩm Giàng,03/05/2022,22.0,16.0,34.0,12.0,4.0,2.0,34.0,Tốt
Cẩm Giàng,04/05/2022,27.0,17.0,35.0,7.0,6.0,2.0,35.0,Tốt
Cẩm Giàng,05/05/2022,31.0,7.0,26.0,2.0,4.0,2.0,31.0,Tốt
Cẩm Giàng,06/05/2022,13.0,3.0,12.0,2.0,3.0,1.0,13.0,Tốt
Cẩm Giàng,07/05/2022,6.0,2.0,12.0,1.0,3.0,1.0,12.0,Tốt
Cẩm Giàng,08/05/2022,3.0,2.0,12.0,1.0,3.0,1.0,12.0,Tốt
Cẩm Giàng,09/05/2022,4.0,5.0,11.0,1.0,3.0,1.0,11.0,Tốt
Cẩm Giàng,10/05/2022,9.0,4.0,20.0,2.0,3.0,1.0,20.0,Tốt
Cẩm Giàng,11/05/2022,7.0,4.0,7.0,3.0,7.0,1.0,7.0,Tốt
Cẩm Giàng,12/05/2022,6.0,0.0,0.0,0.0,0.0,0.0,6.0,Tốt
Cẩm Giàng,14/05/2022,0.0,0.0,7.0,2.0,3.0,2.0,7.0,Tốt
Cẩm Giàng,15/05/2022,0.0,0.0,7.0,2.0,4.0,1.0,7.0,Tốt
Cẩm Giàng,18/05/2022,0.0,0.0,12.0,1.0,3.0,1.0,12.0,Tốt
Cẩm Giàng,19/05/2022,0.0,0.0,14.0,1.0,2.0,1.0,14.0,Tốt
Cẩm Giàng,20/05/2022,0.0,0.0,18.0,3.0,3.0,2.0,18.0,Tốt
Cẩm Giàng,21/05/2022,0.0,0.0,9.0,1.0,3.0,1.0,9.0,Tốt
Cẩm Giàng,22/05/2022,0.0,0.0,9.0,2.0,3.0,1.0,9.0,Tốt
Cẩm Giàng,23/05/2022,0.0,0.0,1.0,1.0,3.0,3.0,3.0,Tốt
Cẩm Giàng,24/05/2022,0.0,0.0,15.0,1.0,3.0,3.0,15.0,Tốt
Cẩm Giàng,25/05/2022,0.0,0.0,16.0,2.0,3.0,1.0,16.0,Tốt
Cẩm Giàng,26/05/2022,0.0,0.0,15.0,2.0,3.0,1.0,15.0,Tốt
Cẩm Giàng,27/05/2022,0.0,0.0,13.0,2.0,3.0,1.0,13.0,Tốt
Cẩm Giàng,28/05/2022,0.0,0.0,13.0,1.0,3.0,1.0,13.0,Tốt
Cẩm Giàng,29/05/2022,0.0,0.0,11.0,1.0,3.0,1.0,11.0,Tốt
Cẩm Giàng,30/05/2022,0.0,0.0,16.0,1.0,3.0,1.0,16.0,Tốt
Cẩm Giàng,31/05/2022,0.0,5.0,15.0,2.0,4.0,1.0,15.0,Tốt
Cẩm Giàng,01/06/2022,8.0,2.0,18.0,3.0,4.0,1.0,18.0,Tốt
Cẩm Giàng,02/06/2022,4.0,2.0,15.0,3.0,4.0,1.0,15.0,Tốt
Cẩm Giàng,03/06/2022,4.0,4.0,17.0,2.0,3.0,1.0,17.0,Tốt
Cẩm Giàng,04/06/2022,6.0,4.0,23.0,4.0,4.0,1.0,23.0,Tốt
Cẩm Giàng,05/06/2022,6.0,4.0,8.0,4.0,4.0,2.0,8.0,Tốt
Cẩm Giàng,06/06/2022,7.0,5.0,19.0,3.0,4.0,2.0,19.0,Tốt
Cẩm Giàng,07/06/2022,9.0,2.0,11.0,8.0,4.0,2.0,11.0,Tốt
Cẩm Giàng,08/06/2022,4.0,4.0,24.0,6.0,4.0,2.0,24.0,Tốt
Cẩm Giàng,09/06/2022,8.0,2.0,14.0,10.0,4.0,2.0,14.0,Tốt
Cẩm Giàng,10/06/2022,4.0,3.0,17.0,7.0,4.0,2.0,17.0,Tốt
Cẩm Giàng,11/06/2022,6.0,4.0,20.0,3.0,4.0,2.0,20.0,Tốt
Cẩm Giàng,12/06/2022,6.0,2.0,23.0,5.0,4.0,1.0,23.0,Tốt
Cẩm Giàng,13/06/2022,4.0,2.0,16.0,4.0,4.0,2.0,16.0,Tốt
Cẩm Giàng,14/06/2022,3.0,3.0,19.0,2.0,4.0,2.0,19.0,Tốt
Cẩm Giàng,15/06/2022,7.0,2.0,19.0,2.0,4.0,1.0,19.0,Tốt
Cẩm Giàng,16/06/2022,5.0,3.0,13.0,2.0,4.0,1.0,13.0,Tốt
Cẩm Giàng,17/06/2022,5.0,5.0,11.0,2.0,4.0,2.0,11.0,Tốt
Cẩm Giàng,18/06/2022,9.0,5.0,13.0,2.0,4.0,2.0,13.0,Tốt
Cẩm Giàng,19/06/2022,9.0,5.0,15.0,3.0,4.0,1.0,15.0,Tốt
Cẩm Giàng,20/06/2022,10.0,4.0,22.0,6.0,4.0,1.0,22.0,Tốt
Cẩm Giàng,21/06/2022,8.0,3.0,17.0,4.0,4.0,1.0,17.0,Tốt
Cẩm Giàng,22/06/2022,5.0,2.0,16.0,5.0,4.0,1.0,16.0,Tốt
Cẩm Giàng,23/06/2022,4.0,2.0,11.0,0.0,4.0,1.0,11.0,Tốt
Cẩm Giàng,24/06/2022,3.0,1.0,11.0,2.0,4.0,1.0,11.0,Tốt
Cẩm Giàng,25/06/2022,2.0,2.0,15.0,0.0,4.0,1.0,15.0,Tốt
Cẩm Giàng,26/06/2022,3.0,2.0,20.0,5.0,4.0,1.0,20.0,Tốt
Cẩm Giàng,27/06/2022,3.0,2.0,21.0,4.0,4.0,1.0,21.0,Tốt
Cẩm Giàng,28/06/2022,4.0,3.0,15.0,7.0,4.0,1.0,15.0,Tốt
Cẩm Giàng,29/06/2022,6.0,3.0,15.0,8.0,4.0,2.0,15.0,Tốt
