địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Cẩm Phả,2023-11-01,32.0,48.0,41.0,20.0,12.0,0.0,48.0,Tốt
Cẩm Phả,2023-11-02,16.0,56.0,28.0,10.0,9.0,0.0,56.0,Vừa Phải
Cẩm Phả,2023-11-03,20.0,0.0,0.0,0.0,0.0,0.0,20.0,Tốt
Cẩm Phả,2023-11-06,11.0,45.0,48.0,16.0,20.0,0.0,48.0,Tốt
Cẩm Phả,2023-11-07,13.0,0.0,0.0,0.0,0.0,0.0,13.0,Tốt
Cẩm Phả,2023-11-09,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Tốt
Cẩm Phả,2023-11-12,10.0,20.0,8.0,7.0,9.0,0.0,20.0,Tốt
Cẩm Phả,2023-11-13,5.0,42.0,2.0,9.0,8.0,0.0,42.0,Tốt
Cẩm Phả,2023-11-14,7.0,0.0,0.0,0.0,0.0,0.0,7.0,Tốt
Cẩm Phả,2023-11-23,44.0,46.0,46.0,17.0,15.0,0.0,46.0,Tốt
Cẩm Phả,2023-11-24,42.0,44.0,33.0,15.0,8.0,0.0,44.0,Tốt
Cẩm Phả,2023-11-25,42.0,0.0,0.0,0.0,0.0,0.0,42.0,Tốt
Cẩm Phả,2023-10-04,21.0,81.0,0.0,0.0,0.0,0.0,81.0,Vừa Phải
Cẩm Phả,2023-10-05,22.0,0.0,0.0,0.0,0.0,0.0,22.0,Tốt
Cẩm Phả,2023-10-11,5.0,29.0,14.0,13.0,6.0,0.0,29.0,Tốt
Cẩm Phả,2023-10-12,7.0,40.0,26.0,14.0,6.0,0.0,40.0,Tốt
Cẩm Phả,2023-10-13,10.0,45.0,37.0,13.0,6.0,0.0,45.0,Tốt
Cẩm Phả,2023-10-14,14.0,0.0,0.0,0.0,0.0,0.0,14.0,Tốt
Cẩm Phả,2023-10-23,12.0,44.0,26.0,16.0,6.0,0.0,44.0,Tốt
Cẩm Phả,2023-10-24,11.0,43.0,39.0,16.0,6.0,0.0,43.0,Tốt
Cẩm Phả,2023-10-25,12.0,45.0,35.0,18.0,9.0,0.0,45.0,Tốt
Cẩm Phả,2023-10-26,12.0,52.0,28.0,17.0,14.0,0.0,52.0,Vừa Phải
Cẩm Phả,2023-10-27,17.0,40.0,25.0,10.0,10.0,0.0,40.0,Tốt
Cẩm Phả,2023-10-28,11.0,0.0,0.0,0.0,0.0,0.0,11.0,Tốt
Cẩm Phả,2023-07-01,3.0,7.0,26.0,1.0,4.0,0.0,26.0,Tốt
Cẩm Phả,2023-07-02,3.0,6.0,23.0,1.0,4.0,0.0,23.0,Tốt
Cẩm Phả,2023-07-03,3.0,6.0,20.0,1.0,4.0,0.0,20.0,Tốt
Cẩm Phả,2023-07-04,2.0,38.0,21.0,1.0,17.0,0.0,38.0,Tốt
Cẩm Phả,2023-07-05,10.0,8.0,25.0,1.0,4.0,0.0,25.0,Tốt
Cẩm Phả,2023-07-06,4.0,10.0,18.0,1.0,4.0,0.0,18.0,Tốt
Cẩm Phả,2023-07-07,5.0,10.0,20.0,1.0,4.0,0.0,20.0,Tốt
Cẩm Phả,2023-07-08,5.0,9.0,19.0,1.0,4.0,0.0,19.0,Tốt
Cẩm Phả,2023-07-09,4.0,8.0,23.0,2.0,4.0,0.0,23.0,Tốt
Cẩm Phả,2023-07-10,4.0,7.0,26.0,1.0,4.0,0.0,26.0,Tốt
Cẩm Phả,2023-07-11,3.0,7.0,30.0,1.0,4.0,0.0,30.0,Tốt
