date, pm25, pm10, o3, no2, so2, co
27/12/2021, ,7,27,7,4,2
28/12/2021,14,7,29,6,4,8
29/12/2021,14,7,33,8,8,13
30/12/2021,13,7,36,8,7,14
31/12/2021,14,7,7,11,12,14
1/01/2022,14,7,5,7,6,12
2/01/2022,14,7,2,9,11,11
3/01/2022,14,7,3,8,6,10
4/01/2022,14,7,2,13,13,10
5/01/2022,13,7,1,16,31,10
6/01/2022,13,7,1,18,27,10
7/01/2022,14,7,3,10,10,11
8/01/2022,13,7,4,8,8,6
9/01/2022,13,6,2,8,7,9
10/01/2022,13,7,1,8,8,5
11/01/2022,13,7,4,19,15,9
12/01/2022,13,7,47,8,16,5
13/01/2022,13,6,56,9,10,6
14/01/2022,13,7,48,11,13,9
15/01/2022,13,7,70,8,19,5
16/01/2022,13,7,44,8,14,6
17/01/2022,13,7,48,8,9,5
18/01/2022,13,7,44,7,9,4
19/01/2022,13,7,45,6,6,8
20/01/2022,13,7,44,7,7,5
21/01/2022,13,7,48,6,5,5
22/01/2022,13,6,41,6,10,6
23/01/2022,13,6,36,6,6,7
24/01/2022,13,6,35,6,7,5
25/01/2022,12,6,34,7,9,8
26/01/2022,13,7,39,5,6,3
27/01/2022,13,7,43,5,5,9
28/01/2022,13,7,44,5,5,8
29/01/2022,13,6,43,5,5,8
30/01/2022,13,6,40,7,13,7
31/01/2022,13,7,40,7,7,8
1/02/2022,13,7,39,9,8,6
2/02/2022,13,7,38,8,8,6
3/02/2022,13,7,38,11,9,5
4/02/2022,13,7,42,11,8,5
5/02/2022,14,7,42,7,6,8
6/02/2022,14,7,46,7,6,5
7/02/2022,14,7,37,10,7,5
8/02/2022,14,7,40,8,10,4
9/02/2022,13,7,37,14,10,3
10/02/2022,13,7,40,10,18,5
11/02/2022,13,7,38,10,9,5
12/02/2022,13,7,43,10,9,7
13/02/2022,14,7,37,10,14,3
14/02/2022,13,7,35,11,10,4
15/02/2022,13,7,13,7,23,7
16/02/2022,13,7,13,3,13,8
17/02/2022,13,6,12,4,3,7
18/02/2022,13,6,11,2,2,6
19/02/2022,13,6,10,2,2,8
20/02/2022,12,6,19,5,5,22
21/02/2022,12,7,19,5,4,25
22/02/2022,13,7,22,5,6,26
23/02/2022,13,7,27,5,4,7
24/02/2022,13,7,17,4,2,7
25/02/2022,13,6,15,5,5,4
26/02/2022,13,7,16,9,6,6
27/02/2022,13,7,16,6,4,6
28/02/2022,13,7,14,8,5,6
1/03/2022,13,7,11,10,9,6
2/03/2022,13,7,13,9,5,6
3/03/2022,13,7,16,11,9,6
4/03/2022,13,7,14,10,9,6
5/03/2022,12,7,15,11,13,6
6/03/2022,12,7,13,12,12,6
7/03/2022,12,7,28,9,8,6
8/03/2022,13,7,28,8,7,7
9/03/2022,13,7,26,5,3,7
10/03/2022,13,7,23,6,4,6
11/03/2022,13,7,26,7,4,6
12/03/2022,13,7,14,11,10,6
13/03/2022,13,6,12,10,24,6
14/03/2022,12,6,11,6,8,6
15/03/2022,12,6,12,5,3,6
16/03/2022,12,6,11,8,10,6
17/03/2022,12,6,9,5,3,6
18/03/2022,12,6,10,6,5,6
19/03/2022,13,6,6,10,20,5
20/03/2022,12,6,10,5,3,6
21/03/2022,12,6,11,5,3,5
22/03/2022,12,6,18,5,2,6
23/03/2022,12,6,26,6,3,4
24/03/2022,12,6,6,5,3,5
25/03/2022,12,6,6,5,7,6
26/03/2022,12,6,6,5,3,6
27/03/2022,12,6,8,6,3,6
28/03/2022,12,6,6,13,23,6
29/03/2022,12,6,9,5,3,6
30/03/2022,12,6,6,6,3,3
31/03/2022,12,6,16,5,3,3
1/04/2022,12,6,20,6,3,2
2/04/2022,12,6,31,16,7,3
3/04/2022,12,4,26,13,17,3
4/04/2022,11,7,36,11,14,3
5/04/2022,12,7,26,8,10,4
6/04/2022,12,7,36,7,5,4
7/04/2022,13,7,45,7,5,3
8/04/2022,13,7,40,5,2,2
9/04/2022,13,8,41,4,1,3
11/04/2022,14,7,42,6,2,4
12/04/2022,13,6,43,5,2,4
13/04/2022,12,6,45,5,2,3
14/04/2022,12,6,45,5,2,4
15/04/2022,12,6,45,5,2,6
16/04/2022,12,6,45,6,2,5
17/04/2022,12,6,45,12,18,6
18/04/2022,12,7,45,12,16,5
19/04/2022,13,7,45,11,14,5
20/04/2022,13,7,45,8,10,5
21/04/2022,13,7,45,10,17,5
22/04/2022,13,6,45,6,9,5
23/04/2022,12,6,45,5,2,2
24/04/2022,12,6,45,5,2,4
25/04/2022,12,6,45,5,2,5
26/04/2022,12,6,45,6,4,4
27/04/2022,12,6,45,5,2,5
28/04/2022,12,6,45,9,9,3
29/04/2022,12,6,45,6,3,5
30/04/2022,12,6,45,5,2,5
1/05/2022,12,6,45,5,2,5
2/05/2022,12,6,45,6,2,5
3/05/2022,12,6,45,6,3,3
4/05/2022,12,6,45,7,3,3
5/05/2022,12,6,45,8,10,4
6/05/2022,12,6,45,9,6,2
7/05/2022,12,6,45,7,3,2
8/05/2022,12,6,45,6,2,3
9/05/2022,12,6,45,8,8,3
10/05/2022,12,6,45,5,2,3
11/05/2022,12,6,45,6,2,4
12/05/2022,12,6,45,6,2,5
13/05/2022,12,6,45,6,2,4
14/05/2022,12,7,45,5,2,5
15/05/2022,12,6,45,6,2,5
16/05/2022,12,6,45,6,3,5
17/05/2022,12,6,45,7,2,3
18/05/2022,12,6,45,6,2,5
19/05/2022,12,6,45,6,2,5
20/05/2022,12,6,45,6,2,4
21/05/2022,12,6,45,6,2,3
22/05/2022,12,6,45,6,2,5
23/05/2022,12,7,45,5,2,5
24/05/2022,12,6,45,6,2,3
25/05/2022,12,6,45,2,4,3
26/05/2022,12,6,45,6,1,3
27/05/2022,12,6,22,6,1,4
28/05/2022,12,6,20,6,2,4
29/05/2022,12,7,20,6,2,3
30/05/2022,13,7,24,6,2,4
31/05/2022,13,7,26,1,3,4
1/06/2022,13,6,18,6,2,2
2/06/2022,12,3,23,6,2,5
3/06/2022,6,3,24,6,1,3
4/06/2022,6,4,26,5,3,3
5/06/2022,6,3,27,5,2,5
6/06/2022,5,4,26,6,2,4
7/06/2022,6,4,27,5,2,3
8/06/2022,7,4,16,6,2,5
9/06/2022,6,5,22,6,2,5
10/06/2022,7,5,25,6,2,5
11/06/2022,8,4,20,5,2,2
12/06/2022,7,4,22,5,2,4
13/06/2022,7,3,23,5,2,4
14/06/2022,5,2,23,7,3,4
15/06/2022,4,4,27,6,2,4
16/06/2022,7,3,28,6,2,4
17/06/2022,5,4,19,6,2,2
18/06/2022,6,3,20,5,2,5
19/06/2022,5,4,21,5,1,4
20/06/2022,6,3,20,5,2,4
21/06/2022,5,4,21,6,3,4
22/06/2022,6,5,20,5,2,4
23/06/2022,12,5,22,4,9,3
26/06/2022,9,4,23,5,3,2
27/06/2022,5,3,24,6,2,5
28/06/2022,6,4,33,6,3,5
29/06/2022,7,4,24,5,2,5
30/06/2022,6,3,23,4,3,5
1/07/2022,7,4,28,4,2,4
2/07/2022,7,4,28,4,3,5
3/07/2022,10,6,28,7,2,5
4/07/2022,10,6,28,6,3,5
5/07/2022,9,5,28,6,2,5
6/07/2022,7,4,28,5,2,4
7/07/2022,8,5,26,6,2,4
8/07/2022,10,6,28,7,2,4
9/07/2022,9,6,28,6,2,4
10/07/2022,8,5,28,5,2,4
11/07/2022,9,5,28,5,2,4
12/07/2022,8,4,28,5,2,4
13/07/2022,10,7,28,5,2,4
14/07/2022,12,7,27,4,2,5
17/07/2022,11,8,26,5,2,6
18/07/2022,12,6,26,5,2,4
19/07/2022,12,5,20,6,1,4
20/07/2022,12,4,38,7,2,3
21/07/2022,12,5,29,5,2,4
22/07/2022,12,5,30,4,2,4
23/07/2022,12,4,25,3,2,4
24/07/2022,12,4,23,3,2,4
25/07/2022,12,3,22,4,1,4
26/07/2022,12,2,23,4,2,4
27/07/2022,12,3,21,4,2,4
28/07/2022,12,4,19,3,2,2
29/07/2022,12,4,22,3,2,3
30/07/2022,12,6,21,3,3,4
31/07/2022,12,5,19,4,2,3
1/08/2022,12,3,19,4,2,3
2/08/2022,12,3,18,4,2,3
3/08/2022,12,3,18,4,2,1
4/08/2022,12,4,20,5,2,3
5/08/2022,12,4,23,4,3,2
6/08/2022,12,3,19,3,2,3
7/08/2022,12,4,24,3,2,3
8/08/2022,12,4,20,3,2,2
9/08/2022,12,4,20,4,2,4
10/08/2022,12,4,26,5,1,3
11/08/2022,11,4,23,5,2,2
12/08/2022,15,6,21,5,2,3
13/08/2022,8,6,25,4,2,3
14/08/2022,8,6,23,3,2,4
15/08/2022,10,5,20,5,2,4
16/08/2022,11,4,21,6,3,4
17/08/2022,8,4,21,4,2,3
18/08/2022,6,4,20,5,2,3
19/08/2022,9,3,21,5,2,2
20/08/2022,8,3,20,5,2,1
21/08/2022,11,3,21,7,2,2
22/08/2022,12,4,20,5,2,2
23/08/2022,13,4,22,5,3,2
24/08/2022,14,4,23,5,3,2
25/08/2022,15,4,24,5,3,1
26/08/2022,16,5,33,6,2,3
27/08/2022,12,6,24,6,2,3
28/08/2022,8,4,23,4,2,2
29/08/2022,14,6,35,5,2,3
30/08/2022,10,6,24,6,2,2
