địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Gia Bình,2020-08-22,35.0,24.0,23.0,3.0,13.0,1.0,35.0,Tốt
Gia Bình,2020-08-23,34.0,37.0,34.0,5.0,11.0,1.0,37.0,Tốt
Gia Bình,2020-08-24,46.0,37.0,24.0,5.0,17.0,1.0,46.0,Tốt
Gia Bình,2020-08-25,47.0,40.0,78.0,6.0,16.0,1.0,78.0,Vừa Phải
Gia Bình,2020-08-26,50.0,49.0,29.0,8.0,11.0,2.0,50.0,Tốt
Gia Bình,2020-08-27,71.0,49.0,13.0,8.0,11.0,2.0,71.0,Vừa Phải
Gia Bình,2020-08-28,63.0,45.0,16.0,7.0,11.0,1.0,63.0,Vừa Phải
Gia Bình,2020-08-29,47.0,41.0,22.0,7.0,11.0,1.0,47.0,Tốt
Gia Bình,2020-08-30,52.0,53.0,28.0,6.0,11.0,2.0,53.0,Vừa Phải
Gia Bình,2020-08-31,75.0,56.0,32.0,6.0,16.0,2.0,75.0,Vừa Phải
Gia Bình,2020-09-01,85.0,72.0,39.0,11.0,11.0,3.0,85.0,Vừa Phải
Gia Bình,2020-09-02,133.0,69.0,22.0,7.0,12.0,3.0,133.0,Không tốt cho người nhạy cảm
Gia Bình,2020-09-03,123.0,52.0,17.0,7.0,11.0,2.0,123.0,Không tốt cho người nhạy cảm
Gia Bình,2020-09-04,83.0,34.0,20.0,5.0,11.0,1.0,83.0,Vừa Phải
Gia Bình,2020-09-05,49.0,33.0,19.0,4.0,10.0,1.0,49.0,Tốt
Gia Bình,2020-09-06,42.0,24.0,21.0,5.0,17.0,1.0,42.0,Tốt
Gia Bình,2020-09-07,32.0,35.0,13.0,13.0,16.0,2.0,35.0,Tốt
Gia Bình,2020-09-08,44.0,26.0,10.0,11.0,16.0,1.0,44.0,Tốt
Gia Bình,2020-09-09,27.0,40.0,28.0,14.0,15.0,2.0,40.0,Tốt
Gia Bình,2020-09-10,38.0,33.0,13.0,4.0,12.0,1.0,38.0,Tốt
Gia Bình,2020-09-11,39.0,28.0,13.0,2.0,11.0,1.0,39.0,Tốt
Gia Bình,2020-09-12,31.0,25.0,24.0,2.0,12.0,1.0,31.0,Tốt
Gia Bình,2020-09-13,23.0,32.0,27.0,2.0,12.0,1.0,32.0,Tốt
Gia Bình,2020-09-14,31.0,29.0,26.0,2.0,13.0,1.0,31.0,Tốt
