,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Hoàn Kiếm,2020-06-20,50.0,57.0,0.0,27.0,0.0,32.0,107.0,Không tốt cho người nhạy cảm
1,Hoàn Kiếm,2020-06-21,117.0,59.0,0.0,19.0,0.0,27.0,117.0,Không tốt cho người nhạy cảm
2,Hoàn Kiếm,2020-06-22,120.0,51.0,0.0,25.0,0.0,28.0,120.0,Không tốt cho người nhạy cảm
3,Hoàn Kiếm,2020-06-23,107.0,56.0,0.0,20.0,0.0,25.0,107.0,Không tốt cho người nhạy cảm
4,Hoàn Kiếm,2020-06-24,109.0,71.0,0.0,30.0,0.0,29.0,121.0,Không tốt cho người nhạy cảm
5,Hoàn Kiếm,2020-06-25,142.0,55.0,0.0,21.0,0.0,28.0,142.0,Không tốt cho người nhạy cảm
6,Hoàn Kiếm,2020-06-26,114.0,50.0,0.0,20.0,0.0,23.0,114.0,Không tốt cho người nhạy cảm
7,Hoàn Kiếm,2020-06-27,105.0,53.0,0.0,18.0,0.0,21.0,105.0,Không tốt cho người nhạy cảm
8,Hoàn Kiếm,2020-06-28,107.0,56.0,0.0,22.0,0.0,28.0,107.0,Không tốt cho người nhạy cảm
9,Hoàn Kiếm,2020-06-29,115.0,58.0,0.0,32.0,0.0,34.0,115.0,Không tốt cho người nhạy cảm
10,Hoàn Kiếm,2020-06-30,113.0,61.0,0.0,25.0,0.0,31.0,113.0,Không tốt cho người nhạy cảm
11,Hoàn Kiếm,2020-07-01,120.0,58.0,0.0,28.0,0.0,33.0,120.0,Không tốt cho người nhạy cảm
12,Hoàn Kiếm,2020-07-02,117.0,47.0,0.0,26.0,0.0,33.0,117.0,Không tốt cho người nhạy cảm
13,Hoàn Kiếm,2020-07-03,106.0,46.0,0.0,25.0,0.0,33.0,106.0,Không tốt cho người nhạy cảm
14,Hoàn Kiếm,2020-07-04,102.0,54.0,0.0,25.0,0.0,31.0,104.0,Không tốt cho người nhạy cảm
15,Hoàn Kiếm,2020-07-05,110.0,48.0,0.0,24.0,0.0,29.0,110.0,Không tốt cho người nhạy cảm
16,Hoàn Kiếm,2020-07-06,104.0,52.0,0.0,24.0,0.0,28.0,104.0,Không tốt cho người nhạy cảm
