địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Hoàng Mai,2019-12-09,84.08,155.54,0,0,0,0,155.54,Không tốt
Hoàng Mai,2019-12-10,76.91,141.14,0,0,0,0,141.14,Không tốt cho người nhạy cảm
Hoàng Mai,2019-12-11,87.31,154.31,0,0,0,0,154.31,Không tốt
Hoàng Mai,2019-12-12,91.05,159.76,0,0,0,0,159.76,Không tốt
Hoàng Mai,2019-12-13,90.08,152.91,0,0,0,0,152.91,Không tốt
Hoàng Mai,2019-12-14,105.15,195.68,0,0,0,0,195.68,Không tốt
Hoàng Mai,2019-12-15,60.37,96.48,0,0,0,0,96.48,Vừa Phải
Hoàng Mai,2019-12-16,38.02,69.76,0,0,0,0,69.76,Vừa Phải
Hoàng Mai,2019-12-17,32.61,62.85,0,0,0,0,62.85,Vừa Phải
Hoàng Mai,2019-12-18,26.41,50.85,0,0,0,0,50.85,Nguy hiểm
Hoàng Mai,2019-12-19,36.3,68.1,0,0,0,0,68.1,Vừa Phải
Hoàng Mai,2019-12-20,49.84,93.34,0,0,0,0,93.34,Vừa Phải
Hoàng Mai,2019-12-21,41.31,80.28,0,0,0,0,80.28,Vừa Phải
Hoàng Mai,2019-12-22,47.53,104.0,0,0,0,0,104.0,Không tốt cho người nhạy cảm
Hoàng Mai,2019-12-23,87.78,193.04,0,0,0,0,193.04,Không tốt
Hoàng Mai,2019-12-24,65.11,193.19,0,0,0,0,193.19,Không tốt
Hoàng Mai,2019-12-25,22.46,47.53,0,0,0,0,47.53,Tốt
Hoàng Mai,2019-12-26,19.63,36.45,0,0,0,0,36.45,Tốt
Hoàng Mai,2019-12-27,20.43,44.89,0,0,0,0,44.89,Tốt
Hoàng Mai,2019-12-28,45.06,92.87,0,0,0,0,92.87,Vừa Phải
Hoàng Mai,2019-12-29,36.58,76.61,0,0,0,0,76.61,Vừa Phải
Hoàng Mai,2019-12-30,41.82,85.03,0,0,0,0,85.03,Vừa Phải
Hoàng Mai,2019-12-31,64.71,125.01,0,0,0,0,125.01,Không tốt cho người nhạy cảm
Hoàng Mai,2020-01-01,83.13,150.8,0,0,0,0,150.8,Nguy hiểm
Hoàng Mai,2020-01-02,41.81,75.5,0,0,0,0,75.5,Vừa Phải
Hoàng Mai,2020-01-03,48.85,106.01,0,0,0,0,106.01,Không tốt cho người nhạy cảm
Hoàng Mai,2020-01-04,34.95,59.85,0,0,0,0,59.85,Vừa Phải
Hoàng Mai,2020-01-05,27.85,67.64,0,0,0,0,67.64,Vừa Phải
Hoàng Mai,2020-01-06,31.44,60.48,0,0,0,0,60.48,Vừa Phải
Hoàng Mai,2020-01-07,54.02,101.9,0,0,0,0,101.9,Không tốt cho người nhạy cảm
Hoàng Mai,2020-01-08,32.16,58.7,0,0,0,0,58.7,Vừa Phải
Hoàng Mai,2020-01-09,34.62,59.49,0,0,0,0,59.49,Vừa Phải
Hoàng Mai,2020-01-10,30.35,53.29,0,0,0,0,53.29,Vừa Phải
Hoàng Mai,2020-01-11,18.01,35.14,0,0,0,0,35.14,Tốt
