địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Hàm Yên,2021-10-10,32.7,34.25,0,0,0,0,34.25,Tốt
Hàm Yên,2021-10-11,20.1,25.53,0,0,0,0,25.53,Tốt
Hàm Yên,2021-10-12,29.43,33.07,0,0,0,0,33.07,Tốt
Hàm Yên,2021-10-13,87.55,93.4,0,0,0,0,93.4,Vừa Phải
Hàm Yên,2021-10-14,31.33,32.68,0,0,0,0,32.68,Tốt
Hàm Yên,2021-10-15,23.03,25.7,0,0,0,0,25.7,Tốt
Hàm Yên,2021-10-16,42.7,44.08,0,0,0,0,44.08,Tốt
Hàm Yên,2021-10-17,36.8,38.23,0,0,0,0,38.23,Tốt
Hàm Yên,2021-10-18,70.47,73.53,0,0,0,0,73.53,Vừa Phải
Hàm Yên,2021-10-19,101.63,119.77,0,0,0,0,119.77,Không tốt cho người nhạy cảm
Hàm Yên,2021-10-20,105.83,115.9,0,0,0,0,115.9,Không tốt cho người nhạy cảm
Hàm Yên,2021-10-21,40.8,43.03,0,0,0,0,43.03,Tốt
Hàm Yên,2021-10-22,34.22,36.12,0,0,0,0,36.12,Tốt
Hàm Yên,2021-10-23,55.93,59.25,0,0,0,0,59.25,Vừa Phải
Hàm Yên,2021-10-24,48.07,52.13,0,0,0,0,52.13,Vừa Phải
Hàm Yên,2021-10-25,53.03,58.93,0,0,0,0,58.93,Vừa Phải
Hàm Yên,2021-10-27,124.76,142.45,0,0,0,0,142.45,Không tốt cho người nhạy cảm
Hàm Yên,2021-10-28,110.67,121.3,0,0,0,0,121.3,Không tốt cho người nhạy cảm
Hàm Yên,2021-10-29,79.82,84.7,0,0,0,0,84.7,Vừa Phải
Hàm Yên,2021-10-30,37.0,38.47,0,0,0,0,38.47,Tốt
Hàm Yên,2021-10-31,56.63,60.17,0,0,0,0,60.17,Vừa Phải
Hàm Yên,2021-11-01,50.57,52.8,0,0,0,0,52.8,Vừa Phải
Hàm Yên,2021-11-02,67.23,72.35,0,0,0,0,72.35,Vừa Phải
Hàm Yên,2021-11-05,60.33,69.33,0,0,0,0,69.33,Vừa Phải
Hàm Yên,2021-11-06,163.2,182.13,0,0,0,0,182.13,Không tốt
Hàm Yên,2022-02-01,38.23,44.1,0,0,0,0,44.1,Tốt
Hàm Yên,2022-02-02,56.37,60.3,0,0,0,0,60.3,Vừa Phải
Hàm Yên,2022-02-03,30.6,35.03,0,0,0,0,35.03,Tốt
Hàm Yên,2022-02-04,50.73,54.43,0,0,0,0,54.43,Vừa Phải
Hàm Yên,2022-02-05,155.0,170.63,0,0,0,0,170.63,Không tốt
Hàm Yên,2022-02-06,89.63,97.55,0,0,0,0,97.55,Vừa Phải
Hàm Yên,2022-02-07,57.23,61.53,0,0,0,0,61.53,Vừa Phải
Hàm Yên,2022-02-08,32.27,37.0,0,0,0,0,37.0,Tốt
Hàm Yên,2022-02-09,19.78,22.77,0,0,0,0,22.77,Tốt
Hàm Yên,2022-02-10,25.73,31.08,0,0,0,0,31.08,Tốt
Hàm Yên,2022-02-11,201.1,241.33,0,0,0,0,241.33,Rất không tốt
Hàm Yên,2022-02-12,51.2,53.77,0,0,0,0,53.77,Vừa Phải
Hàm Yên,2022-02-13,54.67,58.13,0,0,0,0,58.13,Vừa Phải
Hàm Yên,2022-02-14,73.7,80.72,0,0,0,0,80.72,Vừa Phải
Hàm Yên,2022-02-15,79.1,88.58,0,0,0,0,88.58,Vừa Phải
Hàm Yên,2022-02-16,44.77,51.45,0,0,0,0,51.45,Vừa Phải
Hàm Yên,2022-02-17,57.82,62.63,0,0,0,0,62.63,Vừa Phải
Hàm Yên,2022-02-18,266.67,299.57,0,0,0,0,299.57,Rất không tốt
Hàm Yên,2022-02-19,483.63,97.0,0,0,0,0,483.63,Nguy hiểm
Hàm Yên,2022-02-20,46.77,48.1,0,0,0,0,48.1,Tốt
Hàm Yên,2022-02-21,39.2,41.57,0,0,0,0,41.57,Tốt
Hàm Yên,2022-02-22,59.3,65.2,0,0,0,0,65.2,Vừa Phải
Hàm Yên,2022-02-23,58.33,64.33,0,0,0,0,64.33,Vừa Phải
Hàm Yên,2022-02-24,61.1,68.97,0,0,0,0,68.97,Vừa Phải
Hàm Yên,2022-02-25,90.33,95.33,0,0,0,0,95.33,Vừa Phải
Hàm Yên,2022-02-26,109.3,115.7,0,0,0,0,115.7,Không tốt cho người nhạy cảm
Hàm Yên,2022-02-27,112.0,119.33,0,0,0,0,119.33,Không tốt cho người nhạy cảm
Hàm Yên,2022-02-28,128.97,141.13,0,0,0,0,141.13,Không tốt cho người nhạy cảm
Hàm Yên,2022-03-01,153.38,167.77,0,0,0,0,167.77,Không tốt
Hàm Yên,2022-03-02,100.97,108.78,0,0,0,0,108.78,Không tốt cho người nhạy cảm
Hàm Yên,2022-03-03,104.7,110.77,0,0,0,0,110.77,Không tốt cho người nhạy cảm
Hàm Yên,2022-03-04,65.27,75.68,0,0,0,0,75.68,Vừa Phải
Hàm Yên,2022-03-05,44.47,52.17,0,0,0,0,52.17,Vừa Phải
Hàm Yên,2022-03-06,44.5,49.93,0,0,0,0,49.93,Tốt
Hàm Yên,2022-03-07,118.97,134.63,0,0,0,0,134.63,Không tốt cho người nhạy cảm
Hàm Yên,2022-03-08,68.0,76.73,0,0,0,0,76.73,Vừa Phải
Hàm Yên,2022-03-09,87.17,94.63,0,0,0,0,94.63,Vừa Phải
Hàm Yên,2022-03-10,61.43,68.57,0,0,0,0,68.57,Vừa Phải
Hàm Yên,2022-03-11,44.97,53.17,0,0,0,0,53.17,Vừa Phải
Hàm Yên,2022-03-12,113.9,127.43,0,0,0,0,127.43,Không tốt cho người nhạy cảm
Hàm Yên,2022-03-13,57.4,64.65,0,0,0,0,64.65,Vừa Phải
Hàm Yên,2022-03-14,40.0,47.77,0,0,0,0,47.77,Tốt
Hàm Yên,2022-03-15,56.1,65.6,0,0,0,0,65.6,Vừa Phải
Hàm Yên,2022-03-16,76.45,86.7,0,0,0,0,86.7,Vừa Phải
Hàm Yên,2022-03-17,78.15,91.43,0,0,0,0,91.43,Vừa Phải
Hàm Yên,2022-03-18,73.7,83.37,0,0,0,0,83.37,Vừa Phải
Hàm Yên,2022-03-19,78.61,88.05,0,0,0,0,88.05,Vừa Phải
Hàm Yên,2022-03-20,92.6,109.1,0,0,0,0,109.1,Không tốt cho người nhạy cảm
Hàm Yên,2022-03-21,74.7,84.23,0,0,0,0,84.23,Vừa Phải
Hàm Yên,2022-03-22,73.43,81.7,0,0,0,0,81.7,Vừa Phải
Hàm Yên,2022-03-23,45.0,46.73,0,0,0,0,46.73,Tốt
Hàm Yên,2022-03-24,37.27,38.63,0,0,0,0,38.63,Tốt
Hàm Yên,2022-03-25,41.07,46.67,0,0,0,0,46.67,Tốt
Hàm Yên,2022-03-26,59.2,67.07,0,0,0,0,67.07,Vừa Phải
Hàm Yên,2022-03-27,202.6,211.23,0,0,0,0,211.23,Rất không tốt
Hàm Yên,2022-03-28,67.93,72.6,0,0,0,0,72.6,Vừa Phải
Hàm Yên,2022-03-29,62.17,69.5,0,0,0,0,69.5,Vừa Phải
Hàm Yên,2022-03-30,76.73,83.4,0,0,0,0,83.4,Vừa Phải
Hàm Yên,2022-03-31,27.3,32.1,0,0,0,0,32.1,Tốt
Hàm Yên,2022-04-01,36.3,39.5,0,0,0,0,39.5,Tốt
Hàm Yên,2022-04-02,73.77,79.33,0,0,0,0,79.33,Vừa Phải
Hàm Yên,2022-04-03,42.8,50.47,0,0,0,0,50.47,Nguy hiểm
Hàm Yên,2022-04-04,69.83,79.47,0,0,0,0,79.47,Vừa Phải
Hàm Yên,2022-04-05,60.8,67.9,0,0,0,0,67.9,Vừa Phải
Hàm Yên,2022-04-06,111.07,118.22,0,0,0,0,118.22,Không tốt cho người nhạy cảm
Hàm Yên,2022-04-07,73.53,81.53,0,0,0,0,81.53,Vừa Phải
Hàm Yên,2022-04-08,81.15,88.43,0,0,0,0,88.43,Vừa Phải
Hàm Yên,2022-04-09,88.03,95.75,0,0,0,0,95.75,Vừa Phải
Hàm Yên,2022-04-10,95.13,102.87,0,0,0,0,102.87,Không tốt cho người nhạy cảm
Hàm Yên,2022-04-11,128.8,142.75,0,0,0,0,142.75,Không tốt cho người nhạy cảm
Hàm Yên,2022-04-12,63.0,73.93,0,0,0,0,73.93,Vừa Phải
Hàm Yên,2022-04-13,60.58,71.0,0,0,0,0,71.0,Vừa Phải
Hàm Yên,2022-04-14,80.7,88.4,0,0,0,0,88.4,Vừa Phải
Hàm Yên,2022-04-15,68.0,74.7,0,0,0,0,74.7,Vừa Phải
Hàm Yên,2022-04-16,23.57,27.03,0,0,0,0,27.03,Tốt
Hàm Yên,2022-04-17,38.67,41.67,0,0,0,0,41.67,Tốt
Hàm Yên,2022-04-18,18.77,22.37,0,0,0,0,22.37,Tốt
Hàm Yên,2022-04-19,38.73,45.1,0,0,0,0,45.1,Tốt
Hàm Yên,2022-04-20,70.93,77.9,0,0,0,0,77.9,Vừa Phải
Hàm Yên,2022-04-21,134.03,148.43,0,0,0,0,148.43,Không tốt cho người nhạy cảm
Hàm Yên,2022-04-22,83.43,94.0,0,0,0,0,94.0,Vừa Phải
Hàm Yên,2022-04-23,41.07,48.03,0,0,0,0,48.03,Tốt
Hàm Yên,2022-04-24,62.7,71.5,0,0,0,0,71.5,Vừa Phải
Hàm Yên,2022-04-25,103.62,111.67,0,0,0,0,111.67,Không tốt cho người nhạy cảm
Hàm Yên,2022-04-26,76.2,85.6,0,0,0,0,85.6,Vừa Phải
Hàm Yên,2022-04-27,64.8,73.02,0,0,0,0,73.02,Vừa Phải
Hàm Yên,2022-04-28,54.6,62.03,0,0,0,0,62.03,Vừa Phải
Hàm Yên,2022-04-29,68.2,78.8,0,0,0,0,78.8,Vừa Phải
Hàm Yên,2022-04-30,34.87,47.13,0,0,0,0,47.13,Tốt
Hàm Yên,2022-05-01,14.1,15.77,0,0,0,0,15.77,Tốt
Hàm Yên,2022-05-02,69.57,72.65,0,0,0,0,72.65,Vừa Phải
Hàm Yên,2022-05-03,46.4,50.57,0,0,0,0,50.57,Nguy hiểm
Hàm Yên,2022-05-04,51.63,56.9,0,0,0,0,56.9,Vừa Phải
Hàm Yên,2022-05-05,66.37,77.53,0,0,0,0,77.53,Vừa Phải
