date,pm25,pm10,o3,no2,so2,co
27/12/2021,0,10,0,2,16,5
28/12/2021,4,8,0,3,16,5
29/12/2021,2,9,0,3,23,5
30/12/2021,3,8,0,4,16,5
31/12/2021,3,11,0,3,33,6
1/01/2022,4,8,0,3,20,6
2/01/2022,4,13,0,4,33,6
3/01/2022,6,7,0,7,16,7
4/01/2022,5,19,0,4,22,7
5/01/2022,9,10,0,6,13,8
6/01/2022,7,21,31,4,2,4
7/01/2022,10,20,21,6,3,4
8/01/2022,7,21,26,4,3,4
9/01/2022,7,20,27,5,3,4
10/01/2022,7,21,26,5,3,4
11/01/2022,8,158,500,95,63,128
12/01/2022,127,221,224,90,59,126
13/01/2022,196,20,30,7,3,5
14/01/2022,7,26,38,7,3,5
15/01/2022,12,22,35,6,3,4
16/01/2022,9,24,26,8,3,6
17/01/2022,13,20,27,8,3,5
18/01/2022,10,19,24,4,3,3
19/01/2022,7,21,24,7,3,5
20/01/2022,8,22,39,6,3,5
21/01/2022,10,19,36,5,3,5
22/01/2022,8,20,27,6,3,4
23/01/2022,8,18,30,7,3,5
24/01/2022,7,17,25,5,3,4
25/01/2022,6,17,29,4,3,4
26/01/2022,7,22,29,6,3,5
27/01/2022,12,19,27,6,3,5
28/01/2022,8,21,28,6,3,6
29/01/2022,8,19,15,2,2,4
30/01/2022,9,0,0,0,0,0
2/02/2022,0,17,31,3,3,4
3/02/2022,6,18,29,3,4,3
4/02/2022,8,16,22,3,4,3
5/02/2022,5,14,27,2,6,3
6/02/2022,4,11,17,3,5,4
7/02/2022,2,10,20,3,6,3
8/02/2022,1,14,24,4,6,3
9/02/2022,4,14,22,3,8,4
10/02/2022,4,17,28,2,8,3
11/02/2022,7,15,24,3,9,4
12/02/2022,5,20,26,4,15,4
13/02/2022,6,16,15,5,42,8
14/02/2022,6,14,27,3,28,3
15/02/2022,4,12,18,5,38,7
16/02/2022,3,16,26,4,24,4
17/02/2022,6,17,36,6,23,4
18/02/2022,7,14,25,4,24,3
19/02/2022,4,12,22,5,38,6
20/02/2022,4,14,29,3,31,4
21/02/2022,5,10,18,3,43,7
22/02/2022,3,12,23,3,33,4
23/02/2022,3,10,22,2,31,3
24/02/2022,1,9,23,2,32,2
25/02/2022,1,12,25,3,31,3
26/02/2022,3,11,26,3,32,2
27/02/2022,2,15,24,4,31,3
28/02/2022,3,17,32,4,33,3
1/03/2022,6,16,24,4,44,6
2/03/2022,6,13,27,3,34,3
3/03/2022,4,18,29,3,33,3
4/03/2022,7,15,28,2,34,3
5/03/2022,5,15,24,3,33,2
6/03/2022,5,16,24,4,34,3
