date, pm25, pm10, o3, no2, so2, co
2014-08-02, ,18,8, ,12,8
2014-08-03, ,28,90, ,11,21
2014-08-04, ,23,85, ,28,22
2014-08-05, ,22,42, ,23,21
2014-08-06, ,20,42, ,23,22
2014-08-07, ,16,15, ,23,26
2014-08-08, ,27,72, ,22,28
2014-08-09, ,24,49, ,21,24
2014-08-10, ,20,29, ,16,21
2014-08-11, ,19,21,8,16,20
2014-08-12,49,22,24,16,16,20
2014-08-13,53,18,26,17,17,31
2014-08-14,55,23,37,37,19,26
2014-08-15,44,15,30,14,24,63
2014-08-16,44,15,7, ,18,12
2014-08-17, , , ,7, , 
2014-08-18,46,20,17,16,16,8
2014-08-19,51,22,26,21,18,24
2014-08-20,38,14,24,17,23,27
2014-08-21,61,26,23,16,19,30
2014-08-22,56,23,25,16,18,28
2014-08-23,49,19,21,64,18,27
2014-08-24,49,17,28,118,20,39
2014-08-25,47,19,24,117,18,24
2014-08-26,58,29,16,13,18,26
2014-08-27,46,20,26,8,18,25
2014-08-28,28,12,23,12,19,20
2014-08-29,41,17,22,12,18,28
2014-08-30,46,20,25,12,19,25
2014-08-31,55,22,19,8,20,32
2014-09-01,29,9,17,8,18,28
2014-09-02,35,13,29,16,18,23
2014-09-03,42,17,28,119,18,23
2014-09-04,41,16,27,14,19,29
2014-09-05,31,13,27,62,18,26
2014-09-06,50,22,43,18,19,27
2014-09-07,69,31,44,104,19,23
2014-09-08,62,29,33,20,18,26
2014-09-09,64,28,31,17,18,25
2014-09-10,46,20,27,9,18,27
2014-09-11,42,20,28,12,18,26
2014-09-12,40,20,28,14,18,28
2014-09-13,59,25,33,62,18,22
2014-09-14,60,27,29,24,18,24
2014-09-15,61,29,37,17,18,24
2014-09-16,64,28,26,9,19,22
2014-09-17,41,14,27,12,19,20
2014-09-18,48,18,27,21,19,25
2014-09-19,54,22,26,16,26,24
2014-09-20,63,27,24,101,20,24
2014-09-21,64,26,27, ,20,32
2014-09-23,86,45,39,29,17,10
2014-09-24,102,51,55,29,20,31
2014-09-25,117,54,56,33,21,27
2014-09-26,114,50,43,29,19,27
2014-09-27,87,40,32,21,19,25
2014-09-28,68,29,30,17,19,24
2014-09-29,52,22,22,21,19,23
2014-09-30,59,27,28,23,19,23
2014-10-01,61,29,31,31,19,25
2014-10-02,84,39,44,28,19,25
2014-10-03,79,38,42,27,19,25
2014-10-04,85,39,37,30,19,24
2014-10-05,88,45,37,30,20,24
2014-10-06,117,85,55,42,23,27
2014-10-07,140,75,65,40,22,27
2014-10-08,148,73,68,38,23,28
2014-10-09,152,71,64,45,22,28
2014-10-10,137,70,57,42,22,27
2014-10-11,133,69,50,41,22,27
2014-10-12,126,72,52,41,22,27
2014-10-13,134,77,54,46,22,28
2014-10-14,149,80,55,47,24,30
2014-10-15,157,69,60,42,22,30
2014-10-16,149,69,52,49,21,29
2014-10-17,143,61,51,44,22,27
2014-10-18,125,52,39,39,21,26
2014-10-19,107,41,24,32,21,26
2014-10-20,83,33,24,28,23,26
