địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Hải Hà,14/02/2021,0.0,3.0,32.0,2.0,1.0,1.0,32.0,Tốt
Hải Hà,15/02/2021,6.0,3.0,38.0,2.0,1.0,1.0,38.0,Tốt
Hải Hà,16/02/2021,7.0,4.0,36.0,3.0,1.0,2.0,36.0,Tốt
Hải Hà,17/02/2021,7.0,7.0,30.0,4.0,1.0,4.0,30.0,Tốt
Hải Hà,18/02/2021,12.0,9.0,47.0,3.0,1.0,3.0,47.0,Tốt
Hải Hà,19/02/2021,15.0,13.0,43.0,3.0,1.0,2.0,43.0,Tốt
Hải Hà,20/02/2021,21.0,9.0,45.0,2.0,1.0,2.0,45.0,Tốt
Hải Hà,21/02/2021,14.0,7.0,38.0,2.0,1.0,2.0,38.0,Tốt
Hải Hà,22/02/2021,12.0,8.0,30.0,4.0,1.0,2.0,30.0,Tốt
Hải Hà,23/02/2021,14.0,6.0,31.0,3.0,1.0,1.0,31.0,Tốt
Hải Hà,24/02/2021,9.0,6.0,25.0,4.0,1.0,2.0,25.0,Tốt
Hải Hà,25/02/2021,10.0,6.0,24.0,3.0,1.0,1.0,24.0,Tốt
Hải Hà,26/02/2021,10.0,3.0,11.0,3.0,1.0,2.0,11.0,Tốt
Hải Hà,27/02/2021,5.0,5.0,10.0,5.0,1.0,3.0,10.0,Tốt
Hải Hà,28/02/2021,9.0,8.0,23.0,4.0,1.0,3.0,23.0,Tốt
Hải Hà,01/03/2021,13.0,2.0,22.0,3.0,1.0,4.0,22.0,Tốt
Hải Hà,02/03/2021,4.0,2.0,18.0,3.0,1.0,4.0,18.0,Tốt
Hải Hà,03/03/2021,5.0,1.0,13.0,4.0,1.0,4.0,13.0,Tốt
Hải Hà,04/03/2021,2.0,3.0,15.0,6.0,1.0,5.0,15.0,Tốt
Hải Hà,05/03/2021,5.0,7.0,22.0,4.0,1.0,3.0,22.0,Tốt
Hải Hà,06/03/2021,9.0,6.0,28.0,3.0,1.0,4.0,28.0,Tốt
Hải Hà,07/03/2021,8.0,11.0,25.0,5.0,1.0,4.0,25.0,Tốt
Hải Hà,08/03/2021,13.0,17.0,33.0,2.0,1.0,3.0,33.0,Tốt
Hải Hà,09/03/2021,18.0,15.0,30.0,3.0,1.0,3.0,30.0,Tốt
Hải Hà,10/03/2021,17.0,19.0,23.0,3.0,1.0,2.0,23.0,Tốt
Hải Hà,11/03/2021,18.0,0.0,0.0,0.0,0.0,0.0,18.0,Tốt
Hải Hà,12/03/2021,0.0,13.0,34.0,2.0,1.0,3.0,34.0,Tốt
Hải Hà,13/03/2021,15.0,13.0,35.0,3.0,1.0,5.0,35.0,Tốt
Hải Hà,14/03/2021,13.0,15.0,30.0,3.0,1.0,3.0,30.0,Tốt
Hải Hà,15/03/2021,15.0,14.0,32.0,3.0,1.0,4.0,32.0,Tốt
Hải Hà,16/03/2021,14.0,3.0,30.0,3.0,1.0,4.0,30.0,Tốt
Hải Hà,17/03/2021,6.0,1.0,27.0,4.0,1.0,3.0,27.0,Tốt
Hải Hà,18/03/2021,0.0,0.0,23.0,4.0,1.0,2.0,23.0,Tốt
Hải Hà,19/03/2021,0.0,0.0,18.0,5.0,1.0,2.0,18.0,Tốt
Hải Hà,20/03/2021,0.0,0.0,20.0,3.0,1.0,6.0,20.0,Tốt
Hải Hà,21/03/2021,0.0,0.0,24.0,2.0,1.0,5.0,24.0,Tốt
Hải Hà,28/03/2021,0.0,1.0,16.0,4.0,1.0,4.0,16.0,Tốt
Hải Hà,29/03/2021,0.0,1.0,17.0,6.0,1.0,4.0,17.0,Tốt
Hải Hà,30/03/2021,0.0,1.0,21.0,7.0,1.0,4.0,21.0,Tốt
Hải Hà,31/03/2021,0.0,1.0,23.0,5.0,2.0,4.0,23.0,Tốt
Hải Hà,01/04/2021,0.0,1.0,25.0,4.0,2.0,4.0,25.0,Tốt
Hải Hà,02/04/2021,0.0,1.0,8.0,4.0,1.0,4.0,8.0,Tốt
Hải Hà,03/04/2021,0.0,1.0,9.0,2.0,1.0,5.0,9.0,Tốt
Hải Hà,04/04/2021,0.0,1.0,9.0,2.0,1.0,5.0,9.0,Tốt
Hải Hà,05/04/2021,0.0,1.0,24.0,1.0,1.0,5.0,24.0,Tốt
Hải Hà,06/04/2021,0.0,1.0,23.0,2.0,1.0,5.0,23.0,Tốt
Hải Hà,08/04/2021,17.0,16.0,24.0,3.0,1.0,4.0,24.0,Tốt
Hải Hà,09/04/2021,15.0,14.0,18.0,4.0,1.0,4.0,18.0,Tốt
Hải Hà,10/04/2021,40.0,33.0,24.0,4.0,1.0,5.0,40.0,Tốt
Hải Hà,11/04/2021,33.0,31.0,26.0,6.0,1.0,4.0,33.0,Tốt
Hải Hà,12/04/2021,34.0,31.0,28.0,3.0,1.0,4.0,34.0,Tốt
Hải Hà,13/04/2021,31.0,30.0,26.0,4.0,1.0,3.0,31.0,Tốt
Hải Hà,14/04/2021,29.0,30.0,21.0,5.0,1.0,9.0,30.0,Tốt
Hải Hà,15/04/2021,27.0,28.0,22.0,5.0,1.0,9.0,28.0,Tốt
Hải Hà,16/04/2021,25.0,28.0,30.0,4.0,1.0,9.0,30.0,Tốt
Hải Hà,17/04/2021,16.0,16.0,11.0,4.0,1.0,13.0,16.0,Tốt
Hải Hà,18/04/2021,10.0,10.0,20.0,4.0,1.0,14.0,20.0,Tốt
Hải Hà,19/04/2021,20.0,18.0,22.0,4.0,1.0,14.0,22.0,Tốt
Hải Hà,20/04/2021,46.0,45.0,28.0,4.0,1.0,11.0,46.0,Tốt
Hải Hà,21/04/2021,31.0,31.0,24.0,3.0,1.0,11.0,31.0,Tốt
Hải Hà,22/04/2021,28.0,34.0,21.0,3.0,4.0,12.0,34.0,Tốt
Hải Hà,05/05/2021,10.0,14.0,11.0,3.0,1.0,17.0,17.0,Tốt
Hải Hà,06/05/2021,18.0,24.0,39.0,3.0,1.0,19.0,39.0,Tốt
Hải Hà,07/05/2021,19.0,20.0,17.0,4.0,1.0,18.0,20.0,Tốt
Hải Hà,08/05/2021,20.0,25.0,17.0,5.0,1.0,19.0,25.0,Tốt
Hải Hà,09/05/2021,20.0,24.0,15.0,3.0,1.0,16.0,24.0,Tốt
Hải Hà,10/05/2021,26.0,26.0,17.0,3.0,1.0,15.0,26.0,Tốt
Hải Hà,11/05/2021,32.0,33.0,20.0,4.0,1.0,14.0,33.0,Tốt
Hải Hà,12/05/2021,31.0,31.0,18.0,3.0,1.0,14.0,31.0,Tốt
Hải Hà,13/05/2021,15.0,15.0,26.0,3.0,1.0,14.0,26.0,Tốt
Hải Hà,14/05/2021,15.0,15.0,13.0,3.0,1.0,13.0,15.0,Tốt
Hải Hà,15/05/2021,19.0,19.0,12.0,3.0,1.0,13.0,19.0,Tốt
Hải Hà,16/05/2021,26.0,25.0,15.0,3.0,1.0,13.0,26.0,Tốt
Hải Hà,17/05/2021,21.0,21.0,13.0,5.0,2.0,13.0,21.0,Tốt
Hải Hà,18/05/2021,14.0,16.0,13.0,2.0,1.0,12.0,16.0,Tốt
Hải Hà,19/05/2021,22.0,21.0,16.0,3.0,1.0,12.0,22.0,Tốt
Hải Hà,20/05/2021,29.0,27.0,26.0,3.0,1.0,12.0,29.0,Tốt
Hải Hà,21/05/2021,26.0,25.0,20.0,3.0,1.0,12.0,26.0,Tốt
Hải Hà,22/05/2021,23.0,23.0,22.0,2.0,1.0,12.0,23.0,Tốt
Hải Hà,23/05/2021,23.0,22.0,14.0,4.0,1.0,12.0,23.0,Tốt
Hải Hà,24/05/2021,7.0,7.0,22.0,2.0,1.0,12.0,22.0,Tốt
Hải Hà,25/05/2021,11.0,11.0,29.0,2.0,1.0,13.0,29.0,Tốt
Hải Hà,26/05/2021,15.0,14.0,22.0,3.0,1.0,12.0,22.0,Tốt
Hải Hà,27/05/2021,13.0,15.0,21.0,3.0,1.0,11.0,21.0,Tốt
Hải Hà,28/05/2021,13.0,16.0,19.0,3.0,1.0,12.0,19.0,Tốt
Hải Hà,29/05/2021,17.0,19.0,21.0,3.0,1.0,12.0,21.0,Tốt
Hải Hà,30/05/2021,23.0,26.0,30.0,5.0,1.0,12.0,30.0,Tốt
Hải Hà,31/05/2021,20.0,23.0,32.0,3.0,1.0,13.0,32.0,Tốt
Hải Hà,01/06/2021,23.0,25.0,34.0,3.0,1.0,13.0,34.0,Tốt
Hải Hà,02/06/2021,29.0,29.0,32.0,2.0,1.0,12.0,32.0,Tốt
Hải Hà,03/06/2021,26.0,28.0,24.0,4.0,1.0,12.0,28.0,Tốt
Hải Hà,04/06/2021,7.0,9.0,23.0,2.0,1.0,12.0,23.0,Tốt
Hải Hà,05/06/2021,14.0,20.0,41.0,3.0,1.0,14.0,41.0,Tốt
Hải Hà,06/06/2021,21.0,25.0,76.0,3.0,2.0,12.0,76.0,Vừa Phải
Hải Hà,07/06/2021,21.0,24.0,50.0,3.0,1.0,12.0,50.0,Tốt
Hải Hà,08/06/2021,21.0,22.0,38.0,2.0,1.0,12.0,38.0,Tốt
Hải Hà,09/06/2021,11.0,11.0,25.0,2.0,1.0,11.0,25.0,Tốt
Hải Hà,10/06/2021,9.0,9.0,25.0,2.0,1.0,11.0,25.0,Tốt
Hải Hà,11/06/2021,11.0,11.0,28.0,2.0,1.0,12.0,28.0,Tốt
Hải Hà,12/06/2021,11.0,11.0,27.0,1.0,1.0,11.0,27.0,Tốt
Hải Hà,13/06/2021,14.0,13.0,24.0,1.0,1.0,11.0,24.0,Tốt
Hải Hà,14/06/2021,13.0,13.0,23.0,1.0,1.0,11.0,23.0,Tốt
Hải Hà,15/06/2021,18.0,20.0,23.0,2.0,1.0,11.0,23.0,Tốt
