địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Hữu Lũng,2021-12-27,0.0,59.0,10.0,0.0,0.0,4.0,59.0,Vừa Phải
Hữu Lũng,2021-12-28,55.0,57.0,15.0,0.0,0.0,3.0,57.0,Vừa Phải
Hữu Lũng,2021-12-29,49.0,66.0,21.0,0.0,0.0,3.0,66.0,Vừa Phải
Hữu Lũng,2021-12-30,48.0,93.0,15.0,0.0,0.0,3.0,93.0,Vừa Phải
Hữu Lũng,2021-12-31,78.0,90.0,19.0,0.0,0.0,4.0,90.0,Vừa Phải
Hữu Lũng,2022-01-01,92.0,103.0,18.0,0.0,0.0,3.0,103.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-01-02,81.0,217.0,22.0,0.0,0.0,5.0,217.0,Rất không tốt
Hữu Lũng,2022-01-03,166.0,193.0,19.0,0.0,0.0,6.0,193.0,Không tốt
Hữu Lũng,2022-01-04,176.0,147.0,8.0,0.0,0.0,5.0,176.0,Không tốt
Hữu Lũng,2022-01-05,147.0,140.0,10.0,0.0,0.0,5.0,147.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-01-06,138.0,68.0,15.0,0.0,0.0,3.0,138.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-01-07,75.0,78.0,24.0,0.0,0.0,4.0,78.0,Vừa Phải
Hữu Lũng,2022-01-08,106.0,55.0,13.0,0.0,0.0,4.0,106.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-01-09,45.0,28.0,11.0,0.0,0.0,4.0,45.0,Tốt
Hữu Lũng,2022-01-10,31.0,86.0,24.0,0.0,0.0,3.0,86.0,Vừa Phải
Hữu Lũng,2022-01-11,57.0,119.0,21.0,0.0,0.0,4.0,119.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-01-12,99.0,74.0,20.0,0.0,0.0,4.0,99.0,Vừa Phải
Hữu Lũng,2022-01-13,76.0,75.0,14.0,0.0,0.0,4.0,76.0,Vừa Phải
Hữu Lũng,2022-01-14,109.0,173.0,13.0,0.0,0.0,6.0,173.0,Không tốt
Hữu Lũng,2022-01-15,162.0,138.0,10.0,0.0,0.0,4.0,162.0,Không tốt
Hữu Lũng,2022-01-16,131.0,5.0,18.0,0.0,0.0,4.0,131.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-01-17,8.0,6.0,26.0,0.0,0.0,5.0,26.0,Tốt
Hữu Lũng,2022-01-18,8.0,8.0,26.0,0.0,0.0,4.0,26.0,Tốt
Hữu Lũng,2022-01-19,7.0,27.0,16.0,0.0,0.0,4.0,27.0,Tốt
Hữu Lũng,2022-01-20,35.0,50.0,5.0,0.0,0.0,4.0,50.0,Tốt
Hữu Lũng,2022-01-21,75.0,23.0,4.0,0.0,0.0,4.0,75.0,Vừa Phải
Hữu Lũng,2022-01-22,38.0,61.0,7.0,0.0,0.0,4.0,61.0,Vừa Phải
Hữu Lũng,2022-01-23,78.0,115.0,9.0,0.0,0.0,4.0,115.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-01-24,117.0,56.0,8.0,0.0,0.0,3.0,117.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-01-25,64.0,84.0,10.0,0.0,0.0,4.0,84.0,Vừa Phải
Hữu Lũng,2022-01-26,98.0,39.0,14.0,0.0,0.0,2.0,98.0,Vừa Phải
Hữu Lũng,2022-01-27,50.0,35.0,20.0,0.0,0.0,2.0,50.0,Tốt
Hữu Lũng,2022-01-28,47.0,10.0,14.0,0.0,0.0,4.0,47.0,Tốt
Hữu Lũng,2022-01-29,15.0,9.0,20.0,0.0,0.0,4.0,20.0,Tốt
Hữu Lũng,2022-01-30,13.0,8.0,21.0,0.0,0.0,4.0,21.0,Tốt
Hữu Lũng,2022-01-31,13.0,11.0,20.0,0.0,0.0,3.0,20.0,Tốt
Hữu Lũng,2022-02-01,19.0,6.0,20.0,0.0,0.0,3.0,20.0,Tốt
Hữu Lũng,2022-02-02,8.0,11.0,25.0,0.0,0.0,3.0,25.0,Tốt
Hữu Lũng,2022-02-03,14.0,24.0,26.0,0.0,0.0,3.0,26.0,Tốt
Hữu Lũng,2022-02-04,31.0,36.0,32.0,0.0,0.0,3.0,36.0,Tốt
Hữu Lũng,2022-02-05,57.0,38.0,10.0,0.0,0.0,3.0,57.0,Vừa Phải
Hữu Lũng,2022-02-06,73.0,19.0,7.0,0.0,0.0,3.0,73.0,Vừa Phải
Hữu Lũng,2022-02-07,34.0,7.0,13.0,0.0,0.0,3.0,34.0,Tốt
Hữu Lũng,2022-02-08,11.0,5.0,14.0,0.0,0.0,3.0,14.0,Tốt
Hữu Lũng,2022-02-09,6.0,22.0,6.0,0.0,0.0,3.0,22.0,Tốt
Hữu Lũng,2022-02-10,28.0,14.0,4.0,0.0,0.0,3.0,28.0,Tốt
Hữu Lũng,2022-02-11,24.0,23.0,4.0,0.0,0.0,4.0,24.0,Tốt
Hữu Lũng,2022-02-12,38.0,6.0,17.0,0.0,0.0,3.0,38.0,Tốt
Hữu Lũng,2022-02-13,9.0,45.0,26.0,0.0,0.0,4.0,45.0,Tốt
Hữu Lũng,2022-02-14,54.0,51.0,16.0,0.0,0.0,3.0,54.0,Vừa Phải
Hữu Lũng,2022-02-15,47.0,12.0,9.0,0.0,0.0,3.0,47.0,Tốt
Hữu Lũng,2022-02-16,21.0,22.0,8.0,0.0,0.0,4.0,22.0,Tốt
Hữu Lũng,2022-02-17,39.0,12.0,7.0,0.0,0.0,2.0,39.0,Tốt
Hữu Lũng,2022-02-18,19.0,2.0,21.0,0.0,0.0,3.0,21.0,Tốt
Hữu Lũng,2022-02-19,3.0,7.0,25.0,0.0,0.0,3.0,25.0,Tốt
Hữu Lũng,2022-02-20,12.0,6.0,27.0,0.0,0.0,3.0,27.0,Tốt
Hữu Lũng,2022-02-21,9.0,9.0,29.0,0.0,0.0,2.0,29.0,Tốt
Hữu Lũng,2022-02-22,10.0,32.0,33.0,0.0,0.0,3.0,33.0,Tốt
Hữu Lũng,2022-02-23,27.0,78.0,34.0,0.0,0.0,4.0,78.0,Vừa Phải
Hữu Lũng,2022-02-24,87.0,116.0,37.0,0.0,0.0,5.0,116.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-02-25,133.0,107.0,34.0,0.0,0.0,5.0,133.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-02-26,145.0,146.0,35.0,0.0,0.0,5.0,146.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-02-27,175.0,49.0,35.0,0.0,0.0,5.0,175.0,Không tốt
Hữu Lũng,2022-02-28,58.0,8.0,11.0,0.0,0.0,5.0,58.0,Vừa Phải
Hữu Lũng,2022-03-01,8.0,9.0,14.0,0.0,0.0,4.0,14.0,Tốt
Hữu Lũng,2022-03-02,10.0,6.0,12.0,0.0,0.0,4.0,12.0,Tốt
Hữu Lũng,2022-03-03,8.0,0.0,12.0,0.0,0.0,3.0,12.0,Tốt
Hữu Lũng,2022-03-04,0.0,0.0,7.0,0.0,0.0,2.0,7.0,Tốt
Hữu Lũng,2022-03-05,1.0,0.0,7.0,0.0,0.0,1.0,7.0,Tốt
Hữu Lũng,2022-03-06,1.0,1.0,16.0,0.0,0.0,3.0,16.0,Tốt
Hữu Lũng,2022-03-07,1.0,1.0,38.0,0.0,0.0,3.0,38.0,Tốt
Hữu Lũng,2022-03-08,1.0,1.0,28.0,0.0,0.0,3.0,28.0,Tốt
Hữu Lũng,2022-03-09,2.0,0.0,26.0,0.0,0.0,2.0,26.0,Tốt
Hữu Lũng,2022-03-10,0.0,0.0,15.0,0.0,0.0,2.0,15.0,Tốt
Hữu Lũng,2022-03-11,0.0,2.0,12.0,0.0,0.0,3.0,12.0,Tốt
Hữu Lũng,2022-03-12,3.0,0.0,9.0,0.0,0.0,2.0,9.0,Tốt
Hữu Lũng,2022-03-13,0.0,1.0,11.0,0.0,0.0,2.0,11.0,Tốt
Hữu Lũng,2022-03-14,1.0,1.0,12.0,0.0,0.0,3.0,12.0,Tốt
Hữu Lũng,2022-03-15,1.0,1.0,8.0,0.0,0.0,3.0,8.0,Tốt
Hữu Lũng,2022-03-16,1.0,3.0,8.0,0.0,0.0,2.0,8.0,Tốt
Hữu Lũng,2022-03-17,4.0,5.0,10.0,0.0,0.0,3.0,10.0,Tốt
Hữu Lũng,2022-03-18,7.0,2.0,8.0,0.0,0.0,3.0,8.0,Tốt
Hữu Lũng,2022-03-19,3.0,1.0,8.0,0.0,0.0,2.0,8.0,Tốt
Hữu Lũng,2022-03-20,2.0,0.0,9.0,0.0,0.0,3.0,9.0,Tốt
Hữu Lũng,2022-03-21,0.0,2.0,12.0,0.0,0.0,4.0,12.0,Tốt
Hữu Lũng,2022-03-22,3.0,0.0,9.0,0.0,0.0,2.0,9.0,Tốt
Hữu Lũng,2022-03-23,0.0,33.0,8.0,0.0,0.0,2.0,33.0,Tốt
Hữu Lũng,2022-03-24,43.0,56.0,10.0,0.0,0.0,4.0,56.0,Vừa Phải
Hữu Lũng,2022-03-25,73.0,127.0,15.0,0.0,0.0,4.0,127.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-03-26,112.0,55.0,13.0,0.0,0.0,2.0,112.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-03-27,47.0,112.0,13.0,0.0,0.0,3.0,112.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-03-28,79.0,108.0,9.0,0.0,0.0,4.0,108.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-03-29,124.0,43.0,9.0,0.0,0.0,4.0,124.0,Không tốt cho người nhạy cảm
Hữu Lũng,2022-03-30,58.0,79.0,10.0,0.0,0.0,2.0,79.0,Vừa Phải
