địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Kinh Môn,2022-01-03,0.0,9.0,10.0,9.0,2.0,0.0,10.0,Tốt
Kinh Môn,2022-01-04,10.0,8.0,12.0,8.0,1.0,0.0,12.0,Tốt
Kinh Môn,2022-01-05,9.0,6.0,9.0,10.0,2.0,0.0,10.0,Tốt
Kinh Môn,2022-01-06,6.0,12.0,12.0,14.0,1.0,0.0,14.0,Tốt
Kinh Môn,2022-01-07,12.0,20.0,15.0,12.0,1.0,0.0,20.0,Tốt
Kinh Môn,2022-01-08,28.0,23.0,11.0,7.0,1.0,0.0,28.0,Tốt
Kinh Môn,2022-01-09,36.0,23.0,9.0,6.0,1.0,0.0,36.0,Tốt
Kinh Môn,2022-01-10,39.0,15.0,12.0,5.0,2.0,0.0,39.0,Tốt
Kinh Môn,2022-01-11,15.0,27.0,14.0,9.0,3.0,0.0,27.0,Tốt
Kinh Môn,2022-01-12,29.0,23.0,25.0,0.0,1.0,0.0,29.0,Tốt
Kinh Môn,2022-01-13,35.0,28.0,40.0,0.0,2.0,0.0,40.0,Tốt
Kinh Môn,2022-01-14,48.0,36.0,0.0,0.0,1.0,0.0,48.0,Tốt
Kinh Môn,2022-01-15,66.0,17.0,0.0,0.0,1.0,0.0,66.0,Vừa Phải
Kinh Môn,2022-01-16,30.0,5.0,8.0,4.0,1.0,0.0,30.0,Tốt
Kinh Môn,2022-01-17,6.0,7.0,9.0,4.0,2.0,0.0,9.0,Tốt
Kinh Môn,2022-01-18,7.0,8.0,9.0,8.0,1.0,0.0,9.0,Tốt
Kinh Môn,2022-01-19,7.0,13.0,6.0,9.0,1.0,0.0,13.0,Tốt
Kinh Môn,2022-01-20,17.0,16.0,5.0,9.0,1.0,0.0,17.0,Tốt
Kinh Môn,2022-01-21,28.0,11.0,7.0,11.0,1.0,0.0,28.0,Tốt
Kinh Môn,2022-01-22,13.0,33.0,11.0,7.0,0.0,0.0,33.0,Tốt
Kinh Môn,2022-01-23,37.0,37.0,9.0,6.0,1.0,0.0,37.0,Tốt
