địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Long Biên,2014-01-01,50.0,124,22,40,6,28,124.0,Không tốt cho người nhạy cảm
Long Biên,2014-01-02,236.0,144,69,39,8,43,236.0,Rất không tốt
Long Biên,2014-01-03,277.0,151,24,25,12,28,277.0,Rất không tốt
Long Biên,2014-01-04,303.0,0,0,0,0,0,303.0,Nguy hiểm
Long Biên,2014-01-05,50.0,115,65,35,5,33,115.0,Không tốt cho người nhạy cảm
Long Biên,2014-01-06,238.0,85,46,30,3,27,238.0,Rất không tốt
Long Biên,2014-01-07,217.0,80,20,28,10,27,217.0,Rất không tốt
Long Biên,2014-01-08,213.0,75,29,23,7,22,213.0,Rất không tốt
Long Biên,2014-01-09,215.0,103,21,32,12,32,215.0,Rất không tốt
Long Biên,2014-01-10,239.0,115,17,20,6,25,239.0,Rất không tốt
Long Biên,2014-01-11,256.0,69,19,17,5,20,256.0,Rất không tốt
Long Biên,2014-01-12,200.0,59,32,17,6,17,200.0,Không tốt
Long Biên,2014-01-13,183.0,77,93,27,9,21,183.0,Không tốt
Long Biên,2014-01-14,212.0,85,96,35,11,22,212.0,Rất không tốt
Long Biên,2014-01-15,221.0,90,104,37,10,23,221.0,Rất không tốt
Long Biên,2014-01-16,229.0,100,54,29,6,28,229.0,Rất không tốt
Long Biên,2014-01-17,241.0,102,65,36,9,31,241.0,Rất không tốt
Long Biên,2014-01-18,244.0,102,66,35,16,28,244.0,Rất không tốt
Long Biên,2014-01-19,249.0,0,0,0,0,0,249.0,Rất không tốt
Long Biên,2014-01-20,50.0,100,0,57,22,39,100.0,Vừa Phải
Long Biên,2014-01-21,229.0,91,55,41,13,28,229.0,Rất không tốt
Long Biên,2014-01-22,230.0,108,33,47,10,30,230.0,Rất không tốt
Long Biên,2014-01-23,233.0,94,35,34,2,24,233.0,Rất không tốt
Long Biên,2014-01-24,216.0,101,19,31,3,26,216.0,Rất không tốt
Long Biên,2014-01-25,233.0,97,17,29,5,26,233.0,Rất không tốt
Long Biên,2014-01-26,231.0,85,23,34,4,29,231.0,Rất không tốt
Long Biên,2014-01-27,217.0,65,23,29,3,24,217.0,Rất không tốt
Long Biên,2014-01-28,203.0,69,18,28,3,25,203.0,Rất không tốt
Long Biên,2014-01-29,204.0,76,27,22,3,23,204.0,Rất không tốt
Long Biên,2014-01-30,214.0,61,34,15,2,16,214.0,Rất không tốt
Long Biên,2014-01-31,184.0,38,21,16,2,13,184.0,Không tốt
Long Biên,2014-02-01,151.0,39,20,18,2,14,151.0,Không tốt
Long Biên,2014-02-02,151.0,37,20,20,2,14,151.0,Không tốt
Long Biên,2014-02-03,144.0,33,23,17,2,13,144.0,Không tốt cho người nhạy cảm
Long Biên,2014-02-04,134.0,31,17,15,2,14,134.0,Không tốt cho người nhạy cảm
Long Biên,2014-02-05,134.0,37,19,17,2,18,134.0,Không tốt cho người nhạy cảm
Long Biên,2014-02-06,149.0,29,15,17,2,20,149.0,Không tốt cho người nhạy cảm
Long Biên,2014-02-07,131.0,43,10,16,2,19,131.0,Không tốt cho người nhạy cảm
Long Biên,2014-02-08,170.0,46,12,14,2,17,170.0,Không tốt
Long Biên,2014-02-09,175.0,47,19,15,1,15,175.0,Không tốt
Long Biên,2014-02-10,177.0,62,23,14,1,14,177.0,Không tốt
Long Biên,2014-02-11,209.0,86,14,27,1,23,209.0,Rất không tốt
Long Biên,2014-02-12,233.0,62,25,18,4,16,233.0,Rất không tốt
Long Biên,2014-02-13,204.0,76,29,27,7,18,204.0,Rất không tốt
Long Biên,2014-02-14,218.0,96,18,37,8,24,218.0,Rất không tốt
Long Biên,2014-02-15,237.0,107,20,24,3,21,237.0,Rất không tốt
Long Biên,2014-02-16,259.0,84,13,26,1,31,259.0,Rất không tốt
Long Biên,2014-02-17,232.0,54,14,16,1,30,232.0,Rất không tốt
Long Biên,2014-02-18,175.0,56,24,18,2,19,175.0,Không tốt
