date,pm25,pm10,o3,no2,so2,co
8/09/2023,0,8,0,1,2,1
9/09/2023,8,14,0,2,2,2
10/09/2023,13,21,0,2,0,1
11/09/2023,21,24,0,3,2,3
12/09/2023,25,27,0,1,2,1
13/09/2023,32,27,0,1,2,2
14/09/2023,34,17,0,1,2,1
15/09/2023,19,0,0,0,0,0
27/09/2023,0,29,0,19,3,2
28/09/2023,35,34,0,4,3,3
29/09/2023,37,21,0,2,4,2
30/09/2023,26,20,0,1,2,1
1/10/2023,24,10,0,1,2,1
2/10/2023,9,11,0,1,2,2
3/10/2023,8,13,0,1,2,2
4/10/2023,11,19,0,1,2,3
5/10/2023,14,25,0,1,3,2
6/10/2023,21,22,0,1,2,4
7/10/2023,19,18,0,1,3,0
8/10/2023,16,25,0,1,3,0
9/10/2023,24,25,0,3,4,0
10/10/2023,26,26,0,2,3,0
11/10/2023,30,26,0,1,3,0
12/10/2023,31,33,0,1,3,0
13/10/2023,39,28,0,1,3,0
14/10/2023,36,21,0,1,3,1
15/10/2023,24,12,0,0,3,0
16/10/2023,11,20,0,0,3,0
17/10/2023,18,21,0,0,3,0
18/10/2023,23,41,0,0,4,0
19/10/2023,60,0,0,0,0,0
