date,pm25,pm10,o3,no2,so2,co
2020-06-20,0,42,0,4,0,1
2020-06-21,49,44,0,5,0,2
2020-06-22,52,37,0,5,0,3
2020-06-23,42,40,0,5,0,2
2020-06-24,46,56,0,8,0,6
2020-06-25,75,38,0,5,0,2
2020-06-26,47,35,0,4,0,1
2020-06-27,40,39,0,4,0,1
2020-06-28,45,44,0,4,0,2
2020-06-29,54,42,0,5,0,2
2020-06-30,53,50,0,5,0,4
2020-07-01,62,51,0,5,0,2
2020-07-02,56,46,0,4,0,4
2020-07-03,51,36,0,3,0,3
2020-07-04,39,40,0,3,0,1
2020-07-05,44,37,0,3,0,2
2020-07-06,42,45,0,3,0,2
2020-07-07,49,38,0,3,0,2
2020-07-08,41,45,0,4,0,4
2020-07-09,49,44,0,3,0,4
2020-07-10,46,55,0,2,0,5
2020-07-11,64,53,0,1,0,4
2020-07-12,67,54,0,2,0,2
2020-07-13,64,53,0,3,0,9
2020-07-14,62,50,0,2,0,1
2020-07-15,57,52,0,2,0,1
2020-07-16,55,49,0,2,0,2
2020-07-17,54,47,0,3,0,1
2020-07-18,54,47,0,2,0,2
2020-07-19,49,46,0,1,0,3
2020-07-20,50,52,0,2,0,2
2020-07-21,58,45,0,4,0,1
2020-07-22,50,48,0,4,0,2
2020-07-23,50,52,0,3,0,2
2020-07-24,57,48,0,3,0,1
2020-07-25,54,42,0,3,0,2
2020-07-26,46,68,0,4,0,8
2020-07-27,87,84,0,3,0,8
2020-07-28,125,68,0,4,0,4
2020-07-29,97,61,0,5,0,3
2020-07-30,79,54,0,3,0,6
2020-07-31,63,62,0,3,0,8
2020-08-01,81,45,0,2,0,4
2020-08-02,49,49,0,2,0,7
2020-08-03,56,58,0,3,0,4
2020-08-04,76,56,0,3,0,5
2020-08-05,63,49,0,2,0,3
2020-08-06,56,52,0,3,0,6
2020-08-07,57,46,0,3,0,2
2020-08-08,52,46,0,4,0,2
2020-08-09,50,52,0,5,0,4
2020-08-10,60,42,0,4,0,2
2020-08-11,44,52,0,3,0,2
2020-08-12,61,43,0,2,0,1
2020-08-13,47,52,0,3,0,2
2020-08-14,57,50,0,4,0,2
2020-08-15,58,49,0,5,0,4
2020-08-16,53,46,0,6,0,3
2020-08-17,50,51,0,5,0,5
2020-08-18,56,50,0,9,0,6
2020-08-19,57,68,0,9,0,5
2020-08-20,87,52,0,8,0,5
2020-08-21,57,55,0,10,0,7
2020-08-22,62,63,0,10,0,4
2020-08-23,78,54,0,8,0,4
2020-08-24,60,51,0,7,0,7
2020-08-25,56,47,0,10,0,6
2020-08-26,54,69,0,10,0,7
2020-08-27,92,53,0,8,0,6
2020-08-28,64,55,0,8,0,3
2020-08-29,63,57,0,12,0,8
2020-08-30,72,61,0,9,0,7
2020-08-31,80,56,0,10,0,9
2020-09-01,67,80,0,13,0,6
2020-09-02,112,67,0,10,0,9
2020-09-03,88,68,0,11,0,6
2020-09-04,90,67,0,6,0,2
2020-09-05,80,0,0,0,0,0
2020-09-06,0,50,0,7,0,15
2020-09-07,54,65,0,5,0,7
2020-09-08,85,56,0,5,0,3
2020-09-09,68,53,0,11,0,3
2020-09-10,60,55,0,10,0,4
2020-09-11,63,54,0,7,0,3
2020-09-12,66,53,0,7,0,4
2020-09-13,60,53,0,8,0,4
2020-09-14,59,53,0,7,0,2
2020-09-15,57,54,0,7,0,5
2020-09-16,59,57,0,10,0,6
2020-09-17,68,40,0,6,0,10
2020-09-18,45,41,0,8,0,10
2020-09-19,45,61,0,9,0,6
2020-09-20,75,61,0,8,0,4
2020-09-21,79,49,0,5,0,5
2020-09-22,54,48,0,9,0,6
2020-09-23,55,48,0,8,0,7
2020-09-24,53,58,0,8,0,4
2020-09-25,71,43,0,6,0,4
2020-09-26,46,44,0,5,0,10
2020-09-27,47,55,0,3,0,8
2020-09-28,203.8,60,0,4,0,6
2020-09-29,162.8,62,0,4,0,5
2020-09-30,204.4,45,0,1,0,3
2020-10-01,150.3,56,0,2,0,6
2020-10-02,67.3,58,0,4,0,7
2020-10-03,52.3,35,0,3,0,2
2020-10-04,189.8,48,0,5,0,6
2020-10-05,92.2,47,0,6,0,8
2020-10-06,200.1,40,0,6,0,7
2020-10-07,125.4,44,0,5,0,7
2020-10-08,74.6,46,0,3,0,8
2020-10-09,163,46,0,8,0,6
2020-10-10,240.4,48,0,6,0,5
2020-10-11,198.9,62,0,8,0,13
2020-10-12,203.3,60,0,7,0,10
2020-10-13,215.4,57,0,6,0,10
2020-10-14,180.4,28,0,2,0,18
2020-10-15,75.3,40,0,5,0,16
2020-10-16,213.9,29,0,5,0,10
2020-10-17,164.1,41,0,4,0,7
2020-10-18,164.8,43,0,3,0,13
2020-10-19,107.5,44,0,6,0,14
2020-10-20,174.7,46,0,5,0,9
2020-10-21,159.4,61,0,13,0,17
2020-10-22,96.8,55,0,12,0,18
2020-10-23,194.2,61,0,10,0,11
2020-10-24,206.3,70,0,10,0,7
2020-10-25,203,60,0,7,0,10
2020-10-26,154.2,54,0,10,0,11
2020-10-27,120.8,58,0,7,0,10
2020-10-28,163.3,53,0,4,0,9
2020-10-29,73.2,48,0,7,0,9
2020-10-30,319,53,0,10,0,11
2020-10-31,161.4,66,0,7,0,9
2020-11-01,220.9,66,0,8,0,9
2020-11-02,205,52,0,8,0,8
2020-11-03,201.2,62,0,9,0,10
2020-11-04,299.8,70,0,4,0,7
2020-11-05,72.6,80,0,11,0,12
2020-11-06,277.9,64,0,9,0,14
2020-11-07,165.4,56,0,8,0,9
2020-11-08,203,66,0,9,0,12
2020-11-09,132.4,61,0,14,0,11
2020-11-10,153.1,80,0,8,0,7
2020-11-11,215.4,73,0,17,0,13
2020-11-12,114.6,88,0,13,0,12
2020-11-13,168,74,0,9,0,8
2020-11-14,76.7,67,0,7,0,3
2020-11-15,194.4,67,0,9,0,10
2020-11-16,237.7,65,0,11,0,4
2020-11-17,94.7,60,0,7,0,3
2020-11-18,65.8,58,0,7,0,6
2020-11-19,92.3,63,0,5,0,3
2020-11-20,239,59,0,9,0,4
2020-11-21,129.8,57,0,10,0,4
2020-11-22,114.6,55,0,10,0,6
2020-11-23,210.4,63,0,9,0,2
2020-11-24,150.9,71,0,10,0,4
2020-11-25,111.2,56,0,6,0,3
2020-11-26,74.8,67,0,10,0,6
2020-11-27,184.3,55,0,8,0,5
2020-11-28,126.6,41,0,8,0,5
2020-11-29,197.5,50,0,6,0,5
2020-11-30,223,66,0,9,0,4
2020-12-01,236.2,82,0,10,0,7
2020-12-02,171.4,64,0,11,0,6
2020-12-03,135.9,52,0,7,0,6
2020-12-04,216.9,55,0,9,0,7
2020-12-05,252,71,0,10,0,4
2020-12-06,206.2,78,0,15,0,6
2020-12-07,136.6,83,0,9,0,8
2020-12-08,129.8,76,0,8,0,6
2020-12-09,205.2,86,0,16,0,12
2020-12-10,152,101,0,20,0,6
2020-12-11,188.3,84,0,12,0,6
2020-12-12,240.4,87,0,12,0,5
2020-12-13,116.8,74,0,6,0,4
2020-12-14,193.7,48,0,6,0,6
2020-12-15,250,51,0,6,0,5
2020-12-16,156.2,50,0,8,0,6
2020-12-17,314.2,54,0,8,0,6
2020-12-18,208.5,59,0,10,0,6
2020-12-19,167.5,70,0,9,0,5
2020-12-20,189.7,78,0,9,0,8
2020-12-21,142.1,86,0,13,0,7
2020-12-22,151.4,95,0,18,0,4
2020-12-23,106.5,78,0,7,0,6
2020-12-24,58.6,93,0,9,0,5
