date,pm25,pm10,o3,no2,so2,co
20/06/2020,0,25,72,0,5,0
21/06/2020,41,16,70,0,5,0
22/06/2020,23,16,108,0,5,0
23/06/2020,23,15,58,1,5,0
24/06/2020,21,25,82,2,6,0
25/06/2020,40,14,88,1,6,0
26/06/2020,20,14,81,0,5,0
27/06/2020,20,16,72,0,5,0
28/06/2020,23,15,77,0,6,0
29/06/2020,23,16,102,0,5,0
30/06/2020,25,19,55,1,6,0
1/07/2020,28,16,48,1,6,0
2/07/2020,24,8,47,1,6,0
3/07/2020,11,9,42,0,6,0
4/07/2020,12,7,47,1,6,0
5/07/2020,10,11,49,0,6,0
6/07/2020,14,14,53,0,6,0
7/07/2020,19,15,86,1,6,0
8/07/2020,20,16,41,1,6,0
9/07/2020,19,16,38,2,5,0
10/07/2020,19,0,40,2,6,0
11/07/2020,0,0,72,1,6,0
12/07/2020,0,0,51,0,6,0
13/07/2020,0,0,87,1,6,0
14/07/2020,0,0,48,0,6,0
15/07/2020,0,0,50,0,6,0
16/07/2020,0,0,70,0,6,0
17/07/2020,0,0,83,1,6,0
18/07/2020,0,0,58,0,6,0
19/07/2020,0,0,40,0,6,0
20/07/2020,0,0,40,0,6,0
21/07/2020,0,0,35,0,6,0
22/07/2020,0,0,38,0,6,0
23/07/2020,0,0,41,0,6,0
24/07/2020,0,0,45,0,6,0
25/07/2020,0,0,45,0,6,0
26/07/2020,0,0,42,1,7,0
27/07/2020,0,0,59,5,6,0
28/07/2020,0,0,0,7,6,0
29/07/2020,0,0,0,4,7,0
30/07/2020,0,0,0,5,7,0
31/07/2020,0,0,0,2,7,0
1/08/2020,0,0,0,1,9,0
2/08/2020,0,0,0,6,9,0
3/08/2020,0,0,28,7,9,0
4/08/2020,0,0,36,3,9,0
5/08/2020,0,0,31,3,9,0
6/08/2020,0,0,30,3,9,0
7/08/2020,0,0,37,3,8,0
8/08/2020,0,0,42,3,8,0
9/08/2020,0,0,61,2,7,0
10/08/2020,0,0,63,2,8,0
11/08/2020,0,0,42,2,7,0
12/08/2020,0,0,36,2,9,0
13/08/2020,0,0,28,3,10,0
14/08/2020,0,0,27,4,10,0
15/08/2020,0,0,40,3,9,0
16/08/2020,0,0,32,4,10,0
17/08/2020,0,0,32,7,10,0
18/08/2020,0,0,35,5,10,0
