,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Nam Từ Liêm,2020-06-20,50.0,20.0,0.0,3.0,0.0,1.0,70.0,Vừa Phải
1,Nam Từ Liêm,2020-06-21,76.0,20.0,0.0,3.0,0.0,1.0,76.0,Vừa Phải
2,Nam Từ Liêm,2020-06-22,78.0,18.0,0.0,4.0,0.0,1.0,78.0,Vừa Phải
3,Nam Từ Liêm,2020-06-23,75.0,18.0,0.0,3.0,0.0,1.0,75.0,Vừa Phải
4,Nam Từ Liêm,2020-06-24,75.0,34.0,0.0,4.0,0.0,3.0,84.0,Vừa Phải
5,Nam Từ Liêm,2020-06-25,97.0,19.0,0.0,3.0,0.0,1.0,97.0,Vừa Phải
6,Nam Từ Liêm,2020-06-26,77.0,15.0,0.0,2.0,0.0,1.0,77.0,Vừa Phải
7,Nam Từ Liêm,2020-06-27,70.0,18.0,0.0,3.0,0.0,1.0,70.0,Vừa Phải
8,Nam Từ Liêm,2020-06-28,75.0,20.0,0.0,3.0,0.0,1.0,75.0,Vừa Phải
9,Nam Từ Liêm,2020-06-29,78.0,20.0,0.0,4.0,0.0,1.0,78.0,Vừa Phải
10,Nam Từ Liêm,2020-06-30,77.0,24.0,0.0,3.0,0.0,1.0,77.0,Vừa Phải
11,Nam Từ Liêm,2020-07-01,79.0,23.0,0.0,2.0,0.0,1.0,79.0,Vừa Phải
12,Nam Từ Liêm,2020-07-02,77.0,18.0,0.0,2.0,0.0,2.0,77.0,Vừa Phải
13,Nam Từ Liêm,2020-07-03,68.0,16.0,0.0,2.0,0.0,2.0,68.0,Vừa Phải
14,Nam Từ Liêm,2020-07-04,69.0,15.0,0.0,2.0,0.0,1.0,69.0,Vừa Phải
15,Nam Từ Liêm,2020-07-05,76.0,19.0,0.0,4.0,0.0,1.0,76.0,Vừa Phải
16,Nam Từ Liêm,2020-07-06,67.0,15.0,0.0,2.0,0.0,1.0,67.0,Vừa Phải
17,Nam Từ Liêm,2020-07-07,68.0,12.0,0.0,3.0,0.0,1.0,68.0,Vừa Phải
18,Nam Từ Liêm,2020-07-08,75.0,19.0,0.0,2.0,0.0,1.0,75.0,Vừa Phải
19,Nam Từ Liêm,2020-07-09,74.0,20.0,0.0,1.0,0.0,1.0,74.0,Vừa Phải
