địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Nho Quan,01/01/2022,0.0,48.0,0.0,0.0,0.0,0.0,48.0,Tốt
Nho Quan,02/01/2022,91.0,56.0,0.0,0.0,0.0,0.0,91.0,Vừa Phải
Nho Quan,03/01/2022,116.0,54.0,0.0,0.0,0.0,0.0,116.0,Không tốt cho người nhạy cảm
Nho Quan,04/01/2022,109.0,41.0,0.0,0.0,0.0,0.0,109.0,Không tốt cho người nhạy cảm
Nho Quan,05/01/2022,79.0,35.0,0.0,0.0,0.0,0.0,79.0,Vừa Phải
Nho Quan,06/01/2022,65.0,40.0,0.0,0.0,0.0,0.0,65.0,Vừa Phải
Nho Quan,07/01/2022,78.0,52.0,0.0,0.0,0.0,0.0,78.0,Vừa Phải
Nho Quan,08/01/2022,103.0,46.0,0.0,0.0,0.0,0.0,103.0,Không tốt cho người nhạy cảm
Nho Quan,09/01/2022,96.0,33.0,0.0,0.0,0.0,0.0,96.0,Vừa Phải
Nho Quan,10/01/2022,65.0,23.0,0.0,0.0,0.0,0.0,65.0,Vừa Phải
Nho Quan,11/01/2022,43.0,35.0,0.0,0.0,0.0,0.0,43.0,Tốt
Nho Quan,12/01/2022,67.0,42.0,0.0,0.0,0.0,0.0,67.0,Vừa Phải
Nho Quan,13/01/2022,84.0,0.0,0.0,0.0,0.0,0.0,84.0,Vừa Phải
Nho Quan,14/01/2022,0.0,41.0,0.0,0.0,0.0,0.0,41.0,Tốt
Nho Quan,15/01/2022,78.0,48.0,0.0,0.0,0.0,0.0,78.0,Vừa Phải
Nho Quan,16/01/2022,91.0,13.0,0.0,0.0,0.0,0.0,91.0,Vừa Phải
Nho Quan,17/01/2022,24.0,23.0,0.0,0.0,0.0,0.0,24.0,Tốt
Nho Quan,18/01/2022,42.0,39.0,0.0,0.0,0.0,0.0,42.0,Tốt
Nho Quan,19/01/2022,74.0,38.0,0.0,0.0,0.0,0.0,74.0,Vừa Phải
Nho Quan,20/01/2022,75.0,38.0,0.0,0.0,0.0,0.0,75.0,Vừa Phải
Nho Quan,21/01/2022,77.0,20.0,0.0,0.0,0.0,0.0,77.0,Vừa Phải
Nho Quan,22/01/2022,38.0,55.0,0.0,0.0,0.0,0.0,55.0,Vừa Phải
Nho Quan,23/01/2022,111.0,39.0,0.0,0.0,0.0,0.0,111.0,Không tốt cho người nhạy cảm
Nho Quan,24/01/2022,73.0,0.0,0.0,0.0,0.0,0.0,73.0,Vừa Phải
Nho Quan,26/01/2022,0.0,25.0,0.0,0.0,0.0,0.0,25.0,Tốt
Nho Quan,27/01/2022,45.0,23.0,0.0,0.0,0.0,0.0,45.0,Tốt
Nho Quan,28/01/2022,41.0,36.0,0.0,0.0,0.0,0.0,41.0,Tốt
Nho Quan,29/01/2022,71.0,21.0,0.0,0.0,0.0,0.0,71.0,Vừa Phải
Nho Quan,30/01/2022,40.0,14.0,0.0,0.0,0.0,0.0,40.0,Tốt
Nho Quan,31/01/2022,26.0,21.0,0.0,0.0,0.0,0.0,26.0,Tốt
Nho Quan,01/02/2022,40.0,21.0,0.0,0.0,0.0,0.0,40.0,Tốt
Nho Quan,02/02/2022,42.0,14.0,0.0,0.0,0.0,0.0,42.0,Tốt
Nho Quan,03/02/2022,26.0,28.0,0.0,0.0,0.0,0.0,28.0,Tốt
Nho Quan,04/02/2022,51.0,42.0,0.0,0.0,0.0,0.0,51.0,Vừa Phải
Nho Quan,05/02/2022,79.0,49.0,0.0,0.0,0.0,0.0,79.0,Vừa Phải
Nho Quan,06/02/2022,99.0,50.0,0.0,0.0,0.0,0.0,99.0,Vừa Phải
Nho Quan,07/02/2022,102.0,20.0,0.0,0.0,0.0,0.0,102.0,Không tốt cho người nhạy cảm
Nho Quan,08/02/2022,38.0,24.0,0.0,0.0,0.0,0.0,38.0,Tốt
Nho Quan,09/02/2022,48.0,38.0,0.0,0.0,0.0,0.0,48.0,Tốt
Nho Quan,10/02/2022,75.0,31.0,0.0,0.0,0.0,0.0,75.0,Vừa Phải
Nho Quan,11/02/2022,63.0,27.0,0.0,0.0,0.0,0.0,63.0,Vừa Phải
Nho Quan,12/02/2022,55.0,5.0,0.0,0.0,0.0,0.0,55.0,Vừa Phải
Nho Quan,13/02/2022,9.0,18.0,0.0,0.0,0.0,0.0,18.0,Tốt
Nho Quan,14/02/2022,32.0,48.0,0.0,0.0,0.0,0.0,48.0,Tốt
Nho Quan,15/02/2022,97.0,49.0,0.0,0.0,0.0,0.0,97.0,Vừa Phải
Nho Quan,16/02/2022,102.0,56.0,0.0,0.0,0.0,0.0,102.0,Không tốt cho người nhạy cảm
Nho Quan,17/02/2022,115.0,26.0,0.0,0.0,0.0,0.0,115.0,Không tốt cho người nhạy cảm
Nho Quan,18/02/2022,51.0,5.0,0.0,0.0,0.0,0.0,51.0,Vừa Phải
Nho Quan,19/02/2022,8.0,3.0,0.0,0.0,0.0,0.0,8.0,Tốt
Nho Quan,20/02/2022,7.0,12.0,0.0,0.0,0.0,0.0,12.0,Tốt
