date, pm25, pm10
2023-11-01,3,9
2023-11-02,7,7
2023-11-03,5, 
2023-11-15,6,15
2023-11-16,8, 
2023-11-20,10,14
2023-11-21,9,15
2023-11-22,11,12
2023-11-23,10,16
2023-11-24,11, 
2023-10-20,4,10
2023-10-21,6, 
2023-10-27,2,8
2023-10-28,7, 
2023-07-12,11,15
2023-07-13,10,17
2023-07-14,12,17
2023-07-15,14,14
2023-07-16,10,7
2023-07-17,4,9
2023-07-18,5,11
2023-07-19,7,10
2023-07-20,6,11
2023-07-21,7,9
2023-07-22,6, 
2023-07-24,6,15
2023-07-25,9,15
2023-07-26,9,12
2023-07-27,7,12
2023-07-28,8,7
2023-07-29,4,11
2023-07-30,10,14
2023-07-31,11,16
2023-08-01,12,13
2023-08-02,10,13
2023-08-03,9, 
2023-08-05,10,14
2023-08-06,11,13
2023-08-07,10,11
2023-08-08,8,12
2023-08-09,8,11
2023-08-10,7,11
2023-08-11,8, 
2023-08-14,7,9
2023-08-15,6,11
2023-08-16,8,13
2023-08-17,9,14
2023-08-18,11,14
2023-08-19,10,7
2023-08-20,5,14
2023-08-21,9,13
2023-08-22,9,14
2023-08-23,11,11
2023-08-24,9, 
2023-08-26,8,13
2023-08-27,10,10
2023-08-28,5,11
2023-08-29,7,15
2023-08-30,8,13
2023-08-31,8, 
2023-09-02,4,9
2023-09-03,6,7
2023-09-04,5,6
2023-09-05,3,16
2023-09-06,13,16
2023-09-07,14,13
2023-09-08,12,9
2023-09-09,6,7
2023-09-10,3,8
2023-09-11,5,8
2023-09-12,6,8
2023-09-13,7,10
2023-09-14,8,6
2023-09-15,4, 
2023-09-18,6,11
2023-09-19,8,15
2023-09-20,11, 
2023-04-03,12,29
2023-04-04,20,10
2023-04-05,4,19
2023-04-06,8,16
2023-04-07,5,20
2023-04-08,8,29
2023-04-09,25,45
2023-04-10,36,39
2023-04-11,33,36
2023-04-12,32,34
2023-04-13,35,31
2023-04-14,32,30
2023-04-15,36,15
2023-04-16,14, 
2023-04-19,32,28
2023-04-20,34,29
2023-04-21,35,24
2023-04-22,30,16
2023-04-23,19,19
2023-04-24,16,26
2023-04-25,18,34
2023-04-26,24,39
2023-04-27,30,33
2023-04-28,26,32
2023-04-29,24,24
2023-04-30,21, 
2023-05-02,19,27
2023-05-03,16,25
2023-05-04,15,17
2023-05-05,15,17
2023-05-06,17,13
2023-05-07,14,17
2023-05-08,14,26
2023-05-09,21,33
2023-05-10,21,25
2023-05-11,10,24
2023-05-12,13,21
2023-05-13,14,11
2023-05-14,9,13
2023-05-15,9,22
2023-05-16,13,31
2023-05-17,22,31
2023-05-18,19,31
2023-05-19,20,29
2023-05-20,23,23
2023-05-21,15,24
2023-05-22,16,20
2023-05-23,15,25
2023-05-24,16,27
2023-05-25,15, 
2023-05-27,10,21
2023-05-28,20,23
2023-05-29,14,17
2023-05-30,12,17
2023-05-31,10,15
2023-06-01,12,16
2023-06-02,12,15
2023-06-03,12,12
2023-06-04,7,20
2023-06-05,13, 
2023-06-07,9,14
2023-06-08,12,14
2023-06-09,11,14
2023-06-10,11,10
2023-06-11,7,11
2023-06-12,9,14
2023-06-13,9,15
2023-06-14,12,18
2023-06-15,13,22
2023-06-16,13,23
2023-06-17,11,17
2023-06-18,11,26
2023-06-19,17, 
2023-06-21,13,18
2023-06-22,13,19
2023-06-23,13,22
2023-06-24,13,23
2023-06-25,15,23
2023-06-26,11,21
2023-06-27,16,16
2023-06-28,10,11
2023-06-29,6,19
2023-06-30,13, 
2023-01-02,31,57
2023-01-03,40,46
2023-01-04,13,30
2023-01-05,10,30
2023-01-06,13,36
2023-01-07,22,36
2023-01-08,32,43
2023-01-09,35,25
2023-01-10,10,44
2023-01-11,18,41
2023-01-12,17,34
2023-01-13,18,25
2023-01-14,28, 
2023-02-10,16,39
2023-02-11,20,22
2023-02-12,15,30
2023-02-13,17, 
2023-02-15,29,54
2023-02-16,34,50
2023-02-17,35,38
2023-02-18,35,39
2023-02-19,33,32
2023-02-20,32,47
2023-02-21,40,49
2023-02-22,50,47
2023-02-23,22,56
2023-02-24,33,60
2023-02-25,57,52
2023-02-26,39,49
2023-02-27,32,51
2023-02-28,27,51
2023-03-01,34,53
2023-03-02,32,57
2023-03-03,41,61
2023-03-04,43,50
2023-03-05,40,54
2023-03-06,54,59
2023-03-07,47,50
2023-03-08,30,48
2023-03-09,26,50
2023-03-10,38,49
2023-03-11,34,39
2023-03-12,29,52
2023-03-13,36,52
2023-03-14,37,48
2023-03-15,28,41
2023-03-16,21,41
2023-03-17,21,36
2023-03-18,15,29
2023-03-19,14,29
2023-03-20,18,27
2023-03-21,14,22
2023-03-22,13,19
2023-03-23,9,15
2023-03-24,9, 
2023-03-26,8,24
2023-03-27,11,33
2023-03-28,12,36
2023-03-29,16,28
2023-03-30,15,23
2023-03-31,13, 
2022-10-01,19, 
2022-10-10,24,33
2022-10-11,27,36
2022-10-12,21,46
2022-10-13,41,40
2022-10-14,40,36
2022-10-15,33,33
2022-10-16,26,36
2022-10-17,26,45
2022-10-18,33,29
2022-10-19,19,36
2022-10-20,21,54
2022-10-21,26,49
2022-10-22,43,27
2022-10-23,24, 
2022-10-25,14,34
2022-10-26,15,35
2022-10-27,20,36
2022-10-28,31,56
2022-10-29,30,46
2022-10-30,24,56
2022-10-31,33,63
2022-11-01,52,63
2022-11-02,34,52
2022-11-03,35,64
2022-11-04,39,71
2022-11-05,35,45
2022-11-06,36,46
2022-11-07,37,63
2022-11-08,46,52
2022-11-09,37,57
2022-11-10,45,72
2022-11-11,37,40
2022-11-12,32,51
2022-11-13,31, 
2022-11-24,19,44
2022-11-25,13,41
2022-11-26,19,42
2022-11-27,13,50
2022-11-28,14,48
2022-11-29,16,57
2022-11-30,30,54
2022-12-01,34,47
2022-12-02,14,46
2022-12-03,23,40
2022-12-04,10,58
2022-12-05,24,48
2022-12-06,29,42
2022-12-07,21,51
2022-12-08,27,54
2022-12-09,34,51
2022-12-10,40,51
2022-12-11,31,57
2022-12-12,33,56
2022-12-13,35,59
2022-12-14,59,57
2022-12-15,56,54
2022-12-16,38,65
2022-12-17,34,37
2022-12-18,7,42
2022-12-19,15,50
2022-12-20,32, 
2022-12-24,40,57
2022-12-25,44,57
2022-12-26,46,56
2022-12-27,49,60
2022-12-28,42,52
2022-12-29,49,56
2022-12-30,49,59
2022-12-31,44,37
2023-01-01,25,35
2022-07-01,12,19
2022-07-02,13,37
2022-07-03,21,25
2022-07-04,16,22
2022-07-05,17,19
2022-07-06,14,19
2022-07-07,13,25
2022-07-08,18,27
2022-07-09,21,13
2022-07-10,8,14
2022-07-11,10,15
2022-07-12,10,15
2022-07-13,11,23
2022-07-14,16,42
2022-07-15,25,22
2022-07-16,18,17
2022-07-17,14,21
2022-07-18,13,19
2022-07-19,12,29
2022-07-20,15,45
2022-07-21,23,73
2022-07-22,42,52
2022-07-23,29,40
2022-07-24,26,45
2022-07-25,20,40
2022-07-26,20,41
2022-07-27,26,27
2022-07-28,20,29
2022-07-29,17,23
2022-07-30,20,18
2022-07-31,16,23
2022-08-01,12,29
2022-08-02,16,24
2022-08-03,14, 
2022-08-05,18,29
2022-08-06,18,16
2022-08-07,13,23
2022-08-08,16,24
2022-08-09,18,19
2022-08-10,16,22
2022-08-11,13,45
2022-08-12,30,36
2022-08-13,28,35
2022-08-14,28,30
2022-08-15,18,30
