địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Ninh Kiều,2021-12-27,0.0,28.0,0.0,0.0,0.0,0.0,28.0,Tốt
Ninh Kiều,2021-12-28,27.0,28.0,0.0,0.0,0.0,0.0,28.0,Tốt
Ninh Kiều,2021-12-29,25.0,31.0,0.0,0.0,0.0,0.0,31.0,Tốt
Ninh Kiều,2021-12-30,28.0,32.0,0.0,0.0,0.0,0.0,32.0,Tốt
Ninh Kiều,2021-12-31,30.0,38.0,0.0,0.0,0.0,0.0,38.0,Tốt
Ninh Kiều,2022-01-01,37.0,36.0,0.0,0.0,0.0,0.0,37.0,Tốt
Ninh Kiều,2022-01-02,37.0,32.0,0.0,0.0,0.0,0.0,37.0,Tốt
Ninh Kiều,2022-01-03,31.0,37.0,0.0,0.0,0.0,0.0,37.0,Tốt
Ninh Kiều,2022-01-04,36.0,29.0,0.0,0.0,0.0,0.0,36.0,Tốt
Ninh Kiều,2022-01-05,28.0,34.0,0.0,0.0,0.0,0.0,34.0,Tốt
Ninh Kiều,2022-01-06,31.0,33.0,0.0,0.0,0.0,0.0,33.0,Tốt
Ninh Kiều,2022-01-07,32.0,37.0,0.0,0.0,0.0,0.0,37.0,Tốt
Ninh Kiều,2022-01-08,34.0,30.0,0.0,0.0,0.0,0.0,34.0,Tốt
Ninh Kiều,2022-01-09,30.0,24.0,0.0,0.0,0.0,0.0,30.0,Tốt
Ninh Kiều,2022-01-10,22.0,29.0,0.0,0.0,0.0,0.0,29.0,Tốt
Ninh Kiều,2022-01-11,25.0,31.0,0.0,0.0,0.0,0.0,31.0,Tốt
Ninh Kiều,2022-01-12,29.0,35.0,0.0,0.0,0.0,0.0,35.0,Tốt
Ninh Kiều,2022-01-13,36.0,0.0,0.0,0.0,0.0,0.0,36.0,Tốt
Ninh Kiều,2022-01-14,0.0,43.0,0.0,0.0,0.0,0.0,43.0,Tốt
Ninh Kiều,2022-01-15,41.0,32.0,0.0,0.0,0.0,0.0,41.0,Tốt
Ninh Kiều,2022-01-16,35.0,39.0,0.0,0.0,0.0,0.0,39.0,Tốt
Ninh Kiều,2022-01-17,41.0,40.0,0.0,0.0,0.0,0.0,41.0,Tốt
Ninh Kiều,2022-01-18,42.0,39.0,0.0,0.0,0.0,0.0,42.0,Tốt
Ninh Kiều,2022-01-19,36.0,41.0,0.0,0.0,0.0,0.0,41.0,Tốt
