địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Phú Mỹ,2023-11-01,29.0,40.0,2.0,3.0,0,0,40.0,Tốt
Phú Mỹ,2023-11-02,47.0,35.0,2.0,3.0,0,0,47.0,Tốt
Phú Mỹ,2023-11-03,39.0,35.0,1.0,3.0,0,0,39.0,Tốt
Phú Mỹ,2023-11-04,28.0,47.0,2.0,3.0,0,0,47.0,Tốt
Phú Mỹ,2023-11-05,61.0,31.0,1.0,3.0,0,0,61.0,Vừa Phải
Phú Mỹ,2023-11-06,31.0,37.0,1.0,3.0,0,0,37.0,Tốt
Phú Mỹ,2023-11-07,39.0,31.0,2.0,3.0,0,0,39.0,Tốt
Phú Mỹ,2023-11-08,34.0,31.0,2.0,3.0,0,0,34.0,Tốt
Phú Mỹ,2023-11-09,31.0,30.0,1.0,3.0,0,0,31.0,Tốt
Phú Mỹ,2023-11-10,34.0,36.0,2.0,3.0,0,0,36.0,Tốt
Phú Mỹ,2023-11-11,47.0,36.0,1.0,3.0,0,0,47.0,Tốt
Phú Mỹ,2023-11-12,45.0,34.0,3.0,0.0,0,0,45.0,Tốt
Phú Mỹ,2023-11-13,31.0,30.0,3.0,0.0,0,0,31.0,Tốt
Phú Mỹ,2023-11-14,25.0,33.0,2.0,0.0,0,0,33.0,Tốt
Phú Mỹ,2023-11-15,39.0,34.0,1.0,0.0,0,0,39.0,Tốt
Phú Mỹ,2023-11-16,38.0,28.0,2.0,0.0,0,0,38.0,Tốt
Phú Mỹ,2023-11-17,31.0,0.0,0.0,0.0,0,0,31.0,Tốt
Phú Mỹ,2023-10-01,32.0,17.0,2.0,3.0,0,0,32.0,Tốt
Phú Mỹ,2023-10-02,18.0,15.0,2.0,3.0,0,0,18.0,Tốt
Phú Mỹ,2023-10-03,13.0,13.0,16.0,3.0,0,0,16.0,Tốt
Phú Mỹ,2023-10-04,12.0,20.0,1.0,3.0,0,0,20.0,Tốt
Phú Mỹ,2023-10-05,20.0,28.0,2.0,3.0,0,0,28.0,Tốt
Phú Mỹ,2023-10-06,31.0,32.0,2.0,3.0,0,0,32.0,Tốt
Phú Mỹ,2023-10-07,38.0,23.0,2.0,3.0,0,0,38.0,Tốt
Phú Mỹ,2023-10-08,29.0,27.0,3.0,0.0,0,0,29.0,Tốt
Phú Mỹ,2023-10-09,26.0,30.0,3.0,0.0,0,0,30.0,Tốt
Phú Mỹ,2023-10-10,22.0,28.0,6.0,2.0,0,0,28.0,Tốt
Phú Mỹ,2023-10-11,28.0,28.0,1.0,3.0,0,0,28.0,Tốt
Phú Mỹ,2023-10-12,30.0,40.0,2.0,3.0,0,0,40.0,Tốt
Phú Mỹ,2023-10-13,42.0,33.0,1.0,3.0,0,0,42.0,Tốt
Phú Mỹ,2023-10-14,39.0,35.0,1.0,3.0,0,0,39.0,Tốt
Phú Mỹ,2023-10-15,54.0,33.0,1.0,3.0,0,0,54.0,Vừa Phải
