địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Phú Ninh,2022-12-02,7.67,8.63,0,0,0,0,8.63,Tốt
Phú Ninh,2022-12-03,100.57,114.8,0,0,0,0,114.8,Không tốt cho người nhạy cảm
Phú Ninh,2022-12-04,21.47,25.0,0,0,0,0,25.0,Tốt
Phú Ninh,2022-12-05,18.73,21.07,0,0,0,0,21.07,Tốt
Phú Ninh,2022-12-06,36.63,38.57,0,0,0,0,38.57,Tốt
Phú Ninh,2022-12-07,21.8,24.93,0,0,0,0,24.93,Tốt
Phú Ninh,2022-12-08,26.97,29.97,0,0,0,0,29.97,Tốt
Phú Ninh,2022-12-09,24.0,25.47,0,0,0,0,25.47,Tốt
Phú Ninh,2022-12-10,33.6,38.57,0,0,0,0,38.57,Tốt
Phú Ninh,2022-12-11,39.73,45.83,0,0,0,0,45.83,Tốt
Phú Ninh,2022-12-12,66.48,73.88,0,0,0,0,73.88,Vừa Phải
Phú Ninh,2022-12-13,46.97,56.7,0,0,0,0,56.7,Vừa Phải
Phú Ninh,2022-12-14,52.5,60.07,0,0,0,0,60.07,Vừa Phải
Phú Ninh,2022-12-15,88.57,98.73,0,0,0,0,98.73,Vừa Phải
Phú Ninh,2022-12-16,84.68,97.47,0,0,0,0,97.47,Vừa Phải
Phú Ninh,2022-12-17,15.83,19.13,0,0,0,0,19.13,Tốt
Phú Ninh,2022-12-18,19.4,21.87,0,0,0,0,21.87,Tốt
Phú Ninh,2022-12-19,27.18,31.37,0,0,0,0,31.37,Tốt
Phú Ninh,2022-12-20,41.35,43.93,0,0,0,0,43.93,Tốt
Phú Ninh,2022-12-21,26.37,29.63,0,0,0,0,29.63,Tốt
Phú Ninh,2022-12-22,61.92,68.55,0,0,0,0,68.55,Vừa Phải
Phú Ninh,2022-12-23,43.5,48.03,0,0,0,0,48.03,Tốt
Phú Ninh,2022-12-24,47.33,53.33,0,0,0,0,53.33,Vừa Phải
Phú Ninh,2022-12-25,60.9,64.62,0,0,0,0,64.62,Vừa Phải
Phú Ninh,2022-12-26,23.9,27.37,0,0,0,0,27.37,Tốt
