địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Phúc Thọ,6/11/2022,280.17,254.0,0,0,0,0,280.17,Rất không tốt
Phúc Thọ,7/11/2022,307.83,287.0,0,0,0,0,307.83,Nguy hiểm
Phúc Thọ,8/11/2022,274.83,249.17,0,0,0,0,274.83,Rất không tốt
Phúc Thọ,9/11/2022,197.33,159.17,0,0,0,0,197.33,Không tốt
Phúc Thọ,10/11/2022,227.17,195.5,0,0,0,0,227.17,Rất không tốt
Phúc Thọ,11/11/2022,177.83,141.17,0,0,0,0,177.83,Không tốt
Phúc Thọ,12/11/2022,137.17,93.83,0,0,0,0,137.17,Không tốt cho người nhạy cảm
Phúc Thọ,13/11/2022,151.83,109.0,0,0,0,0,151.83,Không tốt
Phúc Thọ,14/11/2022,294.83,273.17,0,0,0,0,294.83,Rất không tốt
Phúc Thọ,15/11/2022,146.17,103.83,0,0,0,0,146.17,Không tốt cho người nhạy cảm
Phúc Thọ,16/11/2022,115.0,69.67,0,0,0,0,115.0,Không tốt cho người nhạy cảm
Phúc Thọ,17/11/2022,97.0,50.33,0,0,0,0,97.0,Vừa Phải
Phúc Thọ,18/11/2022,118.17,73.17,0,0,0,0,118.17,Không tốt cho người nhạy cảm
Phúc Thọ,19/11/2022,120.5,75.33,0,0,0,0,120.5,Không tốt cho người nhạy cảm
Phúc Thọ,20/11/2022,149.5,108.67,0,0,0,0,149.5,Không tốt cho người nhạy cảm
Phúc Thọ,21/11/2022,248.83,220.33,0,0,0,0,248.83,Rất không tốt
Phúc Thọ,22/11/2022,222.67,189.0,0,0,0,0,222.67,Rất không tốt
Phúc Thọ,23/11/2022,179.67,138.33,0,0,0,0,179.67,Không tốt
Phúc Thọ,6/12/2022,207.17,174.17,0,0,0,0,207.17,Rất không tốt
Phúc Thọ,7/12/2022,212.0,182.33,0,0,0,0,212.0,Rất không tốt
Phúc Thọ,8/12/2022,193.67,160.67,0,0,0,0,193.67,Không tốt
Phúc Thọ,9/12/2022,188.0,155.5,0,0,0,0,188.0,Không tốt
Phúc Thọ,10/12/2022,177.0,141.33,0,0,0,0,177.0,Không tốt
Phúc Thọ,11/12/2022,218.5,185.83,0,0,0,0,218.5,Rất không tốt
Phúc Thọ,12/12/2022,246.33,219.67,0,0,0,0,246.33,Rất không tốt
Phúc Thọ,13/12/2022,257.33,231.5,0,0,0,0,257.33,Rất không tốt
Phúc Thọ,14/12/2022,253.83,227.33,0,0,0,0,253.83,Rất không tốt
Phúc Thọ,15/12/2022,285.67,258.33,0,0,0,0,285.67,Rất không tốt
Phúc Thọ,16/12/2022,364.5,356.83,0,0,0,0,364.5,Nguy hiểm
Phúc Thọ,17/12/2022,157.5,121.0,0,0,0,0,157.5,Không tốt
Phúc Thọ,18/12/2022,208.83,176.33,0,0,0,0,208.83,Rất không tốt
