địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Phạm Văn Đồng,2020-06-20,100.9,51.0,0.0,12.0,0.0,7.0,100.9,Nguy hiểm
Phạm Văn Đồng,2020-06-21,26.76,52.0,0.0,13.0,0.0,8.0,52.0,Vừa Phải
Phạm Văn Đồng,2020-06-22,37.75,46.0,0.0,18.0,0.0,8.0,46.0,Tốt
Phạm Văn Đồng,2020-06-23,173.11,48.0,0.0,15.0,0.0,12.0,173.11,Không tốt
Phạm Văn Đồng,2020-06-24,210.58,67.0,0.0,22.0,0.0,12.0,210.58,Rất không tốt
Phạm Văn Đồng,2020-06-25,235.35,52.0,0.0,14.0,0.0,10.0,235.35,Rất không tốt
Phạm Văn Đồng,2020-06-26,122.8,44.0,0.0,14.0,0.0,9.0,122.8,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-06-27,184.71,48.0,0.0,12.0,0.0,7.0,184.71,Không tốt
Phạm Văn Đồng,2020-06-28,46.15,52.0,0.0,15.0,0.0,11.0,52.0,Vừa Phải
Phạm Văn Đồng,2020-06-29,69.58,53.0,0.0,13.0,0.0,8.0,69.58,Vừa Phải
Phạm Văn Đồng,2020-06-30,157.52,59.0,0.0,15.0,0.0,6.0,157.52,Không tốt
Phạm Văn Đồng,2020-07-01,144.69,56.0,0.0,19.0,0.0,6.0,144.69,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-07-02,175.02,49.0,0.0,18.0,0.0,8.0,175.02,Không tốt
Phạm Văn Đồng,2020-07-03,72.7,40.0,0.0,16.0,0.0,7.0,72.7,Vừa Phải
Phạm Văn Đồng,2020-07-04,147.13,48.0,0.0,17.0,0.0,5.0,147.13,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-07-05,328.96,50.0,0.0,18.0,0.0,4.0,328.96,Nguy hiểm
Phạm Văn Đồng,2020-07-06,72.28,47.0,0.0,20.0,0.0,5.0,72.28,Vừa Phải
Phạm Văn Đồng,2020-07-07,139.0,49.0,0.0,20.0,0.0,5.0,139.0,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-07-08,50.22,50.0,0.0,19.0,0.0,7.0,50.22,Nguy hiểm
Phạm Văn Đồng,2020-07-09,39.97,52.0,0.0,17.0,0.0,9.0,52.0,Vừa Phải
Phạm Văn Đồng,2020-07-10,38.29,57.0,0.0,10.0,0.0,6.0,57.0,Vừa Phải
Phạm Văn Đồng,2020-07-11,54.62,64.0,0.0,17.0,0.0,7.0,64.0,Vừa Phải
Phạm Văn Đồng,2020-07-12,258.95,61.0,0.0,20.0,0.0,5.0,258.95,Rất không tốt
Phạm Văn Đồng,2020-07-13,74.22,59.0,0.0,24.0,0.0,6.0,74.22,Vừa Phải
Phạm Văn Đồng,2020-07-14,180.68,56.0,0.0,19.0,0.0,4.0,180.68,Không tốt
Phạm Văn Đồng,2020-07-15,148.35,56.0,0.0,16.0,0.0,4.0,148.35,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-07-16,98.11,56.0,0.0,18.0,0.0,4.0,98.11,Vừa Phải
Phạm Văn Đồng,2020-07-17,122.17,55.0,0.0,18.0,0.0,5.0,122.17,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-07-18,135.08,52.0,0.0,13.0,0.0,4.0,135.08,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-07-19,86.32,53.0,0.0,11.0,0.0,5.0,86.32,Vừa Phải
Phạm Văn Đồng,2020-07-20,60.48,56.0,0.0,12.0,0.0,4.0,60.48,Vừa Phải
Phạm Văn Đồng,2020-07-21,87.4,49.0,0.0,14.0,0.0,3.0,87.4,Vừa Phải
Phạm Văn Đồng,2020-07-22,58.4,53.0,0.0,13.0,0.0,4.0,58.4,Vừa Phải
Phạm Văn Đồng,2020-07-23,85.01,55.0,0.0,16.0,0.0,3.0,85.01,Vừa Phải
Phạm Văn Đồng,2020-07-24,49.73,55.0,0.0,19.0,0.0,4.0,55.0,Vừa Phải
Phạm Văn Đồng,2020-07-25,107.32,50.0,0.0,15.0,0.0,4.0,107.32,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-07-26,54.34,74.0,0.0,16.0,0.0,6.0,74.0,Vừa Phải
Phạm Văn Đồng,2020-07-27,59.2,103.0,0.0,22.0,0.0,7.0,103.0,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-07-28,31.28,74.0,0.0,22.0,0.0,7.0,74.0,Vừa Phải
Phạm Văn Đồng,2020-07-29,60.28,65.0,0.0,27.0,0.0,5.0,65.0,Vừa Phải
Phạm Văn Đồng,2020-07-30,24.17,59.0,0.0,20.0,0.0,6.0,59.0,Vừa Phải
Phạm Văn Đồng,2020-07-31,46.32,66.0,0.0,10.0,0.0,3.0,66.0,Vừa Phải
Phạm Văn Đồng,2020-08-01,99.89,51.0,0.0,4.0,0.0,3.0,99.89,Vừa Phải
Phạm Văn Đồng,2020-08-02,128.96,55.0,0.0,6.0,0.0,6.0,128.96,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-08-03,92.89,61.0,0.0,10.0,0.0,7.0,92.89,Vừa Phải
Phạm Văn Đồng,2020-08-04,133.55,62.0,0.0,11.0,0.0,7.0,133.55,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-08-05,63.66,56.0,0.0,8.0,0.0,7.0,63.66,Vừa Phải
Phạm Văn Đồng,2020-08-06,80.95,56.0,0.0,13.0,0.0,9.0,80.95,Vừa Phải
Phạm Văn Đồng,2020-08-07,60.82,56.0,0.0,14.0,0.0,4.0,60.82,Vừa Phải
Phạm Văn Đồng,2020-08-08,84.87,53.0,0.0,19.0,0.0,4.0,84.87,Vừa Phải
Phạm Văn Đồng,2020-08-09,80.56,55.0,0.0,25.0,0.0,6.0,80.56,Vừa Phải
Phạm Văn Đồng,2020-08-10,55.67,52.0,0.0,18.0,0.0,5.0,55.67,Vừa Phải
Phạm Văn Đồng,2020-08-11,39.04,59.0,0.0,16.0,0.0,5.0,59.0,Vừa Phải
Phạm Văn Đồng,2020-08-12,74.31,50.0,0.0,10.0,0.0,4.0,74.31,Vừa Phải
Phạm Văn Đồng,2020-08-13,89.1,57.0,0.0,7.0,0.0,5.0,89.1,Vừa Phải
Phạm Văn Đồng,2020-08-14,69.25,55.0,0.0,9.0,0.0,5.0,69.25,Vừa Phải
Phạm Văn Đồng,2020-08-15,98.65,55.0,0.0,12.0,0.0,6.0,98.65,Vừa Phải
Phạm Văn Đồng,2020-08-16,143.07,55.0,0.0,10.0,0.0,7.0,143.07,Không tốt cho người nhạy cảm
Phạm Văn Đồng,2020-08-17,81.63,59.0,0.0,11.0,0.0,7.0,81.63,Vừa Phải
