địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Pleiku,21/06/2020,0.0,21.0,23.0,10.0,4.0,2.0,23.0,Tốt
Pleiku,22/06/2020,23.0,24.0,24.0,9.0,3.0,2.0,24.0,Tốt
Pleiku,23/06/2020,31.0,25.0,21.0,9.0,3.0,2.0,31.0,Tốt
Pleiku,24/06/2020,30.0,24.0,22.0,8.0,3.0,2.0,30.0,Tốt
Pleiku,25/06/2020,27.0,22.0,19.0,9.0,4.0,3.0,27.0,Tốt
Pleiku,26/06/2020,23.0,17.0,22.0,7.0,4.0,1.0,23.0,Tốt
Pleiku,27/06/2020,22.0,19.0,20.0,7.0,4.0,2.0,22.0,Tốt
Pleiku,28/06/2020,25.0,9.0,16.0,6.0,4.0,2.0,25.0,Tốt
Pleiku,29/06/2020,10.0,8.0,16.0,4.0,5.0,2.0,16.0,Tốt
Pleiku,30/06/2020,6.0,11.0,14.0,4.0,5.0,2.0,14.0,Tốt
Pleiku,01/07/2020,9.0,14.0,17.0,5.0,4.0,2.0,17.0,Tốt
Pleiku,02/07/2020,14.0,11.0,14.0,5.0,4.0,2.0,14.0,Tốt
Pleiku,03/07/2020,10.0,14.0,11.0,5.0,4.0,3.0,14.0,Tốt
Pleiku,04/07/2020,11.0,15.0,14.0,5.0,4.0,1.0,15.0,Tốt
Pleiku,05/07/2020,14.0,17.0,14.0,8.0,4.0,3.0,17.0,Tốt
Pleiku,06/07/2020,17.0,17.0,18.0,8.0,3.0,3.0,18.0,Tốt
Pleiku,07/07/2020,19.0,22.0,23.0,7.0,1.0,2.0,23.0,Tốt
Pleiku,08/07/2020,24.0,21.0,17.0,8.0,1.0,2.0,24.0,Tốt
Pleiku,09/07/2020,24.0,24.0,21.0,7.0,1.0,2.0,24.0,Tốt
Pleiku,10/07/2020,30.0,22.0,25.0,7.0,1.0,2.0,30.0,Tốt
Pleiku,11/07/2020,29.0,22.0,23.0,8.0,0.0,2.0,29.0,Tốt
Pleiku,12/07/2020,28.0,14.0,21.0,6.0,2.0,2.0,28.0,Tốt
Pleiku,13/07/2020,17.0,12.0,19.0,6.0,1.0,1.0,19.0,Tốt
Pleiku,14/07/2020,15.0,21.0,21.0,9.0,3.0,2.0,21.0,Tốt
Pleiku,15/07/2020,23.0,21.0,21.0,8.0,1.0,2.0,23.0,Tốt
Pleiku,16/07/2020,26.0,17.0,17.0,7.0,2.0,2.0,26.0,Tốt
Pleiku,17/07/2020,17.0,20.0,15.0,7.0,1.0,2.0,20.0,Tốt
Pleiku,18/07/2020,25.0,17.0,19.0,8.0,1.0,2.0,25.0,Tốt
Pleiku,19/07/2020,18.0,22.0,20.0,8.0,1.0,2.0,22.0,Tốt
Pleiku,20/07/2020,26.0,16.0,17.0,6.0,1.0,1.0,26.0,Tốt
Pleiku,21/07/2020,18.0,17.0,19.0,6.0,1.0,2.0,19.0,Tốt
Pleiku,22/07/2020,21.0,22.0,17.0,7.0,1.0,2.0,22.0,Tốt
Pleiku,23/07/2020,22.0,17.0,16.0,7.0,1.0,3.0,22.0,Tốt
Pleiku,24/07/2020,20.0,18.0,16.0,7.0,1.0,2.0,20.0,Tốt
Pleiku,25/07/2020,21.0,26.0,20.0,8.0,1.0,2.0,26.0,Tốt
Pleiku,26/07/2020,30.0,18.0,20.0,8.0,2.0,2.0,30.0,Tốt
Pleiku,27/07/2020,20.0,22.0,20.0,8.0,1.0,2.0,22.0,Tốt
Pleiku,28/07/2020,22.0,17.0,17.0,6.0,1.0,1.0,22.0,Tốt
Pleiku,29/07/2020,19.0,14.0,16.0,7.0,1.0,2.0,19.0,Tốt
Pleiku,30/07/2020,14.0,10.0,16.0,6.0,1.0,2.0,16.0,Tốt
Pleiku,31/07/2020,8.0,3.0,18.0,2.0,2.0,1.0,18.0,Tốt
Pleiku,01/08/2020,3.0,4.0,14.0,2.0,2.0,1.0,14.0,Tốt
Pleiku,02/08/2020,4.0,5.0,13.0,2.0,1.0,1.0,13.0,Tốt
Pleiku,03/08/2020,5.0,7.0,12.0,3.0,1.0,2.0,12.0,Tốt
Pleiku,04/08/2020,7.0,12.0,8.0,5.0,1.0,2.0,12.0,Tốt
Pleiku,05/08/2020,10.0,10.0,11.0,6.0,1.0,3.0,11.0,Tốt
Pleiku,06/08/2020,10.0,10.0,11.0,4.0,1.0,1.0,11.0,Tốt
Pleiku,07/08/2020,10.0,0.0,0.0,0.0,0.0,0.0,10.0,Tốt
Pleiku,08/08/2020,0.0,7.0,10.0,3.0,1.0,1.0,10.0,Tốt
Pleiku,09/08/2020,6.0,7.0,11.0,3.0,2.0,2.0,11.0,Tốt
Pleiku,10/08/2020,5.0,8.0,13.0,4.0,1.0,2.0,13.0,Tốt
Pleiku,11/08/2020,6.0,9.0,12.0,6.0,2.0,2.0,12.0,Tốt
Pleiku,12/08/2020,9.0,14.0,14.0,7.0,2.0,3.0,14.0,Tốt
Pleiku,13/08/2020,16.0,11.0,13.0,5.0,3.0,2.0,16.0,Tốt
Pleiku,14/08/2020,11.0,12.0,11.0,4.0,3.0,2.0,12.0,Tốt
Pleiku,15/08/2020,11.0,21.0,10.0,4.0,3.0,2.0,21.0,Tốt
Pleiku,16/08/2020,19.0,26.0,11.0,4.0,3.0,2.0,26.0,Tốt
Pleiku,17/08/2020,20.0,22.0,12.0,6.0,4.0,2.0,22.0,Tốt
