date, pm25, pm10, so2
2023-11-18,40,51,25
2023-11-19,44,52,25
2023-11-20,54,50,26
2023-11-21,59,48,27
2023-11-22,58,14,27
2023-11-23,19,33,27
2023-11-24,46,50,27
2023-11-25,72, , 
2023-10-01,20,26,25
2023-10-02,19,25,26
2023-10-03,22, , 
2023-07-01,11,11, 
2023-07-02,8,9, 
2023-07-03,5,7, 
2023-07-04,4,10, 
2023-07-05,9,11, 
2023-07-06,10,19, 
2023-07-07,20,21, 
2023-07-08,22,21, 
2023-07-09,22,16, 
2023-07-10,17,11, 
2023-07-11,11,14, 
2023-07-12,15,16, 
2023-07-13,14,20, 
2023-07-14,15,22, 
2023-07-15,15,29, 
2023-07-16,25,38, 
2023-07-17,31,21, 
2023-07-18,19,14, 
2023-07-19,14,34, 
2023-07-20,19,17, 
2023-07-21,12,15, 
2023-07-22,11,8, 
2023-07-23,6,10, 
2023-07-24,7,15, 
2023-07-25,9,13, 
2023-07-26,13,14, 
2023-07-27,11,10, 
2023-07-28,9,9, 
2023-07-29,7,10, 
2023-07-30,9,10, 
2023-07-31,8,9, 
2023-08-01,8,5, 
2023-08-02,4,5, 
2023-08-03,4,8, 
2023-08-04,7,17, 
2023-08-05,15,18, 
2023-08-06,16,16, 
2023-08-07,16,15, 
2023-08-08,15,12, 
2023-08-09,11,17, 
2023-08-10,17,20, 
2023-08-11,19,21, 
2023-08-12,23,26, 
2023-08-13,22,25, 
2023-08-14,22,21, 
2023-08-15,20,27, 
2023-08-16,25,27, 
2023-08-17,21,20, 
2023-08-18,24,30, 
2023-08-19,28,27, 
2023-08-20,27,41, 
2023-08-21,35,19, 
2023-08-22,12,14, 
2023-08-23,11,12, 
2023-08-24,12,15, 
2023-08-25,13,11, 
2023-08-26,10,15, 
2023-08-27,10,22, 
2023-08-28,23,28, 
2023-08-29,25,20, 
2023-08-30,25,30, 
2023-08-31,37,46, 
2023-09-01,51,41, 
2023-09-02,54,42, 
2023-09-03,45,21, 
2023-09-04,22,25, 
2023-09-05,23,44, 
2023-09-06,58,40, 
2023-09-07,48,35, 
2023-09-08,42,34, 
2023-09-09,29,10, 
2023-09-10,9,6,6
2023-09-11,4,6, 
2023-09-12,5,17, 
2023-09-13,14,16, 
2023-09-14,15,21, 
2023-09-15,14,37, 
2023-09-16,24,44, 
2023-09-17,22,20, 
2023-09-18,11,18,18
2023-09-19,10,12,17
2023-09-20,13,14,15
2023-09-21,11,23,14
2023-09-22,12,30,13
2023-09-23,14,25,18
2023-09-24,19,20,25
2023-09-25,15,14,25
2023-09-26,14,14,25
2023-09-27,9,15,25
2023-09-28,9,20,25
2023-09-29,10,20,25
2023-09-30,13,28,25
2023-04-01,40,24,7
2023-04-02,35,29,7
2023-04-03,42,35,9
2023-04-04,52,54,8
2023-04-05,84,57,8
2023-04-06,83,39,8
2023-04-07,40,15,8
2023-04-08,12,23,8
2023-04-09,18,23,8
2023-04-10,34,34,8
2023-04-11,46,26,8
2023-04-12,35,28,8
2023-04-13,35,34,8
2023-04-14,46,30,8
2023-04-15,41,50,8
2023-04-16,66,33,8
2023-04-17,48,39,8
2023-04-18,58,55,8
2023-04-19,81,52,8
2023-04-20,76,48,8
2023-04-21,68,43,7
2023-04-22,67,34,7
2023-04-23,48,34,7
2023-04-24,47,23,7
2023-04-25,23,23,7
2023-04-26,25,23,8
2023-04-27,27,17,7
2023-04-28,21,22,7
2023-04-29,24,28,8
2023-04-30,25,53,8
2023-05-01,43,26,7
2023-05-02,25,18,7
2023-05-03,23,25,7
2023-05-04,33,40,7
2023-05-05,53,43,7
2023-05-06,58,46,8
2023-05-07,63,19,7
2023-05-08,18,30,7
2023-05-09,25,16,8
2023-05-10,16,21,10
2023-05-11,15,14,10
2023-05-12,9,15,10
2023-05-13,17,25,10
2023-05-14,29,21,11
2023-05-15,28,35,11
2023-05-16,47,47,11
2023-05-17,61,50,11
2023-05-18,68, , 
2023-05-21,51,44, 
2023-05-22,56,42, 
2023-05-23,51,36, 
2023-05-24,41,19, 
2023-05-25,25,16, 
2023-05-26,19,19, 
2023-05-27,23,12, 
2023-05-28,12,22, 
2023-05-29,18,17, 
2023-05-30,15,19, 
2023-05-31,22,23, 
2023-06-01,27,24, 
2023-06-02,27,33, 
2023-06-03,35,21, 
2023-06-04,24,29, 
2023-06-05,26,22, 
2023-06-06,18,18, 
2023-06-07,15,13, 
2023-06-08,14,18, 
2023-06-09,15,15, 
2023-06-10,14,13, 
2023-06-11,14,13, 
2023-06-12,13,17, 
2023-06-13,19,16, 
2023-06-14,18,14, 
2023-06-15,14,17, 
2023-06-16,16,11, 
2023-06-17,9,9, 
2023-06-18,7,11, 
2023-06-19,8,10, 
2023-06-20,10,14, 
2023-06-21,13,14, 
2023-06-22,13,21, 
2023-06-23,21,19, 
2023-06-24,19,22, 
2023-06-25,19,23, 
2023-06-26,18,15, 
2023-06-27,17,16, 
2023-06-28,16,16, 
2023-06-29,18,16, 
2023-06-30,18,13, 
2023-03-14,73,42,7
2023-03-15,46,19,7
2023-03-16,21,17,7
2023-03-17,21,16,7
2023-03-18,19,14,7
2023-03-19,17,22,7
2023-03-20,29,40,7
2023-03-21,64,64,7
2023-03-22,123,60,7
2023-03-23,109,54,7
2023-03-24,92,44,7
2023-03-25,61,24,7
2023-03-26,31,9,7
2023-03-27,10,14,8
2023-03-28,12,23,7
2023-03-29,20,37,7
2023-03-30,32,25,7
2023-03-31,23,35,7
2023-11-17, ,54,24
2023-05-20, ,39, 
2023-03-13, ,69,8
