date, pm25, pm10, so2
2023/11/18, 40, 51, 25
2023/11/19, 44, 52, 25
2023/11/20, 54, 50, 26
2023/11/21, 59, 48, 27
2023/11/22, 58, 14, 27
2023/11/23, 19, 33, 27
2023/11/24, 46, 50, 27
2023/11/25, 72, , 
2023/10/1, 20, 26, 25
2023/10/2, 19, 25, 26
2023/10/3, 22, , 
2023/7/1, 11, 11, 
2023/7/2, 8, 9, 
2023/7/3, 5, 7, 
2023/7/4, 4, 10, 
2023/7/5, 9, 11, 
2023/7/6, 10, 19, 
2023/7/7, 20, 21, 
2023/7/8, 22, 21, 
2023/7/9, 22, 16, 
2023/7/10, 17, 11, 
2023/7/11, 11, 14, 
2023/7/12, 15, 16, 
2023/7/13, 14, 20, 
2023/7/14, 15, 22, 
2023/7/15, 15, 29, 
2023/7/16, 25, 38, 
2023/7/17, 31, 21, 
2023/7/18, 19, 14, 
2023/7/19, 14, 34, 
2023/7/20, 19, 17, 
2023/7/21, 12, 15, 
2023/7/22, 11, 8, 
2023/7/23, 6, 10, 
2023/7/24, 7, 15, 
2023/7/25, 9, 13, 
2023/7/26, 13, 14, 
2023/7/27, 11, 10, 
2023/7/28, 9, 9, 
2023/7/29, 7, 10, 
2023/7/30, 9, 10, 
2023/7/31, 8, 9, 
2023/8/1, 8, 5, 
2023/8/2, 4, 5, 
2023/8/3, 4, 8, 
2023/8/4, 7, 17, 
2023/8/5, 15, 18, 
2023/8/6, 16, 16, 
2023/8/7, 16, 15, 
2023/8/8, 15, 12, 
2023/8/9, 11, 17, 
2023/8/10, 17, 20, 
2023/8/11, 19, 21, 
2023/8/12, 23, 26, 
2023/8/13, 22, 25, 
2023/8/14, 22, 21, 
2023/8/15, 20, 27, 
2023/8/16, 25, 27, 
2023/8/17, 21, 20, 
2023/8/18, 24, 30, 
2023/8/19, 28, 27, 
2023/8/20, 27, 41, 
2023/8/21, 35, 19, 
2023/8/22, 12, 14, 
2023/8/23, 11, 12, 
2023/8/24, 12, 15, 
2023/8/25, 13, 11, 
2023/8/26, 10, 15, 
2023/8/27, 10, 22, 
2023/8/28, 23, 28, 
2023/8/29, 25, 20, 
2023/8/30, 25, 30, 
2023/8/31, 37, 46, 
2023/9/1, 51, 41, 
2023/9/2, 54, 42, 
2023/9/3, 45, 21, 
2023/9/4, 22, 25, 
2023/9/5, 23, 44, 
2023/9/6, 58, 40, 
2023/9/7, 48, 35, 
2023/9/8, 42, 34, 
2023/9/9, 29, 10, 
2023/9/10, 9, 6, 6
2023/9/11, 4, 6, 
2023/9/12, 5, 17, 
2023/9/13, 14, 16, 
2023/9/14, 15, 21, 
2023/9/15, 14, 37, 
2023/9/16, 24, 44, 
2023/9/17, 22, 20, 
2023/9/18, 11, 18, 18
2023/9/19, 10, 12, 17
2023/9/20, 13, 14, 15
2023/9/21, 11, 23, 14
2023/9/22, 12, 30, 13
2023/9/23, 14, 25, 18
2023/9/24, 19, 20, 25
2023/9/25, 15, 14, 25
2023/9/26, 14, 14, 25
2023/9/27, 9, 15, 25
2023/9/28, 9, 20, 25
2023/9/29, 10, 20, 25
2023/9/30, 13, 28, 25
2023/4/1, 40, 24, 7
2023/4/2, 35, 29, 7
2023/4/3, 42, 35, 9
2023/4/4, 52, 54, 8
2023/4/5, 84, 57, 8
2023/4/6, 83, 39, 8
2023/4/7, 40, 15, 8
2023/4/8, 12, 23, 8
2023/4/9, 18, 23, 8
