date, pm25, pm10, o3, no2, so2, co
6/21/2020, ,40,22,6,8,1
6/22/2020,51,27,18,5,8,1
6/23/2020,32, , , , , 
6/28/2020, ,35,13,5,9,1
6/29/2020,35,31,21,5,8,1
6/30/2020,35,39,9,9,7,1
7/1/2020,46,38,27,10,7,1
7/2/2020,53, , , , , 
7/5/2020, ,27,138,4,6,1
7/6/2020,28,29,130,4,7,1
7/7/2020,32,30,128,5,7,1
7/8/2020,32,35,78,7,8,1
7/9/2020,33,31,159, ,6,1
7/10/2020,31,44,103,8,7,1
7/11/2020,54,41,135,6,6,1
7/12/2020,50,33,113,4,7,1
7/13/2020,36,36,89,5,7,1
7/14/2020,48,31,153,4,7,1
7/15/2020,37,32,135,6,7,1
7/16/2020,33,30,136,4,7,1
7/17/2020,30,32,107,3,7,1
7/18/2020,34,35,125,4,7,1
7/19/2020,39,29,118,5,7,1
7/20/2020,29,19,120,6,7,1
7/21/2020,22,18,102, ,7,1
7/22/2020,19,20,10, ,7,1
7/23/2020,21,23,29,3,7,1
7/24/2020,26,34,125,3,7,1
7/25/2020,39,29,122,5,7,1
7/26/2020,34,50,113, ,7,2
7/27/2020,76,42,131, ,8,2
7/28/2020,60,35,157,10,6,2
7/29/2020,44,46,225,10,5,1
7/30/2020,57,34,167,7,5,1
7/31/2020,47,27, ,4,6,1
8/1/2020,35,8, ,2,6,1
8/2/2020,10,7, ,4,7,1
8/3/2020,8,15, ,8,7,1
8/4/2020,16,16, ,9,8,1
8/5/2020,18,15, ,9,8,1
8/6/2020,14,14, ,7,8,1
8/7/2020,16,20, ,6,7,1
8/8/2020,21,23, ,6,7,1
8/9/2020,22,27, ,6,7,1
8/10/2020,28,16, ,5,7,2
8/11/2020,17,22, ,6,7,1
8/12/2020,23,13, ,10,8,1
8/13/2020,14,15, ,9,9,1
8/14/2020,16,19, ,13,9,1
8/15/2020,18,20, ,8,9,1
8/16/2020,18,16, ,12,9,1
8/17/2020,13,12, ,9,10,1
8/18/2020,11,25, ,8,9,1
8/19/2020,22,34, ,8,8,1
8/20/2020,34,39, ,15,9,1
8/21/2020,31,42, ,6,8,1
8/22/2020,34,31, ,7,8,1
8/23/2020,34,31, ,5,7,1
8/24/2020,31,42, ,8,7,1
8/25/2020,44,41, ,7,8,1
8/26/2020,45,52, ,11,7,1
8/27/2020,66,55, ,11,8,1
8/28/2020,65,51, ,10,7,1
8/29/2020,47,48, ,7,7,1
8/30/2020,54,58, ,8,7,1
8/31/2020,73,60, ,7,8,2
9/1/2020,88,59, ,6,9,2
9/2/2020,97, , ,13,10,3
9/3/2020, , , ,8,8,1
9/4/2020, , , ,7,8,1
