date, pm25
2023-07-01,59
2023-07-02,45
2023-07-03,68
2023-07-04,66
2023-07-05,116
2023-07-06,95
2023-07-07,76
2023-07-08,42
2023-07-09,49
2023-07-10,83
2023-07-11,63
2023-07-12,71
2023-07-13,68
2023-07-14,70
2023-07-15,75
2023-07-16,54
2023-04-01,63
2023-04-02,58
2023-04-03,50
2023-04-04,64
2023-04-05,27
2023-04-06,39
2023-04-07,32
2023-04-08,51
2023-04-09,87
2023-04-10,93
2023-04-11,82
2023-04-12,84
2023-04-13,92
2023-04-15,225
2023-04-16,252
2023-04-28,75
2023-05-09,93
2023-05-10,78
2023-05-11,57
2023-05-12,66
2023-05-13,64
2023-05-14,35
2023-05-15,60
2023-05-16,57
2023-05-17,76
2023-05-18,72
2023-05-19,73
2023-05-20,72
2023-05-21,61
2023-05-22,66
2023-05-23,59
2023-05-24,64
2023-05-25,64
2023-05-26,67
2023-05-27,83
2023-05-28,81
2023-05-29,61
2023-05-30,52
2023-05-31,51
2023-06-01,51
2023-06-02,59
2023-06-03,54
2023-06-04,37
2023-06-05,58
2023-06-06,57
2023-06-07,51
2023-06-08,52
2023-06-09,50
2023-06-10,48
2023-06-11,37
2023-06-12,51
2023-06-13,54
2023-06-14,59
2023-06-15,56
2023-06-16,62
2023-06-17,64
2023-06-18,52
2023-06-19,73
2023-06-20,60
2023-06-21,66
2023-06-22,60
2023-06-23,68
2023-06-24,62
2023-06-25,73
2023-06-26,60
2023-06-27,70
2023-06-28,58
2023-06-29,53
2023-06-30,59
2023-01-02,87
2023-01-03,87
2023-01-04,52
2023-01-05,50
2023-01-06,53
2023-01-07,53
2023-01-08,82
2023-01-09,91
2023-01-10,53
2023-01-11,57
2023-01-12,48
2023-01-13,65
2023-01-14,89
2023-01-15,98
2023-01-16,88
2023-01-17,102
2023-01-18,95
2023-01-19,77
2023-01-20,84
2023-01-21,71
2023-01-22,87
2023-01-23,52
2023-01-24,50
2023-01-25,53
2023-01-26,61
2023-01-27,79
2023-01-28,41
2023-01-29,66
2023-01-30,81
2023-01-31,101
2023-02-01,125
2023-02-02,88
2023-02-03,58
2023-02-04,62
2023-02-05,61
2023-02-06,58
2023-02-07,55
2023-02-08,70
2023-02-09,61
2023-02-10,59
2023-02-11,67
2023-02-12,62
2023-02-13,55
2023-02-14,70
2023-02-15,77
2023-02-16,93
2023-02-17,88
2023-02-18,106
2023-02-19,83
2023-02-20,80
2023-02-21,92
2023-02-22,112
2023-02-23,115
2023-02-24,103
2023-02-25,122
2023-02-26,95
2023-02-27,86
2023-02-28,78
2023-03-01,95
2023-03-02,96
2023-03-03,109
2023-03-04,129
2023-03-05,115
2023-03-06,122
2023-03-07,112
2023-03-08,101
2023-03-09,86
2023-03-10,113
2023-03-11,104
2023-03-12,87
2023-03-13,94
2023-03-14,101
2023-03-15,76
2023-03-16,71
2023-03-17,76
2023-03-18,61
2023-03-19,60
2023-03-20,57
2023-03-21,62
2023-03-22,58
2023-03-23,51
2023-03-24,55
2023-03-25,46
2023-03-26,55
2023-03-27,41
2023-03-28,57
2023-03-29,63
2023-03-30,60
2023-03-31,58
2022-10-01,51
2022-10-02,70
2022-10-03,57
2022-10-04,72
2022-10-05,54
2022-10-06,62
2022-10-12,70
2022-10-13,83
2022-10-14,81
2022-10-15,90
2022-10-26,62
2022-10-27,78
2022-10-28,88
2022-10-29,73
2022-10-30,63
