date,pm25,pm10,o3,no2,so2,co
11/02/2016,68,0,0,0,0,0
12/02/2016,54,0,0,0,0,0
13/02/2016,54,0,0,0,0,0
14/02/2016,54,0,0,0,0,0
15/02/2016,59,0,0,0,0,0
16/02/2016,95,0,0,0,0,0
17/02/2016,100,0,0,0,0,0
18/02/2016,105,0,0,0,0,0
19/02/2016,112,0,0,0,0,0
20/02/2016,98,0,0,0,0,0
21/02/2016,109,0,0,0,0,0
22/02/2016,99,0,0,0,0,0
23/02/2016,94,0,0,0,0,0
24/02/2016,108,0,0,0,0,0
25/02/2016,103,0,0,0,0,0
26/02/2016,80,0,0,0,0,0
27/02/2016,71,0,0,0,0,0
28/02/2016,99,0,0,0,0,0
29/02/2016,106,0,0,0,0,0
1/03/2016,111,0,0,0,0,0
2/03/2016,125,0,0,0,0,0
3/03/2016,115,0,0,0,0,0
4/03/2016,89,0,0,0,0,0
5/03/2016,84,0,0,0,0,0
6/03/2016,69,0,0,0,0,0
7/03/2016,66,0,0,0,0,0
8/03/2016,72,0,0,0,0,0
9/03/2016,69,0,0,0,0,0
10/03/2016,72,0,0,0,0,0
11/03/2016,74,0,0,0,0,0
12/03/2016,73,0,0,0,0,0
13/03/2016,78,0,0,0,0,0
14/03/2016,91,0,0,0,0,0
15/03/2016,85,0,0,0,0,0
16/03/2016,78,0,0,0,0,0
17/03/2016,75,0,0,0,0,0
18/03/2016,71,0,0,0,0,0
19/03/2016,78,0,0,0,0,0
20/03/2016,82,0,0,0,0,0
21/03/2016,76,0,0,0,0,0
22/03/2016,73,0,0,0,0,0
23/03/2016,85,0,0,0,0,0
24/03/2016,80,0,0,0,0,0
25/03/2016,85,0,0,0,0,0
26/03/2016,114,0,0,0,0,0
27/03/2016,106,0,0,0,0,0
28/03/2016,117,0,0,0,0,0
29/03/2016,136,0,0,0,0,0
30/03/2016,92,0,0,0,0,0
31/03/2016,75,0,0,0,0,0
1/04/2016,67,0,0,0,0,0
2/04/2016,70,0,0,0,0,0
3/04/2016,73,0,0,0,0,0
4/04/2016,68,0,0,0,0,0
5/04/2016,72,0,0,0,0,0
6/04/2016,70,0,0,0,0,0
7/04/2016,67,0,0,0,0,0
8/04/2016,68,0,0,0,0,0
9/04/2016,64,0,0,0,0,0
10/04/2016,75,0,0,0,0,0
11/04/2016,85,0,0,0,0,0
12/04/2016,86,0,0,0,0,0
13/04/2016,94,0,0,0,0,0
14/04/2016,97,0,0,0,0,0
15/04/2016,111,0,0,0,0,0
16/04/2016,101,0,0,0,0,0
17/04/2016,95,0,0,0,0,0
18/04/2016,83,0,0,0,0,0
19/04/2016,68,0,0,0,0,0
20/04/2016,75,0,0,0,0,0
21/04/2016,66,0,0,0,0,0
22/04/2016,55,0,0,0,0,0
23/04/2016,50,0,0,0,0,0
24/04/2016,58,0,0,0,0,0
25/04/2016,59,0,0,0,0,0
26/04/2016,51,0,0,0,0,0
27/04/2016,62,0,0,0,0,0
28/04/2016,59,0,0,0,0,0
29/04/2016,48,0,0,0,0,0
30/04/2016,66,0,0,0,0,0
1/05/2016,64,0,0,0,0,0
2/05/2016,57,0,0,0,0,0
3/05/2016,48,0,0,0,0,0
4/05/2016,59,0,0,0,0,0
5/05/2016,59,0,0,0,0,0
6/05/2016,57,0,0,0,0,0
7/05/2016,71,0,0,0,0,0
8/05/2016,46,0,0,0,0,0
9/05/2016,48,0,0,0,0,0
10/05/2016,52,0,0,0,0,0
11/05/2016,53,0,0,0,0,0
12/05/2016,53,0,0,0,0,0
13/05/2016,68,0,0,0,0,0
14/05/2016,69,0,0,0,0,0
15/05/2016,71,0,0,0,0,0
16/05/2016,108,0,0,0,0,0
17/05/2016,112,0,0,0,0,0
18/05/2016,114,0,0,0,0,0
19/05/2016,132,0,0,0,0,0
20/05/2016,109,0,0,0,0,0
21/05/2016,117,0,0,0,0,0
22/05/2016,90,0,0,0,0,0
23/05/2016,81,0,0,0,0,0
24/05/2016,65,0,0,0,0,0
25/05/2016,63,0,0,0,0,0
26/05/2016,71,0,0,0,0,0
27/05/2016,65,0,0,0,0,0
28/05/2016,69,0,0,0,0,0
29/05/2016,68,0,0,0,0,0
30/05/2016,70,0,0,0,0,0
31/05/2016,86,0,0,0,0,0
1/06/2016,84,0,0,0,0,0
2/06/2016,60,0,0,0,0,0
3/06/2016,69,0,0,0,0,0
4/06/2016,76,0,0,0,0,0
5/06/2016,79,0,0,0,0,0
6/06/2016,76,0,0,0,0,0
7/06/2016,72,0,0,0,0,0
8/06/2016,85,0,0,0,0,0
9/06/2016,105,0,0,0,0,0
10/06/2016,80,0,0,0,0,0
11/06/2016,97,0,0,0,0,0
14/06/2016,66,0,0,0,0,0
15/06/2016,65,0,0,0,0,0
16/06/2016,69,0,0,0,0,0
17/06/2016,110,0,0,0,0,0
18/06/2016,71,0,0,0,0,0
19/06/2016,96,0,0,0,0,0
20/06/2016,87,0,0,0,0,0
21/06/2016,88,0,0,0,0,0
22/06/2016,54,0,0,0,0,0
23/06/2016,68,0,0,0,0,0
24/06/2016,129,0,0,0,0,0
25/06/2016,103,0,0,0,0,0
26/06/2016,76,0,0,0,0,0
27/06/2016,80,0,0,0,0,0
28/06/2016,56,0,0,0,0,0
29/06/2016,49,0,0,0,0,0
30/06/2016,60,0,0,0,0,0
1/07/2016,59,0,0,0,0,0
2/07/2016,86,0,0,0,0,0
3/07/2016,102,0,0,0,0,0
4/07/2016,102,0,0,0,0,0
5/07/2016,78,0,0,0,0,0
6/07/2016,72,0,0,0,0,0
7/07/2016,46,0,0,0,0,0
8/07/2016,51,0,0,0,0,0
9/07/2016,58,0,0,0,0,0
10/07/2016,64,0,0,0,0,0
11/07/2016,58,0,0,0,0,0
12/07/2016,64,0,0,0,0,0
13/07/2016,72,0,0,0,0,0
14/07/2016,67,0,0,0,0,0
15/07/2016,75,0,0,0,0,0
16/07/2016,85,0,0,0,0,0
17/07/2016,90,0,0,0,0,0
18/07/2016,76,0,0,0,0,0
19/07/2016,76,0,0,0,0,0
20/07/2016,99,0,0,0,0,0
21/07/2016,83,0,0,0,0,0
22/07/2016,98,0,0,0,0,0
23/07/2016,136,0,0,0,0,0
24/07/2016,126,0,0,0,0,0
25/07/2016,86,0,0,0,0,0
26/07/2016,75,0,0,0,0,0
27/07/2016,68,0,0,0,0,0
28/07/2016,68,0,0,0,0,0
29/07/2016,58,0,0,0,0,0
30/07/2016,63,0,0,0,0,0
31/07/2016,49,0,0,0,0,0
1/08/2016,74,0,0,0,0,0
2/08/2016,63,0,0,0,0,0
3/08/2016,86,0,0,0,0,0
4/08/2016,58,0,0,0,0,0
5/08/2016,71,0,0,0,0,0
6/08/2016,79,0,0,0,0,0
7/08/2016,54,0,0,0,0,0
8/08/2016,50,0,0,0,0,0
9/08/2016,54,0,0,0,0,0
10/08/2016,55,0,0,0,0,0
11/08/2016,66,0,0,0,0,0
12/08/2016,57,0,0,0,0,0
13/08/2016,52,0,0,0,0,0
14/08/2016,55,0,0,0,0,0
15/08/2016,44,0,0,0,0,0
16/08/2016,51,0,0,0,0,0
17/08/2016,58,0,0,0,0,0
18/08/2016,65,0,0,0,0,0
19/08/2016,58,0,0,0,0,0
20/08/2016,72,0,0,0,0,0
21/08/2016,71,0,0,0,0,0
22/08/2016,77,0,0,0,0,0
23/08/2016,104,0,0,0,0,0
24/08/2016,92,0,0,0,0,0
