,địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
0,Quận 6,2022-11-19,104.12,63.23,0,0,0,0,113.22999999999999,Không tốt cho người nhạy cảm
1,Quận 6,2022-11-20,135.67000000000002,96.6,0,0,0,0,146.6,Không tốt cho người nhạy cảm
2,Quận 6,2022-11-21,103.65,66.1,0,0,0,0,116.1,Không tốt cho người nhạy cảm
3,Quận 6,2022-11-22,118.37,77.92,0,0,0,0,127.92,Không tốt cho người nhạy cảm
4,Quận 6,2022-11-23,170.6,136.0,0,0,0,0,186.0,Không tốt
5,Quận 6,2022-11-24,88.72999999999999,42.7,0,0,0,0,92.7,Vừa Phải
6,Quận 6,2022-11-25,106.32,60.42,0,0,0,0,110.42,Không tốt cho người nhạy cảm
7,Quận 6,2022-11-26,115.13,70.65,0,0,0,0,120.65,Không tốt cho người nhạy cảm
8,Quận 6,2022-11-27,82.5,36.02,0,0,0,0,86.02000000000001,Vừa Phải
9,Quận 6,2022-11-28,88.53,42.93,0,0,0,0,92.93,Vừa Phải
10,Quận 6,2022-11-29,114.58,70.33,0,0,0,0,120.33,Không tốt cho người nhạy cảm
11,Quận 6,2022-11-30,169.37,132.1,0,0,0,0,182.1,Không tốt
12,Quận 6,2022-12-01,175.9,137.4,0,0,0,0,187.4,Không tốt
13,Quận 6,2022-12-02,109.33,64.23,0,0,0,0,114.23,Không tốt cho người nhạy cảm
14,Quận 6,2022-12-03,133.93,90.97,0,0,0,0,140.97,Không tốt cho người nhạy cảm
15,Quận 6,2022-12-04,85.1,38.23,0,0,0,0,88.22999999999999,Vừa Phải
16,Quận 6,2022-12-05,130.65,90.13,0,0,0,0,140.13,Không tốt cho người nhạy cảm
17,Quận 6,2022-12-06,124.57,80.65,0,0,0,0,130.65,Không tốt cho người nhạy cảm
18,Quận 6,2022-12-07,130.37,87.8,0,0,0,0,137.8,Không tốt cho người nhạy cảm
19,Quận 6,2022-12-08,175.6,137.6,0,0,0,0,187.6,Không tốt
20,Quận 6,2022-12-09,183.93,148.62,0,0,0,0,198.62,Không tốt
21,Quận 6,2022-12-10,150.76999999999998,110.93,0,0,0,0,160.93,Không tốt
22,Quận 6,2022-12-11,142.87,99.97,0,0,0,0,149.97,Không tốt cho người nhạy cảm
