địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Quế Võ,2020-06-20,0.0,19.0,33.0,3.0,2.0,1.0,33.0,Tốt
Quế Võ,2020-06-21,25.0,21.0,38.0,3.0,3.0,1.0,38.0,Tốt
Quế Võ,2020-06-22,27.0,18.0,52.0,4.0,4.0,1.0,52.0,Vừa Phải
Quế Võ,2020-06-23,21.0,15.0,43.0,5.0,3.0,1.0,43.0,Tốt
Quế Võ,2020-06-24,18.0,16.0,28.0,11.0,3.0,2.0,28.0,Tốt
Quế Võ,2020-06-25,23.0,4.0,47.0,5.0,3.0,1.0,47.0,Tốt
Quế Võ,2020-06-26,6.0,3.0,41.0,2.0,2.0,1.0,41.0,Tốt
Quế Võ,2020-06-27,4.0,3.0,35.0,2.0,2.0,1.0,35.0,Tốt
Quế Võ,2020-06-28,4.0,7.0,34.0,2.0,2.0,1.0,34.0,Tốt
Quế Võ,2020-06-29,10.0,21.0,42.0,4.0,2.0,1.0,42.0,Tốt
Quế Võ,2020-06-30,28.0,17.0,25.0,9.0,3.0,1.0,28.0,Tốt
Quế Võ,2020-07-01,21.0,5.0,25.0,8.0,5.0,2.0,25.0,Tốt
Quế Võ,2020-07-02,8.0,3.0,28.0,7.0,4.0,1.0,28.0,Tốt
Quế Võ,2020-07-03,4.0,1.0,25.0,7.0,4.0,1.0,25.0,Tốt
Quế Võ,2020-07-04,2.0,1.0,28.0,3.0,3.0,1.0,28.0,Tốt
Quế Võ,2020-07-05,1.0,1.0,28.0,3.0,2.0,1.0,28.0,Tốt
Quế Võ,2020-07-06,1.0,1.0,30.0,3.0,2.0,1.0,30.0,Tốt
Quế Võ,2020-07-07,2.0,1.0,42.0,5.0,2.0,1.0,42.0,Tốt
Quế Võ,2020-07-08,1.0,1.0,30.0,6.0,3.0,1.0,30.0,Tốt
Quế Võ,2020-07-09,1.0,1.0,24.0,9.0,4.0,1.0,24.0,Tốt
Quế Võ,2020-07-10,1.0,1.0,24.0,10.0,4.0,2.0,24.0,Tốt
Quế Võ,2020-07-11,1.0,1.0,37.0,7.0,2.0,2.0,37.0,Tốt
Quế Võ,2020-07-12,1.0,1.0,35.0,3.0,3.0,1.0,35.0,Tốt
Quế Võ,2020-07-13,1.0,1.0,55.0,6.0,2.0,1.0,55.0,Vừa Phải
