địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
TP.Cao Bằng,2023-11-01,40,36,9,24,1,3,40,Tốt
TP.Cao Bằng,2023-11-02,40,36,9,25,1,4,40,Tốt
TP.Cao Bằng,2023-11-03,41,36,9,24,1,5,41,Tốt
TP.Cao Bằng,2023-11-04,40,36,9,24,1,5,40,Tốt
TP.Cao Bằng,2023-11-05,40,34,9,22,1,4,40,Tốt
TP.Cao Bằng,2023-11-06,39,33,9,22,1,4,39,Tốt
TP.Cao Bằng,2023-11-07,37,34,9,23,1,6,37,Tốt
TP.Cao Bằng,2023-11-08,39,35,9,24,2,4,39,Tốt
TP.Cao Bằng,2023-11-09,40,34,9,23,1,3,40,Tốt
TP.Cao Bằng,2023-11-10,39,35,9,22,1,3,39,Tốt
TP.Cao Bằng,2023-11-11,40,34,10,22,1,4,40,Tốt
TP.Cao Bằng,2023-11-12,37,34,9,21,1,4,37,Tốt
TP.Cao Bằng,2023-11-13,38,35,9,24,1,3,38,Tốt
TP.Cao Bằng,2023-11-14,39,35,9,25,1,5,39,Tốt
TP.Cao Bằng,2023-11-15,39,35,9,26,1,3,39,Tốt
TP.Cao Bằng,2023-11-16,40,35,9,26,1,3,40,Tốt
TP.Cao Bằng,2023-11-17,40,35,9,26,1,3,40,Tốt
TP.Cao Bằng,2023-11-18,41,35,9,27,1,3,41,Tốt
TP.Cao Bằng,2023-11-19,41,36,9,26,1,4,41,Tốt
TP.Cao Bằng,2023-11-20,43,33,9,28,1,4,43,Tốt
TP.Cao Bằng,2023-11-21,40,34,9,29,1,4,40,Tốt
TP.Cao Bằng,2023-11-22,42,31,9,27,1,4,42,Tốt
TP.Cao Bằng,2023-11-23,38,33,9,24,1,4,38,Tốt
TP.Cao Bằng,2023-11-24,41,0,0,0,0,0,41,Tốt
TP.Cao Bằng,2023-10-01,36,41,8,14,1,1,41,Tốt
TP.Cao Bằng,2023-10-02,39,40,8,14,1,1,40,Tốt
TP.Cao Bằng,2023-10-03,38,40,8,14,1,1,40,Tốt
TP.Cao Bằng,2023-10-04,39,39,8,16,1,1,39,Tốt
TP.Cao Bằng,2023-10-05,39,37,8,14,1,2,39,Tốt
TP.Cao Bằng,2023-10-06,38,38,8,12,1,2,38,Tốt
