địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
TP.Sơn La,2022-01-05,0.0,43.0,0.0,0.0,0.0,0.0,43.0,Tốt
TP.Sơn La,2022-01-06,52.0,36.0,0.0,0.0,0.0,0.0,52.0,Vừa Phải
TP.Sơn La,2022-01-07,50.0,41.0,0.0,0.0,0.0,0.0,50.0,Tốt
TP.Sơn La,2022-01-08,54.0,32.0,0.0,0.0,0.0,0.0,54.0,Vừa Phải
TP.Sơn La,2022-01-09,47.0,25.0,0.0,0.0,0.0,0.0,47.0,Tốt
TP.Sơn La,2022-01-10,34.0,18.0,0.0,0.0,0.0,0.0,34.0,Tốt
TP.Sơn La,2022-01-11,21.0,36.0,0.0,0.0,0.0,0.0,36.0,Tốt
TP.Sơn La,2022-01-12,49.0,29.0,0.0,0.0,0.0,0.0,49.0,Tốt
TP.Sơn La,2022-01-13,45.0,0.0,0.0,0.0,0.0,0.0,45.0,Tốt
TP.Sơn La,2022-01-14,0.0,38.0,0.0,0.0,0.0,0.0,38.0,Tốt
TP.Sơn La,2022-01-15,49.0,25.0,0.0,0.0,0.0,0.0,49.0,Tốt
TP.Sơn La,2022-01-16,38.0,9.0,0.0,0.0,0.0,0.0,38.0,Tốt
TP.Sơn La,2022-01-17,13.0,19.0,0.0,0.0,0.0,0.0,19.0,Tốt
TP.Sơn La,2022-01-18,23.0,40.0,0.0,0.0,0.0,0.0,40.0,Tốt
TP.Sơn La,2022-01-19,63.0,36.0,0.0,0.0,0.0,0.0,63.0,Vừa Phải
TP.Sơn La,2022-01-20,65.0,18.0,0.0,0.0,0.0,0.0,65.0,Vừa Phải
TP.Sơn La,2022-01-21,28.0,25.0,0.0,0.0,0.0,0.0,28.0,Tốt
TP.Sơn La,2022-01-22,33.0,39.0,0.0,0.0,0.0,0.0,39.0,Tốt
TP.Sơn La,2022-01-23,47.0,41.0,0.0,0.0,0.0,0.0,47.0,Tốt
TP.Sơn La,2022-01-24,51.0,0.0,0.0,0.0,0.0,0.0,51.0,Vừa Phải
TP.Sơn La,2022-01-26,0.0,35.0,0.0,0.0,0.0,0.0,35.0,Tốt
TP.Sơn La,2022-01-27,46.0,38.0,0.0,0.0,0.0,0.0,46.0,Tốt
TP.Sơn La,2022-01-28,58.0,42.0,0.0,0.0,0.0,0.0,58.0,Vừa Phải
TP.Sơn La,2022-01-29,63.0,15.0,0.0,0.0,0.0,0.0,63.0,Vừa Phải
TP.Sơn La,2022-01-30,21.0,10.0,0.0,0.0,0.0,0.0,21.0,Tốt
TP.Sơn La,2022-01-31,14.0,6.0,0.0,0.0,0.0,0.0,14.0,Tốt
TP.Sơn La,2022-02-01,9.0,7.0,0.0,0.0,0.0,0.0,9.0,Tốt
TP.Sơn La,2022-02-02,10.0,6.0,0.0,0.0,0.0,0.0,10.0,Tốt
TP.Sơn La,2022-02-03,7.0,7.0,0.0,0.0,0.0,0.0,7.0,Tốt
TP.Sơn La,2022-02-04,10.0,20.0,0.0,0.0,0.0,0.0,20.0,Tốt
TP.Sơn La,2022-02-05,37.0,14.0,0.0,0.0,0.0,0.0,37.0,Tốt
TP.Sơn La,2022-02-06,23.0,18.0,0.0,0.0,0.0,0.0,23.0,Tốt
TP.Sơn La,2022-02-07,23.0,19.0,0.0,0.0,0.0,0.0,23.0,Tốt
TP.Sơn La,2022-02-08,29.0,17.0,0.0,0.0,0.0,0.0,29.0,Tốt
TP.Sơn La,2022-02-09,28.0,21.0,0.0,0.0,0.0,0.0,28.0,Tốt
TP.Sơn La,2022-02-10,31.0,27.0,0.0,0.0,0.0,0.0,31.0,Tốt
TP.Sơn La,2022-02-11,42.0,22.0,0.0,0.0,0.0,0.0,42.0,Tốt
TP.Sơn La,2022-02-12,34.0,13.0,0.0,0.0,0.0,0.0,34.0,Tốt
TP.Sơn La,2022-02-13,20.0,0.0,0.0,0.0,0.0,0.0,20.0,Tốt
TP.Sơn La,2022-03-10,0.0,25.0,0.0,0.0,0.0,0.0,25.0,Tốt
TP.Sơn La,2022-03-11,36.0,21.0,0.0,0.0,0.0,0.0,36.0,Tốt
TP.Sơn La,2022-03-12,30.0,33.0,0.0,0.0,0.0,0.0,33.0,Tốt
TP.Sơn La,2022-03-13,50.0,30.0,0.0,0.0,0.0,0.0,50.0,Tốt
TP.Sơn La,2022-03-14,48.0,14.0,0.0,0.0,0.0,0.0,48.0,Tốt
TP.Sơn La,2022-03-15,17.0,0.0,0.0,0.0,0.0,0.0,17.0,Tốt
TP.Sơn La,2022-03-16,0.0,44.0,0.0,0.0,0.0,0.0,44.0,Tốt
TP.Sơn La,2022-03-17,62.0,44.0,0.0,0.0,0.0,0.0,62.0,Vừa Phải
TP.Sơn La,2022-03-18,64.0,38.0,0.0,0.0,0.0,0.0,64.0,Vừa Phải
TP.Sơn La,2022-03-19,58.0,50.0,0.0,0.0,0.0,0.0,58.0,Vừa Phải
TP.Sơn La,2022-03-20,79.0,50.0,0.0,0.0,0.0,0.0,79.0,Vừa Phải
TP.Sơn La,2022-03-21,85.0,36.0,0.0,0.0,0.0,0.0,85.0,Vừa Phải
TP.Sơn La,2022-03-22,49.0,23.0,0.0,0.0,0.0,0.0,49.0,Tốt
TP.Sơn La,2022-03-23,28.0,10.0,0.0,0.0,0.0,0.0,28.0,Tốt
TP.Sơn La,2022-03-24,7.0,38.0,0.0,0.0,0.0,0.0,38.0,Tốt
TP.Sơn La,2022-03-25,43.0,52.0,0.0,0.0,0.0,0.0,52.0,Vừa Phải
TP.Sơn La,2022-03-26,70.0,50.0,0.0,0.0,0.0,0.0,70.0,Vừa Phải
TP.Sơn La,2022-03-27,73.0,17.0,0.0,0.0,0.0,0.0,73.0,Vừa Phải
TP.Sơn La,2022-03-28,21.0,20.0,0.0,0.0,0.0,0.0,21.0,Tốt
TP.Sơn La,2022-03-29,31.0,0.0,0.0,0.0,0.0,0.0,31.0,Tốt
TP.Sơn La,2022-03-30,0.0,23.0,0.0,0.0,0.0,0.0,23.0,Tốt
TP.Sơn La,2022-03-31,31.0,10.0,0.0,0.0,0.0,0.0,31.0,Tốt
TP.Sơn La,2022-04-01,12.0,14.0,0.0,0.0,0.0,0.0,14.0,Tốt
TP.Sơn La,2022-04-02,18.0,25.0,0.0,0.0,0.0,0.0,25.0,Tốt
TP.Sơn La,2022-04-03,35.0,33.0,0.0,0.0,0.0,0.0,35.0,Tốt
TP.Sơn La,2022-04-04,35.0,40.0,0.0,0.0,0.0,0.0,40.0,Tốt
TP.Sơn La,2022-04-05,48.0,47.0,0.0,0.0,0.0,0.0,48.0,Tốt
TP.Sơn La,2022-04-06,63.0,59.0,0.0,0.0,0.0,0.0,63.0,Vừa Phải
TP.Sơn La,2022-04-07,90.0,45.0,0.0,0.0,0.0,0.0,90.0,Vừa Phải
TP.Sơn La,2022-04-08,57.0,55.0,0.0,0.0,0.0,0.0,57.0,Vừa Phải
