date,pm25,pm10,o3,no2,so2,co
20/06/2020,0,51,0,0,0,0
21/06/2020,63,48,0,0,0,0
22/06/2020,52,42,0,0,0,0
23/06/2020,50,50,0,0,0,0
24/06/2020,59,47,0,0,0,0
25/06/2020,59,44,0,0,0,0
26/06/2020,52,43,0,0,0,0
27/06/2020,44,49,0,0,0,0
28/06/2020,59,46,0,0,0,0
29/06/2020,50,53,0,0,0,0
30/06/2020,66,51,0,0,0,0
1/07/2020,68,53,0,0,0,0
2/07/2020,77,39,0,0,0,0
3/07/2020,50,24,0,0,0,0
4/07/2020,32,32,0,0,0,0
5/07/2020,38,40,0,0,0,0
6/07/2020,39,43,0,0,0,0
7/07/2020,47,43,0,0,0,0
8/07/2020,48,49,0,0,0,0
9/07/2020,59,52,0,0,0,0
10/07/2020,69,52,0,0,0,0
11/07/2020,68,54,0,0,0,0
12/07/2020,74,51,0,0,0,0
13/07/2020,65,52,0,0,0,0
14/07/2020,72,51,0,0,0,0
15/07/2020,74,43,0,0,0,0
16/07/2020,51,47,0,0,0,0
17/07/2020,55,46,0,0,0,0
18/07/2020,52,53,0,0,0,0
19/07/2020,70,41,0,0,0,0
20/07/2020,49,36,0,0,0,0
21/07/2020,40,38,0,0,0,0
22/07/2020,43,36,0,0,0,0
23/07/2020,44,44,0,0,0,0
24/07/2020,68,43,0,0,0,0
25/07/2020,57,43,0,0,0,0
26/07/2020,53,56,0,0,0,0
27/07/2020,88,65,0,0,0,0
28/07/2020,108,54,0,0,0,0
29/07/2020,85,47,0,0,0,0
30/07/2020,72,40,0,0,0,0
31/07/2020,58,40,0,0,0,0
1/08/2020,52,21,0,0,0,0
2/08/2020,28,17,0,0,0,0
3/08/2020,22,32,0,0,0,0
4/08/2020,41,38,0,0,0,0
5/08/2020,37,0,0,0,0,0
9/08/2020,0,44,0,0,0,0
10/08/2020,64,36,0,0,0,0
11/08/2020,47,37,0,0,0,0
12/08/2020,45,30,0,0,0,0
13/08/2020,38,26,0,0,0,0
14/08/2020,32,31,0,0,0,0
15/08/2020,32,17,0,0,0,0
16/08/2020,15,17,0,0,0,0
17/08/2020,21,12,0,0,0,0
18/08/2020,17,40,0,0,0,0
19/08/2020,60,38,0,0,0,0
20/08/2020,45,36,0,0,0,0
21/08/2020,46,42,0,0,0,0
22/08/2020,56,45,0,0,0,0
23/08/2020,63,39,0,0,0,0
24/08/2020,54,33,0,0,0,0
25/08/2020,41,39,0,0,0,0
26/08/2020,68,67,0,0,0,0
27/08/2020,106,56,0,0,0,0
28/08/2020,86,53,0,0,0,0
29/08/2020,74,58,0,0,0,0
30/08/2020,98,56,0,0,0,0
31/08/2020,81,59,0,0,0,0
1/09/2020,93,65,0,0,0,0
2/09/2020,115,72,0,0,0,0
3/09/2020,130,62,0,0,0,0
4/09/2020,108,51,0,0,0,0
5/09/2020,79,47,0,0,0,0
6/09/2020,72,35,0,0,0,0
7/09/2020,52,45,0,0,0,0
8/09/2020,56,40,0,0,0,0
9/09/2020,45,41,0,0,0,0
10/09/2020,53,47,0,0,0,0
11/09/2020,66,34,0,0,0,0
12/09/2020,41,44,0,0,0,0
13/09/2020,49,35,0,0,0,0
14/09/2020,47,44,0,0,0,0
