địa điểm trạm đo,date,pm25,pm10,o3,no2,so2,co,aqi,mức độ ô nhiễm
Thanh Xuân,2021-10-08,201.66,57.0,0,0,0,0,201.66,Rất không tốt
Thanh Xuân,2021-10-09,192.1,45.57,0,0,0,0,192.1,Không tốt
Thanh Xuân,2021-10-10,171.6,25.9,0,0,0,0,171.6,Không tốt
Thanh Xuân,2021-10-11,169.0,22.77,0,0,0,0,169.0,Không tốt
Thanh Xuân,2021-10-12,270.0,22.77,0,0,0,0,270.0,Rất không tốt
Thanh Xuân,2021-10-13,244.47,100.98,0,0,0,0,244.47,Rất không tốt
Thanh Xuân,2021-10-14,172.15,25.22,0,0,0,0,172.15,Không tốt
Thanh Xuân,2021-10-15,267.6,18.98,0,0,0,0,267.6,Rất không tốt
Thanh Xuân,2021-10-16,208.0,61.0,0,0,0,0,208.0,Rất không tốt
Thanh Xuân,2021-10-17,72.1,26.43,0,0,0,0,72.1,Vừa Phải
Thanh Xuân,2021-10-18,75.35,30.03,0,0,0,0,75.35,Vừa Phải
Thanh Xuân,2021-10-19,100.62,59.85,0,0,0,0,100.62,Nguy hiểm
Thanh Xuân,2021-10-21,72.17,26.63,0,0,0,0,72.17,Vừa Phải
Thanh Xuân,2021-10-22,74.77,29.08,0,0,0,0,74.77,Vừa Phải
Thanh Xuân,2021-10-23,112.32,72.2,0,0,0,0,112.32,Không tốt cho người nhạy cảm
Thanh Xuân,2021-10-24,111.02,68.88,0,0,0,0,111.02,Không tốt cho người nhạy cảm
Thanh Xuân,2021-10-25,227.57,190.01,0,0,0,0,227.57,Rất không tốt
Thanh Xuân,2021-10-26,240.72,203.37,0,0,0,0,240.72,Rất không tốt
Thanh Xuân,2021-10-27,184.3,150.42,0,0,0,0,184.3,Không tốt
Thanh Xuân,2021-10-28,186.58,146.23,0,0,0,0,186.58,Không tốt
Thanh Xuân,2021-10-29,169.07,125.13,0,0,0,0,169.07,Không tốt
Thanh Xuân,2021-10-30,105.26,58.7,0,0,0,0,105.26,Không tốt cho người nhạy cảm
Thanh Xuân,2021-10-31,85.15,42.83,0,0,0,0,85.15,Vừa Phải
Thanh Xuân,2021-11-01,76.37,29.87,0,0,0,0,76.37,Vừa Phải
Thanh Xuân,2021-11-02,220.67,186.33,0,0,0,0,220.67,Rất không tốt
Thanh Xuân,2021-11-05,90.33,48.9,0,0,0,0,90.33,Vừa Phải
Thanh Xuân,2021-11-06,89.97,46.5,0,0,0,0,89.97,Vừa Phải
Thanh Xuân,2022-02-01,86.57,43.93,0,0,0,0,86.57,Vừa Phải
Thanh Xuân,2022-02-02,72.6,26.53,0,0,0,0,72.6,Vừa Phải
Thanh Xuân,2022-02-03,98.2,58.27,0,0,0,0,98.2,Vừa Phải
Thanh Xuân,2022-02-04,106.33,65.37,0,0,0,0,106.33,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-05,134.27,96.12,0,0,0,0,134.27,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-06,143.93,108.47,0,0,0,0,143.93,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-07,128.63,88.07,0,0,0,0,128.63,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-08,107.03,64.47,0,0,0,0,107.03,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-09,97.17,54.15,0,0,0,0,97.17,Vừa Phải
Thanh Xuân,2022-02-10,112.47,73.5,0,0,0,0,112.47,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-11,123.47,86.25,0,0,0,0,123.47,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-12,83.2,41.13,0,0,0,0,83.2,Vừa Phải
Thanh Xuân,2022-02-13,74.97,31.03,0,0,0,0,74.97,Vừa Phải
Thanh Xuân,2022-02-14,105.97,64.63,0,0,0,0,105.97,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-15,137.7,104.17,0,0,0,0,137.7,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-16,141.27,105.65,0,0,0,0,141.27,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-17,140.03,102.93,0,0,0,0,140.03,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-18,122.77,82.63,0,0,0,0,122.77,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-19,82.17,37.73,0,0,0,0,82.17,Vừa Phải
Thanh Xuân,2022-02-20,69.13,22.2,0,0,0,0,69.13,Vừa Phải
Thanh Xuân,2022-02-21,81.03,36.1,0,0,0,0,81.03,Vừa Phải
Thanh Xuân,2022-02-22,88.57,43.37,0,0,0,0,88.57,Vừa Phải
Thanh Xuân,2022-02-23,104.4,63.67,0,0,0,0,104.4,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-24,118.8,80.3,0,0,0,0,118.8,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-25,140.33,103.85,0,0,0,0,140.33,Không tốt cho người nhạy cảm
Thanh Xuân,2022-02-26,213.42,181.53,0,0,0,0,213.42,Rất không tốt
Thanh Xuân,2022-02-27,232.8,200.07,0,0,0,0,232.8,Rất không tốt
Thanh Xuân,2022-02-28,173.97,139.33,0,0,0,0,173.97,Không tốt
Thanh Xuân,2022-03-01,185.9,152.53,0,0,0,0,185.9,Không tốt
Thanh Xuân,2022-03-02,169.01,138.37,0,0,0,0,169.01,Không tốt
Thanh Xuân,2022-03-03,134.47,98.9,0,0,0,0,134.47,Không tốt cho người nhạy cảm
Thanh Xuân,2022-03-04,188.2,152.8,0,0,0,0,188.2,Không tốt
Thanh Xuân,2022-03-05,153.6,115.37,0,0,0,0,153.6,Không tốt
Thanh Xuân,2022-03-06,96.6,53.7,0,0,0,0,96.6,Vừa Phải
Thanh Xuân,2022-03-07,179.17,145.7,0,0,0,0,179.17,Không tốt
Thanh Xuân,2022-03-08,133.23,96.77,0,0,0,0,133.23,Không tốt cho người nhạy cảm
Thanh Xuân,2022-03-09,129.6,90.5,0,0,0,0,129.6,Không tốt cho người nhạy cảm
Thanh Xuân,2022-03-10,126.03,83.37,0,0,0,0,126.03,Không tốt cho người nhạy cảm
Thanh Xuân,2022-03-11,116.83,77.87,0,0,0,0,116.83,Không tốt cho người nhạy cảm
Thanh Xuân,2022-03-21,150.6,112.83,0,0,0,0,150.6,Nguy hiểm
Thanh Xuân,2022-03-22,175.37,137.43,0,0,0,0,175.37,Không tốt
Thanh Xuân,2022-03-23,195.47,161.57,0,0,0,0,195.47,Không tốt
