date, pm25, pm10, o3, no2, so2, co
6/20/2020,96.95,43,36,3,1,1
6/21/2020,100.98,34,35,3,1,1
6/22/2020,94.28,39,45,3, ,1
6/23/2020,120.35,37,34,5,1,1
6/24/2020,100.88,51,35,8,1,2
6/25/2020,115.52,31,38,5,1,1
6/26/2020,139.6,27,45,2,1,1
6/27/2020,114.03,30,36,1,1,1
6/28/2020,191.6,29,33,1,1,1
6/29/2020,180.13,32,78,2,1,1
6/30/2020,298.1,41,47,4,1,1
7/01/2020,95.6,36,33,4,1,1
7/02/2020,105.85,20,32,3,1,1
7/03/2020,141.05,21,28,3,1,1
7/04/2020,169.1,19,28,2,1,1
7/05/2020,100.39,25,53,2,1,1
7/06/2020,97.6,34,71,2,1,1
7/07/2020,124.89,33,47,3,1,1
7/08/2020,98.27,36,29,3,1,1
7/09/2020,171.88,41,26,5,1,1
7/10/2020,41.88,52,26,9,1,2
7/11/2020,72.97,51,36,5,1,2
7/12/2020,125.6,37,32,3,1,1
7/13/2020,121.48,46,43,5,1,1
7/14/2020,98.43,33,29,3,1,1
7/15/2020,92.17,31,30,2,2,1
7/16/2020,70.45,33,35,3,1,1
7/17/2020,72.52,38,38,3,2,1
7/18/2020,64.25,43,32,2,2,1
7/19/2020,46.88,28,24,3,2,1
7/20/2020,38.58,25,40,3,2,1
7/21/2020,63.52,22,21,2,2,1
7/22/2020,59.57,24,25,2,2,1
7/23/2020,33.97,29,29,3,2,1
7/24/2020,38.5,32,29,2,2,1
7/25/2020,83.35,32,27,2,2,1
7/26/2020,129.5,59,25,8,2,2
7/27/2020,147.9,68,47,8,2,3
7/28/2020,126.5,54,31,8,2,2
7/29/2020,112.72,46,31,5,2,1
7/30/2020,139.77,59,27,8,2,2
7/31/2020,67.33,53,22,6,2,1
8/01/2020,82.13,10,20,2,2,1
8/02/2020,253.6,16,19,6,3,2
8/03/2020,71.23,20,19,6,2,1
8/04/2020,73.13,17,18,4,3,1
8/05/2020,40.9,14, ,3,3,1
8/06/2020,72.28,16, ,4,3,1
8/07/2020,85.6,20, ,3,2,1
8/08/2020,82.95,22, ,2,3,1
8/09/2020,146.94,28, ,2,5,1
8/10/2020,44.55,18, ,3,4,1
8/11/2020,49.9,23, ,3,4,1
8/12/2020,85.48,14, ,3,4,1
8/13/2020,58.19,15, ,4,4,1
8/14/2020,75.15,25, ,6,4,1
8/15/2020,92.72,26, ,4,3,1
8/16/2020,33.85,18, ,5,3,1
8/17/2020,73.78,13, ,8,4,1
8/18/2020,56.38,26, ,8,4,1
8/19/2020,59.88,41, ,6,3,2
8/20/2020,160.02,27, ,7,7,1
8/21/2020,153.75,46, ,6,10,2
8/22/2020,35.02,35, ,4,3,1
8/23/2020,81.17,35, ,3,3,1
8/24/2020,347.5,40, ,5,3,1
8/25/2020,281.39,48, ,6,3,2
8/26/2020,282.8,54, ,8,3,2
8/27/2020,128.27,42, ,4,2,1
8/28/2020,177.63,45, ,5,1,1
8/29/2020,176.18,49, ,4,1,1
8/30/2020,305.2,55, ,5,1,2
8/31/2020,171.32,75, ,6,1,2
9/01/2020,170.68,43.46, ,5,1,3
9/02/2020,343.75,19.05, ,5,1,3
9/03/2020,50.3,28.38, ,5,1,2
9/04/2020,191.07,105.24, ,4,1,1
9/05/2020,107.65,125.14, ,2,1,1
9/06/2020,190.82,136.52, ,7,1,2
9/07/2020,208.3,78.97, ,10,1,3
9/08/2020,191.07,83.44, ,7,1,1
9/09/2020,143.85,26.34, ,8,1,2
9/10/2020,156.22,42.6, ,5,1,1
9/11/2020,181.65,91.25, ,4,1,1
9/12/2020,168.7,93.95, ,4,1,1
9/13/2020,91.47,100.71, ,6,1,1
9/14/2020,190.05,51.11, ,4,1,1
9/15/2020,125.4,90.53, ,5,1,1
9/16/2020,132.52,158.37, ,8,1,1
9/17/2020,24.92,48.94, ,9,1,1
9/18/2020,46.4,76.91, ,6,2,1
9/19/2020,164.77,34.88, ,9,3,2
9/20/2020,210.25,18.05, ,6,1,2
9/21/2020,186.02,25.8, ,4,1,1
9/22/2020,197.2,30.86, ,7,1,1
9/23/2020,116.75,110.95, ,7,2,2
9/24/2020,67.3,49.53, ,6,2,2
9/25/2020,329.85,100.97, ,4,1,1
9/26/2020,80.53,97.54, ,7,1,2
9/27/2020,147.19,71.51, ,8,3,2
9/28/2020,134.83,77.92, ,8,2,3
9/29/2020,117.28,77.4, ,5,1,1
9/30/2020,714.1,55.58, ,6,1,1
10/01/2020,122.03,40.06, ,9,1,2
10/02/2020,69.84,60.04, ,10,1,2
10/03/2020,86.07,41, ,6,1,2
10/04/2020,73.38,60.45, ,6,1,2
10/05/2020,84.28,37.47, ,9,1,2
10/06/2020,107.55,72.12, ,5,2,2
10/07/2020,123.35,32.14, ,4,3,2
10/08/2020,40.04,41.38, ,3,3,2
10/09/2020,80.53,24.92, ,5,5,2
10/10/2020,160.47,38.11, ,4,4,2
10/11/2020,287.6,15.14, ,6,4,2
10/12/2020,137.19,36.14, ,9,7,3
10/13/2020,88.75,45.9, ,9,8,3
10/14/2020,66.72,60.79, ,4,3,1
10/18/2020,172.65,54.76, ,10,6,2
10/19/2020,72.45,87.35, ,8,8,2
10/20/2020,116.9,31.68, ,9,8,2
10/21/2020,120.13,39.9, ,9,6,2
10/22/2020,88.8,34.67, ,17,8,4
10/23/2020,70.4,54.8, ,21,12,5
10/24/2020,62.9,64.7, ,22,11,6
10/25/2020,68.68,36.13, ,20,15,6
10/26/2020,113.38,22.17, , , , 
10/27/2020,100.67,69, ,14,5,4
10/28/2020,118.63,35, ,10,6,3
10/29/2020,1564.68,30, ,3,4,2
10/30/2020,96.4,45, ,10,6,4
10/31/2020,126.82,79, ,10,6,4
11/01/2020,108.2,63, ,11,7,4
11/02/2020,62.25,41, ,7,5,3
11/03/2020,35.29,82, ,9,6,2
11/04/2020,89.72,115, ,13,6,4
11/05/2020,145.18,127, ,18,8,5
11/06/2020,154.32,68, ,22,7,5
11/07/2020,97.57,73, ,13,5,3
11/08/2020,237.55,81, ,14,7,3
11/09/2020,212.68,83, ,18,6,3
11/10/2020,215.2,104, ,16,6,4
11/11/2020,44.28,123, ,15,8,3
11/12/2020,106.72,118, ,22,6,9
11/13/2020,65.72,103, ,22, ,5
11/14/2020,30.88,56, ,16, ,2
11/15/2020,34.33,52, ,8, ,3
11/16/2020,46.47,46, ,12, ,3
11/17/2020,61.28,35, ,9, ,2
11/18/2020,97.57,49, ,5, ,3
11/19/2020,145.25,44, ,10, ,3
11/20/2020,53.88,33, ,8, ,3
11/21/2020,41.72,50, ,5, ,3
11/22/2020,71.05, , ,11, ,3
11/23/2020,78.93,65, , , , 
11/24/2020,51.85,67, ,11, ,4
11/25/2020,113.68,66, ,13, ,3
11/26/2020,28.98,69, ,12, ,2
11/27/2020,71.95,49, ,11, ,3
11/28/2020,76.93,45, ,5, ,3
11/29/2020,88.47,59, ,7, ,3
11/30/2020,71.88,74, ,8, ,3
12/01/2020,61.35,82, ,12, ,3
12/02/2020,84.22,67, ,12, ,3
12/03/2020,77.06,47, ,7, ,2
12/04/2020,57.03,56, ,6, ,3
12/05/2020,38.47,74, ,10, ,4
12/06/2020,44.15,94, ,12, ,3
12/07/2020,52.05,84, ,14, ,3
12/08/2020,65.3,89, ,12,4,3
12/09/2020,71.78,94, ,14,5,4
12/10/2020,44.08,94, ,17,1,5
12/11/2020,112,76, ,15,1,4
12/12/2020,104.38,65, ,14,1,4
12/13/2020,61.78,55, ,6,1,4
12/14/2020,40.78,16, ,7,1,4
12/15/2020,64.18,21, ,4,1,4
12/16/2020,56.3,26, ,4,1,4
12/17/2020,83.3,37, ,5,1,4
12/18/2020,81.68,54, ,6,1,4
12/19/2020,75.97, , ,7,1,4
12/20/2020,101.65,76, , , , 
12/21/2020,55.33,93, ,12,2,4
12/22/2020,44.53,82, ,18,2,3
12/23/2020,73.95,67, ,13,2,3
12/24/2020,78.31,107, ,9,2,3
12/25/2020,110.75, , ,26,2,4
12/26/2020,27.73,73, , , , 
12/27/2020,45.17,60, ,22,1,3
12/28/2020,49.55,48, ,9,1,3
12/29/2020,92.2,60, ,10,1,4
12/30/2020,49,55, ,7,1,4
12/31/2020,38.9,75, ,10,2,3
1/01/2021,107.03,127, ,14,2,4
1/02/2021,111.47,104, ,17,2,3
1/03/2021,107.93,117, ,15,2,3
1/04/2021,76.3,127, ,20,2,3
1/05/2021,65.45,103, ,17,2,3
1/06/2021,106.77,77, ,9,2,3
1/07/2021,123.2,30, ,6,2,3
1/08/2021,108.5,45, ,6,2,3
1/09/2021,55.72,57, ,7,2,4
1/10/2021,172.52,60, ,8,2,3
1/11/2021,72.97,72, ,14,2,4
1/12/2021,128.52,106, ,21,2,3
1/13/2021,130.1,98, ,22,3,6
1/14/2021,112.25,129, ,24,11,4
1/15/2021,421.63,119, ,29,11,3
1/16/2021,48.83,94, ,12,7,2
1/17/2021,83.78,72, ,13,5,3
1/18/2021,140.63,88, ,15,5,3
1/19/2021,146.69,102, ,21,4,3
1/20/2021,43.35,147, ,35,12,4
1/21/2021,73.45,158, ,22,7,3
1/22/2021,81.81,149, ,22,8,2
1/23/2021,92.13,94, ,8,3,2
1/24/2021,107.03,70, ,10,3,3
1/25/2021,226.57,58, ,9,2,3
1/26/2021,212.05,50, ,5,2,3
1/27/2021,120.4,61, ,19,6,3
1/28/2021,140.44,37.54, ,15,7,2
1/29/2021,96.78,36.5, ,26,7,3
1/30/2021,163,34.4, ,24,6,2
1/31/2021,170.25,28.92, ,13,3,3
2/01/2021,123.7,48.03, ,7,2,2
2/02/2021,423.55,13.7, ,7,2,2
2/03/2021,98.3,22.37, ,9,7,3
2/04/2021,90.45,13.98, ,10,4,2
2/05/2021,105.88,19, ,8,3,2
2/06/2021,112.1,21.35, ,7,2,2
2/07/2021,209.95,22.6, ,7,2,3
2/08/2021,211.13,21.17, ,3,1,2
2/09/2021,168.05,23.42, ,4,1,4
2/10/2021,88.8,27.92, ,4,1,3
2/11/2021,60.33,63.05, ,3,2,3
2/12/2021,60.8,11.7,42,1,2,3
2/13/2021,122.45,16.27,34,4,3,3
2/14/2021,120.22,18.5,28,1,2,3
2/15/2021,83.6,18.64,23,4,2,3
2/16/2021,153.77,48,22,4,2,3
2/17/2021,166.05,68,32,10,6,5
2/18/2021,132.6,74,42,14,5,5
2/19/2021,174.45,67,68,7,4,3
2/20/2021,98.88,56,46,4,13,3
2/21/2021,121.13,46,30,3,14,2
2/22/2021,286.67,41,35,2,1,4
2/23/2021,220.18,32,29,2,1,4
2/24/2021,134.88,28,27,2,1,4
2/25/2021,173.05,31,28,4,1,4
2/26/2021,256.45,37,10,5,2,4
2/27/2021,149.44,34,1,11,3,4
2/28/2021,143.43,33,1,13,1,4
3/01/2021,170.57,30,12,7,2,4
3/02/2021,65.68,48,11,9,3,4
3/03/2021,125.65,29,14,10,3,4
